sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,493,1482,2456,3515,258,329,332,438
0.015,409,1461,2487,3481,280,321,297,425
0.025,412,1430,2525,3574,289,305,307,417
0.035,413,1511,2531,3579,294,297,327,418
0.045,402,1483,2477,3658,260,345,301,401
0.055,371,1481,2559,3677,253,314,320,413
0.065,410,1441,2539,3645,286,320,328,442
0.075,363,1427,2541,3619,269,317,342,429
0.085,341,1434,2610,3693,274,325,323,431
0.095,309,1422,2564,3763,250,339,330,439
0.105,312,1384,2504,3692,238,359,350,419
0.115,309,1343,2608,3643,267,327,332,417
0.125,355,1308,2565,3634,255,343,330,433
0.135,354,1280,2407,3644,253,360,329,436
0.145,328,1260,2396,3775,285,362,294,488
0.155,306,1225,2387,3951,303,331,277,479
0.165,305,1172,2380,4097,327,313,266,498
0.175,340,1154,2374,4299,313,353,248,487
0.185,348,1151,2368,4418,330,309,236,471
0.195,313,1116,2364,4455,306,312,255,435
0.205,396,1086,2359,4508,222,343,287,435
0.215,465,1071,2354,4430,198,346,306,403
0.225,494,1087,2349,4387,205,331,331,390
0.235,579,1131,2342,4356,211,331,344,410
0.245,666,1169,2333,4309,219,335,363,404
0.255,658,1218,2323,4306,224,323,378,424
0.265,619,1287,2310,4253,220,338,350,455
0.275,617,1312,2294,4218,218,328,358,472
0.285,645,1337,2275,4130,220,353,335,494
0.295,666,1391,2252,3969,220,325,321,491
0.305,645,1445,2226,3774,211,351,336,507
0.315,613,1469,2194,3684,211,332,369,492
0.325,595,1475,2158,3720,232,286,385,452
0.335,585,1452,2116,3823,238,310,337,458
0.345,584,1418,2068,3782,248,292,290,462
0.355,601,1370,2014,3883,278,324,378,470
0.365,643,1305,1958,3982,309,305,379,461
0.375,681,1266,1906,3944,291,311,341,449
0.385,634,1185,1863,3873,309,289,338,465
0.395,651,1148,1835,3842,267,303,335,477
0.405,686,1149,1819,3873,242,297,354,508
0.415,684,1087,1814,3871,204,346,382,499
0.425,639,1070,1818,3838,258,306,372,491
0.435,554,1092,1827,3779,281,281,364,466
0.445,510,1203,1840,3708,251,269,420,473
0.455,446,1235,1856,3627,206,285,397,455
0.465,397,1230,1875,3583,200,332,347,420
0.475,336,1175,1896,3591,212,308,313,442
0.485,439,1116,1918,3580,220,321,305,423
0.495,404,1080,1942,3620,245,298,307,427
0.505,370,995,1968,3663,262,288,309,441
0.515,418,955,1995,3705,244,295,290,439
0.525,426,973,2023,3744,241,274,300,427
0.535,387,926,2053,3744,249,287,267,420
0.545,377,943,2083,3713,243,293,247,404
0.555,416,955,2113,3712,245,291,237,408
0.565,439,947,2143,3741,244,295,250,419
0.575,464,915,2171,3761,249,290,261,426
0.585,490,928,2197,3747,241,298,275,405
