sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,553,1415,2470,3596,247,277,354,424
0.015,567,1457,2503,3584,264,291,357,441
0.025,626,1490,2456,3717,239,325,336,419
0.035,644,1521,2431,3715,297,299,336,453
0.045,648,1564,2412,3698,246,343,315,447
0.055,588,1545,2411,3721,262,317,317,433
0.065,627,1503,2388,3650,298,306,330,446
0.075,633,1463,2460,3623,270,303,339,461
0.085,640,1449,2449,3676,293,284,331,471
0.095,612,1467,2363,3649,300,300,327,460
0.105,611,1488,2352,3542,275,317,330,435
0.115,643,1617,2421,3513,288,292,329,428
0.125,714,1687,2499,3499,279,335,283,415
0.135,714,1757,2668,3460,287,342,336,410
0.145,638,1855,2804,3508,266,294,424,404
0.155,659,1904,2855,3613,288,338,379,442
0.165,731,1945,2891,3692,276,320,350,457
0.175,769,1899,2948,3817,285,299,371,465
0.185,846,1935,2919,3939,295,305,359,452
0.195,843,1916,2881,3976,262,335,370,448
0.205,795,1885,2908,3927,255,278,395,456
0.215,749,1941,2807,3914,282,306,369,458
0.225,721,1957,2579,3867,320,343,386,467
0.235,515,1685,2540,3812,226,290,401,434
0.245,487,1668,2521,3809,193,332,349,415
0.255,519,1681,2497,3689,238,323,348,438
0.265,473,1671,2452,3602,196,282,338,411
0.275,462,1616,2410,3687,214,355,296,434
0.285,409,1593,2402,3620,225,315,330,441
0.295,374,1626,2422,3561,232,324,295,421
0.305,350,1668,2462,3620,237,316,292,436
0.315,345,1664,2515,3641,275,329,274,474
0.325,360,1624,2562,3600,266,334,313,445
0.335,369,1599,2571,3607,252,344,307,410
0.345,389,1601,2546,3663,246,340,326,375
0.355,402,1596,2522,3761,256,325,347,382
0.365,417,1541,2522,3769,297,334,324,426
0.375,396,1494,2558,3796,298,327,329,410
0.385,444,1479,2604,4005,294,315,360,392
0.395,374,1479,2601,4200,272,329,394,395
0.405,310,1479,2545,4356,298,315,399,405
0.415,311,1480,2518,4467,296,343,388,411
0.425,297,1482,2528,4624,324,330,358,413
0.435,255,1457,2534,4636,333,333,312,381
0.445,232,1440,2531,4628,309,330,310,405
0.455,272,1478,2530,4510,303,351,319,415
0.465,271,1552,2532,4418,267,350,263,444
0.475,291,1629,2533,4217,263,366,297,469
0.485,312,1699,2531,3937,259,366,308,455
0.495,316,1760,2529,3714,246,299,310,410
0.505,277,1804,2541,3727,230,281,294,394
0.515,272,1829,2528,3826,243,283,318,420
0.525,242,1834,2456,3977,247,257,339,442
0.535,241,1788,2414,4164,240,281,356,416
0.545,268,1747,2445,4133,249,331,365,361
0.555,235,1752,2451,4116,266,356,344,353
0.565,272,1738,2457,4105,303,344,313,362
0.575,237,1703,2521,4104,298,312,355,379
0.585,230,1669,2514,4027,288,307,289,383
0.595,198,1619,2455,4090,295,292,300,387
0.605,194,1562,2447,4153,286,314,334,411
0.615,193,1549,2452,4175,265,317,351,403
0.625,190,1561,2434,4234,260,335,371,419
0.635,229,1556,2414,4200,287,305,312,404
0.645,213,1520,2410,4084,292,290,328,415
0.655,255,1495,2422,3911,254,308,321,405
0.665,387,1508,2458,3694,226,316,324,416
0.675,454,1569,2499,3485,207,321,331,404
0.685,510,1632,2494,3394,187,314,334,383
0.695,512,1640,2495,3396,175,297,363,364
0.705,542,1639,2485,3445,167,298,346,354
0.715,546,1671,2441,3432,162,291,364,358
0.725,548,1717,2383,3408,180,311,358,359
0.735,550,1725,2335,3399,189,311,400,374
0.745,511,1648,2307,3493,182,321,359,356
0.755,460,1557,2278,3503,211,336,307,384
0.765,419,1423,2244,3614,206,323,293,415
0.775,312,1173,2210,3748,233,326,259,448
0.785,204,1005,2186,3801,233,333,237,413
0.795,215,905,2178,3842,230,320,245,404
0.805,252,892,2180,3835,224,308,263,402
0.815,322,924,2180,3721,214,287,264,408
0.825,427,941,2183,3628,224,297,288,394
0.835,465,936,2176,3518,204,292,309,387
0.845,470,935,2238,3490,217,312,351,394
0.855,467,934,2458,3537,236,294,351,388
0.865,465,914,2587,3556,227,333,340,385
0.875,468,877,2611,3545,233,309,347,370
0.885,470,856,2610,3636,207,301,345,340
0.895,448,884,2655,3629,215,299,313,357
0.905,426,903,2696,3640,207,292,304,352
0.915,427,891,2699,3678,215,297,300,349
0.925,433,867,2686,3726,215,288,296,366
0.935,427,833,2678,3811,196,290,304,338
0.945,403,818,2679,3978,204,314,316,337
0.955,385,844,2685,3940,205,342,340,334
0.965,384,855,2694,4029,222,346,369,330
0.975,392,822,2695,4095,229,332,384,336
0.985,371,825,2672,4025,259,320,403,392
0.995,320,894,2631,4011,280,325,387,387
1.005,287,964,2603,3967,293,323,410,383
1.015,266,1009,2602,3942,285,342,377,370
1.025,241,1053,2619,3906,286,346,346,368
1.035,229,1086,2646,3789,269,342,330,389
1.045,233,1089,2669,3877,255,337,316,369
1.055,237,1088,2685,3847,245,343,310,355
