sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,501,1467,2523,3667,253,299,344,433
0.015,508,1510,2479,3728,264,294,329,435
0.025,547,1537,2477,3727,278,318,311,435
0.035,568,1593,2418,3787,269,328,301,425
0.045,598,1564,2454,3760,301,315,301,429
0.055,582,1564,2427,3658,267,319,316,446
0.065,501,1456,2478,3574,316,305,329,431
0.075,426,1478,2349,3516,286,327,325,436
0.085,475,1407,2427,3479,281,293,343,429
0.095,539,1411,2515,3531,299,298,319,442
0.105,681,1477,2491,3669,249,328,307,439
0.115,760,1553,2482,3722,238,354,321,437
0.125,775,1687,2438,3780,271,318,328,419
0.135,854,1726,2452,3834,306,299,326,429
0.145,419,1820,2402,3809,282,291,332,476
0.155,421,1842,2398,3787,317,243,358,474
0.165,384,1799,2324,3800,340,241,390,464
0.175,352,1754,2287,3722,345,271,372,451
0.185,357,1693,2196,3734,349,284,391,438
0.195,324,1574,2039,3725,282,294,412,415
0.205,270,1453,1883,3758,240,271,433,402
0.215,345,1354,1772,3690,193,283,403,424
0.225,384,1286,1710,3681,214,297,356,415
0.235,345,1241,1712,3705,207,328,320,439
0.245,439,1179,1787,3809,222,330,314,461
0.255,470,1133,1850,3823,231,338,299,452
0.265,492,1125,1872,3824,227,335,296,437
0.275,542,1129,1899,3822,233,321,291,434
0.285,529,1131,1938,3790,230,346,284,434
0.295,500,1159,1964,3751,234,326,301,442
0.305,505,1229,2004,3757,261,304,305,431
0.315,471,1307,2062,3780,232,306,299,444
0.325,412,1381,2068,3843,205,325,300,439
0.335,372,1490,2069,3870,228,331,302,444
0.345,339,1610,2123,3860,205,320,336,441
0.355,287,1702,2188,3835,211,306,314,430
0.365,264,1761,2181,3760,216,310,308,468
0.375,270,1797,2197,3684,213,294,302,450
0.385,272,1832,2229,3623,215,311,329,427
0.395,273,1877,2266,3514,215,303,313,418
0.405,269,1911,2337,3426,210,291,305,397
0.415,230,1914,2413,3406,213,337,330,383
0.425,192,1908,2449,3383,215,303,320,354
0.435,187,1915,2479,3418,211,299,344,322
0.445,208,1937,2526,3537,202,306,371,313
0.455,231,1965,2589,3631,209,314,361,387
0.465,236,1937,2614,3642,213,309,330,396
0.475,232,1832,2598,3654,208,311,337,428
0.485,232,1806,2650,3686,278,335,313,444
0.495,233,1864,2754,3750,327,361,256,458
0.505,233,1951,2802,3819,325,364,295,439
0.515,231,2007,2831,3790,347,302,313,442
0.525,250,2030,2852,3845,340,232,345,424
0.535,277,1995,2788,3813,349,196,371,434
0.545,276,1931,2592,3913,336,253,357,392
0.555,235,1838,2456,4110,350,312,364,382
