sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,543,1486,2456,3601,249,324,352,438
0.015,605,1489,2424,3653,252,315,317,415
0.025,619,1441,2431,3640,304,302,332,428
0.035,626,1491,2445,3691,254,331,328,433
0.045,679,1494,2493,3715,275,330,311,452
0.055,687,1548,2499,3700,272,334,338,454
0.065,704,1567,2546,3727,260,341,313,452
0.075,761,1586,2538,3732,239,371,306,452
0.085,808,1650,2555,3688,268,329,314,439
0.095,837,1750,2565,3713,258,321,344,437
0.105,854,1787,2581,3734,265,313,361,433
0.115,937,1797,2577,3722,277,304,380,431
0.125,938,1747,2628,3815,267,336,367,407
0.135,883,1874,2671,3920,268,301,377,404
0.145,671,1847,2628,4014,288,312,324,405
0.155,323,1860,2597,4066,262,286,297,398
0.165,273,1890,2570,4088,203,290,303,383
0.175,292,1912,2515,4126,217,301,320,369
0.185,339,1901,2510,4051,255,350,336,410
0.195,344,1845,2503,4027,209,300,302,409
0.205,292,1773,2471,4059,212,298,300,410
0.215,261,1726,2433,4034,261,352,311,433
0.225,280,1719,2429,4049,264,357,313,432
0.235,330,1746,2427,4084,219,370,277,415
0.245,390,1793,2507,4077,211,321,276,409
0.255,444,1844,2597,4100,186,295,288,413
0.265,481,1877,2647,4097,188,284,284,413
0.275,506,1888,2663,4090,183,294,288,406
0.285,533,1882,2676,4083,184,301,290,402
0.295,548,1864,2654,4065,190,291,283,407
0.305,538,1839,2589,4028,175,291,277,395
0.315,516,1802,2552,3960,180,294,284,399
0.325,507,1744,2515,3932,177,264,292,415
0.335,510,1657,2507,3909,184,309,312,438
0.345,503,1572,2513,4035,227,369,264,462
0.355,481,1555,2497,4088,222,383,264,494
0.365,460,1743,2566,4210,246,405,285,505
0.375,445,2161,2714,4362,243,382,287,473
0.385,435,2170,2768,4489,231,313,333,474
0.395,426,2069,2702,4569,234,334,348,479
0.405,428,1901,2552,4598,245,357,324,458
0.415,452,1530,2385,4578,252,386,302,462
0.425,471,1228,2249,4461,192,394,275,486
0.435,447,1017,2187,4314,202,368,255,486
0.445,403,885,2233,4217,195,365,293,524
0.455,386,798,2283,4170,154,388,291,520
0.465,392,733,2274,4093,139,403,327,537
0.475,388,708,2319,4057,141,394,350,533
0.485,372,748,2414,4028,173,312,384,523
0.495,345,840,2466,4075,168,305,390,532
0.505,319,921,2466,4048,192,312,358,521
0.515,314,983,2453,4051,217,308,332,517
0.525,339,1067,2469,4077,177,338,348,520
0.535,352,1196,2532,4051,207,324,343,534
0.545,327,1344,2565,3973,183,346,321,508
0.555,311,1462,2551,3996,194,348,298,512
0.565,328,1504,2527,4032,195,347,308,504
0.575,350,1535,2510,4116,212,369,317,463
0.585,350,1577,2508,4133,246,363,312,451
0.595,342,1610,2509,4093,277,343,331,412
0.605,365,1626,2505,4068,286,364,337,391
0.615,404,1628,2518,4089,281,367,347,401
0.625,365,1627,2545,4103,313,337,323,412
0.635,270,1628,2552,4075,335,327,336,409
0.645,266,1627,2543,4106,327,355,341,444
0.655,305,1623,2532,4015,342,371,367,419
0.665,303,1618,2520,3970,288,364,371,445
0.675,267,1620,2510,3964,277,362,351,446
0.685,258,1636,2506,3943,295,335,361,419
0.695,266,1666,2508,3972,298,335,350,431
0.705,277,1703,2516,3972,310,301,335,412
0.715,279,1739,2535,3891,304,326,341,399
0.725,276,1768,2567,3802,283,340,318,384
0.735,271,1791,2608,3743,318,282,333,362
0.745,272,1814,2644,3786,317,282,366,390
0.755,285,1842,2665,3891,301,288,344,459
0.765,304,1884,2669,3956,267,279,376,496
0.775,315,1953,2667,3985,244,262,367,492
0.785,314,2054,2667,4008,212,234,379,491
0.795,312,2133,2664,3996,222,230,372,489
0.805,321,2132,2642,4020,214,226,384,497
0.815,339,2154,2583,4042,219,250,387,507
0.825,351,2162,2486,3963,223,341,365,526
0.835,349,1927,2396,3850,253,382,358,517
0.845,335,1534,2316,3753,291,425,301,514
0.855,319,1353,2215,3681,280,437,283,514
0.865,310,1154,2227,3615,276,434,279,504
0.875,335,1063,2254,3589,245,428,267,471
0.885,301,1020,2291,3577,216,378,275,464
0.895,330,1028,2335,3527,211,318,336,478
0.905,398,1065,2385,3391,218,303,367,461
