sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,508,1515,2513,3664,252,315,337,430
0.015,609,1487,2494,3682,282,284,323,436
0.025,717,1563,2408,3709,275,314,339,479
0.035,822,1583,2482,3719,262,328,337,466
0.045,881,1651,2485,3718,249,346,337,465
0.055,855,1713,2565,3746,269,326,352,445
0.065,854,1725,2572,3707,256,331,355,437
0.075,863,1716,2624,3715,276,331,353,430
0.085,887,1690,2650,3734,297,318,350,440
0.095,980,1739,2582,3743,300,331,366,458
0.105,898,1818,2598,3741,251,302,396,450
0.115,876,1853,2581,3671,276,299,382,429
0.125,831,1840,2594,3726,330,304,369,455
0.135,733,1797,2458,3839,315,347,342,439
0.145,776,1745,2377,3968,272,416,281,442
0.155,479,1630,2352,4103,244,424,278,448
0.165,379,1020,2372,4071,216,408,264,428
0.175,373,986,2442,3896,143,426,352,414
0.185,433,992,2453,3790,145,434,329,393
0.195,498,1020,2511,3787,159,354,338,388
0.205,508,1051,2568,3756,196,319,343,380
0.215,501,1075,2581,3783,226,288,325,393
0.225,525,1089,2576,3668,214,295,323,361
0.235,557,1132,2590,3686,234,291,313,344
0.245,537,1211,2549,3713,240,315,316,342
0.255,440,1253,2463,3703,239,317,323,380
0.265,391,1272,2468,3617,211,344,413,375
0.275,360,1319,2557,3688,262,320,397,365
0.285,319,1384,2671,3746,287,315,394,364
0.295,313,1445,2751,3822,301,307,395,382
0.305,345,1491,2765,3759,290,319,375,400
0.315,345,1513,2732,3781,269,336,358,391
0.325,366,1536,2758,3681,283,352,386,357
0.335,391,1587,2805,3672,321,329,355,358
0.345,387,1623,2778,3724,331,330,333,364
0.355,391,1621,2712,3723,349,340,383,406
0.365,428,1608,2665,3801,283,395,332,401
0.375,471,1588,2614,3753,301,333,347,378
0.385,463,1545,2535,3646,297,323,330,342
0.395,465,1490,2440,3593,299,350,336,358
0.405,444,1458,2342,3552,270,333,323,374
0.415,407,1406,2249,3505,283,308,315,386
0.425,375,1276,2153,3501,280,298,324,407
0.435,331,1201,2074,3461,272,309,297,388
0.445,285,1131,2038,3463,258,290,293,380
0.455,274,1055,2037,3511,244,306,297,379
0.465,324,998,2041,3485,242,315,323,406
0.475,398,996,2136,3445,231,304,290,401
0.485,450,1005,2220,3433,226,287,283,424
0.495,462,1002,2215,3382,220,294,291,422
0.505,456,996,2173,3329,221,282,291,432
0.515,493,1008,2150,3361,231,297,314,415
0.525,541,1037,2117,3419,250,293,297,407
0.535,542,1039,2087,3521,250,302,311,404
0.545,543,1045,1949,3665,221,298,317,404
0.555,568,1071,1789,3758,218,293,316,415
0.565,575,1093,1735,3824,214,286,324,384
0.575,547,1112,1700,3866,224,292,325,372
0.585,535,1138,1645,3868,222,297,320,352
0.595,539,1171,1570,3888,229,309,318,362
0.605,540,1204,1534,3885,229,308,319,365
0.615,540,1241,1609,3950,232,304,314,394
0.625,511,1296,1713,3988,241,334,323,433
0.635,498,1365,1767,4069,260,324,322,443
0.645,502,1416,1835,4137,226,317,296,439
0.655,500,1467,1946,4154,223,335,351,421
0.665,501,1548,2060,4178,178,275,362,412
0.675,499,1634,2145,4228,179,270,331,410
0.685,503,1697,2214,4174,175,283,348,394
0.695,500,1727,2283,4071,189,302,368,387
0.705,470,1756,2351,3975,191,291,375,363
0.715,459,1828,2410,3916,192,291,337,361
0.725,466,1872,2460,3861,217,299,335,363
0.735,454,1914,2509,3813,208,284,331,355
0.745,424,1952,2557,3836,179,287,356,358
0.755,423,1987,2578,3867,206,290,352,355
0.765,423,2016,2561,3830,186,285,335,326
0.775,392,2039,2539,3883,211,292,337,336
0.785,354,2055,2537,3851,218,300,321,325
0.795,340,2063,2541,3890,229,301,313,328
0.805,346,2062,2538,3884,214,274,336,334
