sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,546,1506,2512,3643,262,352,386,439
0.015,610,1528,2486,3670,288,356,361,453
0.025,656,1549,2566,3701,288,300,352,422
0.035,750,1551,2517,3683,295,308,340,423
0.045,823,1597,2542,3695,274,336,338,429
0.055,816,1659,2581,3779,246,327,351,428
0.065,831,1690,2594,3870,217,343,380,447
0.075,737,1744,2611,3931,206,345,395,473
0.085,729,1708,2562,4012,190,321,360,472
0.095,730,1733,2500,3967,184,310,364,467
0.105,756,1715,2433,3926,198,308,364,463
0.115,826,1636,2462,3919,245,316,319,466
0.125,747,1694,2424,3890,215,305,326,458
0.135,828,1671,2402,3921,270,333,299,482
0.145,770,1737,2398,3858,201,323,301,468
0.155,832,1755,2370,3807,218,314,297,453
0.165,869,1749,2404,3814,199,324,264,417
0.175,794,1675,2448,3793,189,309,285,421
0.185,867,1657,2459,3885,187,316,275,449
0.195,806,1644,2424,3807,199,276,299,464
0.205,832,1666,2384,3716,206,281,309,464
0.215,830,1681,2394,3732,174,282,290,434
0.225,814,1711,2414,3730,176,271,276,440
0.235,742,1720,2408,3733,197,303,295,431
0.245,730,1701,2413,3798,186,319,301,408
0.255,742,1669,2422,3790,195,311,307,391
0.265,734,1648,2447,3792,187,306,316,394
0.275,708,1616,2477,3819,186,321,324,391
0.285,668,1547,2501,3838,193,313,316,379
0.295,673,1460,2481,3857,199,330,325,365
0.305,704,1395,2477,3850,211,328,331,361
0.315,644,1304,2495,3839,221,311,330,364
0.325,612,1161,2486,3795,215,293,327,363
0.335,622,1082,2476,3785,212,311,322,378
0.345,586,1052,2481,3771,210,298,315,382
0.355,537,994,2486,3709,203,319,323,373
0.365,510,937,2497,3662,215,308,332,375
0.375,505,924,2481,3703,215,320,326,391
0.385,511,933,2466,3704,211,298,325,418
0.395,494,926,2428,3689,228,332,325,402
0.405,445,897,2449,3784,215,331,327,399
0.415,409,861,2435,3830,244,337,316,384
0.425,412,835,2454,3848,230,344,330,401
0.435,459,821,2470,3792,227,313,336,416
0.445,505,817,2462,3778,210,331,330,437
0.455,488,819,2486,3716,229,329,326,445
0.465,439,813,2571,3740,248,360,347,437
0.475,395,789,2539,3722,234,335,336,400
0.485,376,747,2570,3776,221,341,337,383
0.495,380,690,2588,3733,199,315,371,363
0.505,397,647,2555,3769,226,343,332,341
0.515,416,638,2557,3784,233,329,322,332
0.525,429,657,2576,3702,191,316,364,345
0.535,432,699,2494,3715,197,292,339,335
0.545,428,756,2438,3634,215,302,328,371
0.555,422,822,2409,3633,200,298,306,377
0.565,426,889,2382,3658,216,331,325,392
0.575,447,952,2310,3643,225,298,340,416
0.585,469,1006,2211,3633,221,290,329,420
0.595,475,1056,2166,3650,228,302,311,426
0.605,467,1114,2133,3707,239,319,318,414
0.615,451,1190,2106,3748,219,333,294,395
0.625,433,1274,2104,3792,226,323,286,402
0.635,423,1351,2132,3841,219,328,299,385
0.645,422,1422,2146,3841,214,317,303,375
0.655,425,1492,2146,3851,201,303,288,366
0.665,428,1553,2211,3883,198,306,310,383
0.675,429,1589,2270,3932,220,329,318,393
0.685,428,1596,2308,3920,221,324,322,401
0.695,427,1566,2313,3877,206,305,304,426
0.705,427,1469,2400,3890,217,314,289,412
