sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,534,1510,2539,3647,268,326,373,458
0.015,550,1511,2476,3655,294,337,368,459
0.025,509,1516,2464,3664,289,337,336,451
0.035,561,1490,2366,3599,288,334,331,448
0.045,614,1431,2434,3572,270,300,349,432
0.055,699,1344,2454,3580,279,327,319,408
0.065,748,1383,2407,3592,237,336,330,385
0.075,719,1317,2521,3744,237,300,325,411
0.085,676,1360,2480,3859,258,313,322,409
0.095,683,1328,2444,3910,265,300,299,442
0.105,664,1566,2487,3943,283,325,304,460
0.115,669,1546,2557,3975,272,325,315,474
0.125,704,1556,2497,3977,304,319,318,436
0.135,604,1603,2500,3979,313,312,319,433
0.145,475,1752,2539,3981,339,289,363,429
0.155,455,1725,2490,4072,320,297,371,442
0.165,453,1758,2549,4197,294,317,327,422
0.175,419,1788,2339,4236,257,316,319,407
0.185,379,1791,2294,4176,280,320,369,409
0.195,358,1743,2263,3902,287,299,401,400
0.205,339,1643,2225,3552,271,308,383,455
0.215,311,1546,2160,3319,251,289,360,402
0.225,300,1469,2071,3286,222,271,364,359
0.235,330,1401,1975,3311,217,240,365,358
0.245,386,1343,1897,3359,211,243,358,358
0.255,426,1304,1852,3350,190,248,345,356
0.265,430,1276,1813,3361,204,238,328,364
0.275,419,1245,1774,3378,188,246,328,378
0.285,413,1209,1754,3401,188,243,329,388
0.295,416,1182,1772,3383,192,244,321,397
0.305,428,1175,1819,3385,209,269,318,405
0.315,442,1186,1873,3401,226,299,286,404
0.325,455,1210,1929,3424,224,306,276,414
0.335,461,1245,1997,3488,233,305,252,434
0.345,461,1288,2081,3495,231,302,264,422
0.355,458,1336,2169,3389,226,313,311,382
0.365,454,1384,2241,3380,229,303,326,349
0.375,451,1428,2289,3430,230,298,330,352
0.385,454,1465,2328,3457,230,311,330,366
0.395,464,1498,2370,3439,230,297,332,366
0.405,474,1530,2403,3402,228,302,346,345
0.415,471,1579,2417,3425,224,303,352,343
0.425,440,1632,2415,3429,230,288,355,336
0.435,387,1639,2404,3454,225,272,354,367
0.445,342,1608,2392,3529,215,279,344,394
0.455,325,1584,2391,3619,224,305,358,401
0.465,306,1598,2412,3685,238,327,372,457
0.475,257,1665,2458,3752,280,336,383,448
0.485,204,1723,2510,3906,300,357,371,438
0.495,188,1724,2552,4079,281,315,376,433
0.505,213,1716,2566,4180,266,299,377,395
0.515,246,1741,2561,4120,286,300,339,376
0.525,266,1755,2555,4088,254,307,365,411
0.535,269,1725,2556,4215,289,350,348,467
0.545,265,1668,2559,4312,312,342,347,440
0.555,264,1601,2554,4381,311,343,335,418
0.565,266,1537,2523,4345,335,334,324,400
0.575,268,1471,2456,4350,307,303,319,418
0.585,266,1387,2370,4370,253,364,309,439
0.595,259,1291,2290,4292,276,336,277,392
0.605,254,1207,2239,4232,304,299,269,366
0.615,260,1143,2215,4209,311,279,260,393
0.625,286,1096,2212,4206,297,306,243,401
0.635,307,1062,2227,4210,291,309,244,393
0.645,286,1039,2257,4254,293,302,258,423
0.655,238,1022,2291,4305,233,300,297,425
0.665,229,1019,2279,4297,228,318,306,422
0.675,256,1043,2213,4262,264,322,282,418
0.685,265,1109,2163,4148,260,310,285,443
0.695,244,1227,2167,4065,264,315,323,456
0.705,223,1375,2199,4025,323,319,303,461
0.715,223,1492,2231,3959,327,318,285,474
0.725,245,1552,2249,3913,287,331,304,472
0.735,268,1587,2250,3903,298,323,314,478
0.745,273,1604,2234,3864,261,324,355,481
0.755,268,1597,2202,3927,242,326,368,478
0.765,264,1562,2156,3981,236,301,368,492
0.775,265,1497,2110,3931,174,317,382,502
0.785,264,1405,2074,3933,220,324,361,484
0.795,262,1318,2042,3900,219,317,336,484
0.805,266,1275,1997,3832,242,313,359,501
0.815,280,1260,1930,3594,242,359,312,494
0.825,295,1229,1875,3353,274,314,276,439
0.835,304,1192,1884,3264,266,302,235,399
0.845,304,1180,1950,3260,250,330,266,335
0.855,303,1196,2031,3200,255,317,281,340
0.865,312,1218,2095,3174,261,316,285,320
0.875,327,1230,2138,3167,259,321,298,306
0.885,342,1228,2163,3183,268,318,310,303
0.895,350,1214,2175,3247,275,322,301,300
0.905,348,1193,2180,3333,270,320,291,307
0.915,334,1169,2179,3306,246,330,281,303
0.925,310,1148,2170,3299,236,321,293,347
0.935,282,1137,2150,3223,253,326,284,343
0.945,259,1136,2115,3350,238,336,296,382
0.955,241,1145,2064,3436,172,339,324,426
0.965,221,1162,2010,3503,215,310,337,416
0.975,199,1183,1981,3559,228,315,347,402
0.985,186,1204,1989,3549,271,312,337,420
0.995,188,1218,2011,3597,264,294,315,426
1.005,189,1223,2023,3640,254,325,314,437
1.015,181,1221,2017,3668,233,288,358,479
1.025,177,1220,2020,3629,230,294,365,478
1.035,189,1220,2054,3622,260,273,346,490
1.045,225,1220,2108,3550,276,311,349,479
1.055,259,1219,2158,3525,261,325,315,453
1.065,261,1217,2195,3479,292,304,276,447
1.075,267,1224,2228,3588,318,266,289,470
1.085,343,1231,2266,3691,234,332,284,488
1.095,398,1215,2312,3776,238,311,305,476
1.105,393,1172,2351,3846,252,310,313,492
1.115,380,1143,2367,3855,215,338,315,481
1.125,393,1156,2348,3862,263,326,325,498
1.135,414,1180,2325,3828,327,302,293,456
1.145,417,1176,2327,3795,353,325,288,456
