sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,629,1429,2398,3563,253,308,356,414
0.015,691,1500,2391,3593,232,361,306,400
0.025,720,1618,2395,3609,241,348,354,406
0.035,834,1652,2357,3595,272,356,320,426
0.045,904,1690,2365,3606,247,363,354,445
0.055,890,1729,2371,3604,245,343,368,442
0.065,854,1712,2389,3681,260,303,382,427
0.075,834,1695,2497,3778,241,334,353,418
0.085,941,1685,2461,3791,248,345,363,416
0.095,955,1704,2411,3843,230,353,354,418
0.105,948,1702,2426,3887,222,318,375,438
0.115,957,1745,2444,3964,225,338,364,459
0.125,940,1892,2481,4029,259,309,387,479
0.135,967,1956,2544,4127,235,328,380,452
0.145,907,1923,2625,4157,234,328,373,454
0.155,970,1920,2652,4113,245,321,378,430
0.165,1022,1882,2739,4105,259,316,346,430
0.175,1058,1983,2706,4071,233,339,342,441
0.185,1009,1887,2767,4056,247,313,370,473
0.195,962,1871,2787,3985,248,321,433,486
0.205,798,1829,2703,3944,254,296,378,455
0.215,874,1844,2673,3978,259,332,322,439
0.225,909,1910,2626,3928,250,345,342,443
0.235,897,1913,2694,3983,260,316,379,453
0.245,884,1941,2693,3952,274,313,336,434
0.255,869,1872,2750,3901,262,294,333,421
0.265,964,2004,2710,3930,261,329,350,441
0.275,939,2004,2714,3973,235,322,369,460
0.285,893,1912,2695,3856,267,306,373,434
0.295,910,1962,2704,3810,272,298,402,446
0.305,974,1933,2717,3858,274,283,382,440
0.315,896,1912,2783,3890,232,286,423,483
0.325,898,1905,2876,3868,260,255,420,487
0.335,956,1887,2874,3877,253,296,372,481
0.345,1016,1794,2887,3842,277,324,371,441
0.355,981,1842,2964,3832,278,328,372,445
0.365,974,1868,3003,3930,247,338,374,446
0.375,978,1910,2964,3952,246,352,396,443
0.385,996,1975,2992,4008,249,356,392,467
0.395,983,1945,2978,4177,254,334,352,457
0.405,936,1969,2915,4124,273,344,378,431
0.415,931,1881,2923,4126,256,330,385,437
0.425,968,1946,2908,4171,265,339,390,437
0.435,994,1971,2959,4266,274,332,392,461
0.445,918,1999,2999,4310,238,320,375,457
0.455,974,1990,2904,4293,247,308,376,467
0.465,1008,1974,2886,4314,264,299,379,471
0.475,1044,1936,2901,4326,270,303,355,464
0.485,1032,2002,2923,4265,237,325,378,498
0.495,987,1993,2957,4266,219,328,354,464
0.505,1021,2006,2932,4228,240,332,354,468
0.515,1075,2014,2771,4121,284,344,320,472
0.525,964,1969,2802,4125,249,308,319,437
0.535,1002,1980,2825,4186,247,302,352,472
0.545,979,1968,2700,4152,266,323,331,440
0.555,892,1841,2659,4186,241,311,368,429
0.565,906,1847,2685,4275,238,319,332,445
0.575,904,1906,2711,4344,237,357,302,468
0.585,898,1888,2630,4343,248,329,324,464
0.595,921,1817,2652,4317,240,322,342,490
0.605,976,1854,2732,4344,261,342,328,460
0.615,955,1823,2864,4291,282,303,361,473
0.625,915,1827,2886,4191,261,302,339,462
0.635,998,1915,2846,4140,226,313,369,456
0.645,1007,1976,2860,4095,228,332,357,433
0.655,980,1966,2854,4070,236,330,342,431
0.665,959,1939,2844,4032,246,341,351,395
0.675,984,2031,2859,4033,237,341,387,428
0.685,973,2006,2837,3923,234,311,376,469
0.695,991,1913,2865,3830,230,315,362,456
0.705,1007,1856,2821,3807,242,308,380,415
0.715,991,1843,2766,3853,243,318,373,416
0.725,958,1887,2785,3852,237,306,406,425
0.735,947,2016,2754,3817,235,340,398,425
0.745,948,1980,2681,3791,226,345,406,403
0.755,986,1821,2740,3833,253,327,381,410
0.765,970,1901,2746,3828,216,333,386,414
0.775,986,1882,2850,3873,222,351,353,419
0.785,1024,1846,2865,3909,240,340,372,437
0.795,982,1870,2834,3936,244,319,364,437
0.805,1000,1871,2868,3908,261,326,374,454
0.815,964,1793,2761,3927,296,333,304,416
0.825,998,1830,2765,3928,301,336,271,410
0.835,1005,1880,2654,3945,222,347,312,446
0.845,941,1876,2651,3971,250,304,393,470
0.855,866,1921,2612,4022,272,307,377,451
0.865,691,1854,2617,4103,263,279,404,467
0.875,713,1689,2689,4131,261,311,371,464
0.885,778,1688,2706,4154,258,318,373,468
0.895,808,1747,2680,4143,287,329,343,460
0.905,840,1746,2688,4206,267,343,342,465
0.915,790,1688,2655,4183,180,368,344,465
0.925,786,1743,2561,4184,197,400,318,442
0.935,869,1709,2446,4131,229,400,319,438
0.945,867,1662,2399,4011,241,356,348,418
0.955,809,1561,2351,4001,264,343,350,447
0.965,612,1339,2274,3896,220,386,338,437
0.975,532,1337,2175,3709,253,341,344,400
0.985,443,1416,2143,3634,227,288,397,342
0.995,496,1505,2184,3709,215,289,327,370
1.005,487,1591,2255,3784,194,281,324,364
1.015,441,1652,2316,3716,213,290,330,370
1.025,349,4951,2357,3698,196,284,361,387
1.035,496,4735,2382,3691,244,351,320,424
1.045,419,4528,2394,3674,289,340,327,421
1.055,389,4330,2396,3642,304,319,323,415
1.065,387,4140,2393,3618,307,320,319,416
1.075,392,3960,2390,3618,319,316,315,415
1.085,393,3787,2394,3676,298,317,352,440
1.095,392,3623,2406,3764,285,318,378,452
1.105,391,3468,2420,3788,284,343,401,441
1.115,392,3320,2432,3870,281,307,355,440
1.125,392,3180,2438,3820,264,293,348,452
1.135,391,3048,2438,3818,246,313,318,430
1.145,390,2923,2434,3677,224,296,305,374
1.155,395,2805,2427,3683,212,298,315,362
1.165,406,2695,2426,3603,232,312,345,358
1.175,423,2592,2445,3560,234,342,352,357
1.185,443,2495,2482,3598,219,332,345,371
1.195,462,2405,2514,3552,200,325,334,408
1.205,470,2322,2531,3553,203,334,332,404
1.215,468,2245,2545,3590,209,329,325,400
1.225,475,2175,2568,3669,201,332,322,384
1.235,495,2110,2592,3701,207,302,327,377
1.245,509,2051,2607,3697,207,310,326,383
1.255,503,1999,2627,3766,203,291,319,362
1.265,484,1951,2659,3792,220,276,315,354
1.275,470,1909,2694,3841,244,258,305,323
1.285,470,1873,2718,3949,236,304,329,313
1.295,471,1841,2745,3997,219,348,403,358
1.305,459,1815,2784,4094,290,308,409,382
1.315,436,1793,2768,4150,281,311,407,372
1.325,412,1776,2731,4171,288,331,413,385
1.335,396,1763,2711,4066,316,342,377,417
1.345,389,1755,2705,4082,267,330,387,450
1.355,390,1750,2707,4093,248,347,372,475
1.365,395,1750,2703,4063,274,324,337,453
1.375,405,1754,2683,4044,311,319,330,442
1.385,426,1761,2652,3990,326,326,340,438
1.395,461,1772,2621,3944,267,331,326,469
1.405,498,1786,2604,3976,315,305,322,466
1.415,523,1803,2592,3960,229,357,318,458
1.425,540,1824,2578,3852,218,302,342,461
1.435,569,1847,2561,3801,226,357,323,443
1.445,601,1873,2550,3746,213,332,339,405
1.455,622,1901,2550,3866,203,304,342,427
1.465,633,1932,2572,3862,199,298,335,415
1.475,633,1965,2627,3806,187,284,339,408
1.485,618,2000,2699,3757,190,264,328,389
1.495,595,2038,2756,3721,193,256,320,381
1.505,578,2076,2780,3695,188,270,309,366
1.515,564,2117,2784,3662,205,292,300,372
1.525,541,2157,2781,3665,195,296,305,376
1.535,502,2196,2785,3701,213,285,314,377
1.545,459,2229,2802,3712,196,304,297,358
1.555,422,2260,2821,3737,218,283,285,344
1.565,396,2291,2829,3782,202,274,281,331
1.575,388,2324,2827,3808,206,284,281,314
1.585,401,2331,2819,3801,187,296,277,308
1.595,424,2297,2801,3837,198,302,299,335
1.605,429,2260,2761,3926,188,335,303,387
1.615,406,2258,2704,3890,189,335,329,416
1.625,379,2225,2653,3919,241,334,378,428
1.635,361,2042,2625,4045,296,351,374,442
1.645,353,1852,2625,4097,341,359,336,440
1.655,354,1825,2655,4058,335,362,349,432
1.665,362,1889,2695,4033,294,353,344,463
1.675,374,1960,2723,3954,275,346,321,460
1.685,386,2017,2738,3877,256,347,317,420
1.695,392,2061,2753,3775,269,393,262,357
1.705,391,2094,2775,3769,230,335,283,346
1.715,380,2128,2807,3830,204,300,279,353
1.725,364,2173,2823,3846,198,314,281,351
1.735,351,2216,2802,3919,215,316,279,346
1.745,347,2241,2758,3844,217,331,268,332
1.755,356,2255,2711,3844,232,328,324,329
1.765,381,2270,2659,3875,238,332,321,383
1.775,426,2305,2589,3903,240,353,302,397
1.785,476,2302,2496,3838,229,364,297,414
1.795,513,2067,2391,3852,244,379,252,402
1.805,522,1840,2325,3881,249,389,265,382
1.815,514,1801,2317,3997,250,382,301,393
