sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,519,1418,2450,3689,254,300,333,461
0.015,579,1389,2401,3656,264,339,312,448
0.025,676,1469,2446,3673,239,320,341,476
0.035,701,1563,2514,3706,222,317,322,459
0.045,684,1622,2537,3715,286,311,330,442
0.055,669,1557,2601,3706,289,312,354,440
0.065,759,1496,2493,3636,271,316,358,423
0.075,816,1500,2420,3583,235,332,359,442
0.085,842,1592,2459,3614,257,316,324,437
0.095,859,1649,2499,3541,249,326,325,440
0.105,848,1668,2572,3535,283,319,365,415
0.115,913,1699,2554,3556,266,324,360,429
0.125,877,1709,2613,3578,250,309,366,419
0.135,867,1743,2587,3668,270,330,376,420
0.145,923,1792,2573,3638,267,345,394,439
0.155,872,1729,2608,3657,260,311,374,421
0.165,763,1725,2595,3744,234,334,353,428
0.175,664,1657,2538,3825,233,332,336,418
0.185,622,1644,2556,3794,290,282,332,430
0.195,680,1633,2543,3705,363,296,347,444
0.205,784,1679,2534,3689,311,332,325,422
0.215,827,1756,2647,3762,319,315,318,450
0.225,924,1701,2656,3804,273,319,321,446
0.235,951,1740,2611,3763,267,330,331,455
0.245,952,1747,2653,3750,245,306,367,451
0.255,927,1744,2668,3814,238,308,356,442
0.265,883,1623,2710,3957,237,287,345,440
0.275,896,1601,2647,3914,230,286,352,458
0.285,921,1516,2587,3816,234,284,375,461
0.295,980,1475,2451,3728,235,300,391,484
0.305,977,1502,2395,3656,237,292,379,478
0.315,1005,1452,2296,3507,211,270,354,467
0.325,915,1440,2362,3478,224,262,392,419
0.335,779,1356,2310,3418,200,304,384,390
0.345,800,1358,2299,3448,203,296,333,389
0.355,819,1379,2274,3473,212,314,354,395
0.365,705,1429,2236,3529,182,304,329,405
0.375,735,1491,2285,3589,175,324,311,401
0.385,708,1558,2365,3650,157,330,307,412
0.395,739,1650,2412,3718,160,348,295,421
0.405,730,1764,2258,3716,169,358,288,404
0.415,687,1848,2245,3770,164,358,293,397
0.425,697,1874,2232,3834,179,318,322,382
0.435,690,1872,2222,3742,183,305,309,354
0.445,745,1841,2215,3647,200,304,313,355
0.455,690,1839,2213,3654,206,326,311,362
0.465,718,1832,2219,3656,173,347,323,403
0.475,740,1768,2231,3630,171,344,352,422
0.485,760,1689,2249,3585,162,347,357,431
0.495,782,1582,2266,3530,158,341,331,424
0.505,807,1481,2279,3488,154,345,337,413
0.515,825,1425,2290,3516,182,320,352,383
0.525,823,1397,2297,3521,176,303,378,388
0.535,790,1453,2301,3600,161,264,386,377
0.545,756,1516,2302,3752,166,251,385,382
0.555,705,1609,2300,3890,163,241,393,375
0.565,677,1670,2296,3962,169,256,375,360
0.575,639,1674,2293,3959,157,270,377,336
0.585,613,1679,2296,3952,141,279,368,336
0.595,606,1714,2313,3845,145,291,344,345
0.605,587,1749,2350,3803,154,296,332,349
0.615,592,1753,2402,3886,164,291,344,393
0.625,574,1722,2444,3942,167,273,360,421
0.635,613,1712,2450,3977,177,276,359,451
0.645,614,1651,2415,4029,195,297,344,486
0.655,652,1589,2370,3964,221,334,336,427
0.665,650,1559,2340,3952,217,348,274,384
0.675,600,1483,2328,3896,257,339,248,375
0.685,588,1423,2334,3921,284,335,269,364
0.695,591,1383,2358,3899,275,341,284,368
0.705,610,1270,2399,3856,251,345,290,371
0.715,636,1205,2423,3849,177,361,296,369
0.725,695,1168,2373,3735,144,387,319,371
0.735,725,1154,2297,3688,140,351,331,362
0.745,798,1158,2275,3630,180,296,345,364
0.755,830,1174,2254,3550,204,281,361,354
0.765,834,1198,2182,3514,226,283,369,351
0.775,863,1224,2111,3546,228,288,364,364
0.785,852,1253,2076,3572,206,294,373,358
0.795,840,1284,2077,3628,229,291,371,372
0.805,849,1316,2116,3675,231,293,357,381
0.815,830,1348,2180,3755,224,291,350,375
0.825,811,1384,2237,3823,213,296,338,375
0.835,791,1425,2273,3907,207,297,337,369
0.845,716,1473,2304,3970,216,275,326,360
0.855,633,1526,2344,4095,206,283,329,358
0.865,558,1584,2398,4211,188,296,312,337
0.875,500,1642,2468,4221,203,299,310,321
0.885,452,1696,2539,4222,215,301,290,328
0.895,447,1735,2596,4377,229,302,335,385
0.905,384,1744,2653,4460,275,339,360,377
0.915,444,1716,2704,4415,300,321,404,399
0.925,375,1655,2732,4344,309,328,413,418
0.935,387,1566,2733,4361,304,376,424,406
0.945,442,1457,2727,4221,288,337,387,417
0.955,501,1333,2730,4168,225,355,362,427
0.965,539,1256,2722,4053,205,347,355,398
0.975,547,1174,2684,3979,211,333,304,392
0.985,544,1134,2623,3918,203,310,303,382
0.995,558,1117,2551,3837,202,313,309,381
1.005,580,1108,2496,3739,208,321,315,367
1.015,580,1087,2483,3732,222,322,315,344
1.025,556,1047,2505,3770,221,318,326,337
