sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,524,1537,2514,3627,227,304,348,458
0.015,577,1517,2472,3625,254,323,326,465
0.025,590,1550,2390,3572,264,332,336,459
0.035,576,1496,2475,3605,292,313,346,470
0.045,609,1507,2439,3526,268,326,335,471
0.055,608,1585,2441,3544,286,337,343,455
0.065,667,1571,2460,3570,295,333,333,430
0.075,622,1595,2493,3651,298,328,330,444
0.085,632,1496,2486,3605,290,341,321,445
0.095,654,1408,2525,3534,230,362,327,446
0.105,614,1405,2579,3505,188,371,295,435
0.115,585,1465,2656,3479,202,383,303,400
0.125,615,1456,2612,3534,218,378,276,410
0.135,611,1441,2608,3473,197,381,257,415
0.145,630,1399,2592,3409,233,383,249,416
0.155,610,2159,2606,3472,214,377,244,431
0.165,533,2187,2905,3472,281,378,270,408
0.175,401,2220,2948,3566,238,415,270,363
0.185,364,2264,2977,3588,284,423,262,358
0.195,301,2321,3037,3656,294,421,257,348
0.205,263,2317,3052,3743,263,399,255,328
0.215,289,2243,2995,3789,228,367,266,339
0.225,332,2282,2886,3783,231,301,322,349
0.235,370,2170,2711,3778,229,279,327,347
0.245,346,2019,2599,3796,231,349,324,335
0.255,176,1865,2411,3754,222,365,309,370
0.265,184,1746,2306,3692,215,355,308,429
0.275,215,1699,2265,3701,223,300,326,414
0.285,238,1704,2239,3756,220,309,335,417
0.295,250,1679,2240,3806,217,298,314,425
0.305,273,1657,2243,3859,213,341,313,463
0.315,389,1725,2240,3722,245,364,278,452
0.325,354,1824,2262,3668,279,402,231,390
0.335,347,1934,2322,3738,287,395,246,383
0.345,375,2059,2441,3787,270,356,292,375
0.355,367,2149,2692,3817,237,312,278,354
0.365,339,2223,2826,3800,221,276,311,352
0.375,315,2267,2871,3777,209,270,326,367
0.385,329,2288,2864,3755,214,276,347,375
0.395,326,2303,2894,3735,220,281,357,389
0.405,317,2316,2905,3732,224,296,351,376
0.415,306,2330,2901,3691,221,278,358,393
0.425,254,2327,2901,3757,207,292,363,432
0.435,263,2286,2903,3835,204,317,357,425
0.445,290,2243,2919,3896,212,370,327,437
0.455,249,2243,2944,3900,236,361,305,457
0.465,218,2259,2947,3865,252,378,312,452
0.475,188,2275,2876,3917,307,393,295,439
0.485,203,2287,2825,3927,267,361,300,450
0.495,239,2289,2893,3783,259,358,323,387
0.505,281,2277,2962,3844,228,309,324,376
0.515,313,2256,2961,3847,211,274,321,375
0.525,352,2243,2933,3883,215,246,321,386
0.535,416,2247,2904,3891,208,271,324,377
0.545,484,2250,2869,3878,200,270,327,381
0.555,533,2231,2833,3886,201,278,336,381
0.565,568,2192,2804,3865,200,270,326,377
0.575,590,2160,2787,3872,213,272,316,378
0.585,604,2146,2784,3883,200,271,315,372
0.595,611,2135,2786,3905,196,267,309,369
0.605,617,2107,2786,3897,221,292,302,372
0.615,622,2069,2785,3917,212,289,300,368
0.625,631,2040,2785,3913,210,286,295,366
0.635,647,2027,2786,3913,214,296,290,368
0.645,670,2009,2785,3941,204,322,289,364
0.655,696,1976,2778,3915,219,297,293,365
0.665,718,1932,2790,3946,201,323,290,369
0.675,728,1891,2824,3963,205,300,288,372
0.685,725,1861,2831,3976,192,296,281,370
0.695,710,1854,2824,3989,203,301,272,382
0.705,687,1859,2826,4038,196,301,282,370
0.715,658,1856,2814,4095,205,298,285,360
0.725,622,1833,2791,4115,197,308,294,362
0.735,579,1807,2785,4151,217,299,293,372
0.745,529,1777,2810,4181,241,297,296,357
0.755,473,1708,2858,4205,231,294,258,368
0.765,416,1617,2898,4288,190,299,244,378
0.775,359,1587,2901,4377,207,298,252,409
0.785,306,1625,2905,4418,177,290,245,428
0.795,261,1635,2829,4455,182,341,277,411
0.805,228,1619,2737,4408,189,336,305,446
0.815,212,1597,2748,4333,228,327,322,475
0.825,216,1576,2746,4244,235,332,306,461
0.835,247,1577,2779,4257,260,329,313,442
0.845,306,1627,2821,4285,278,339,320,418
0.855,298,1682,2825,4306,254,310,324,416
0.865,308,1705,2829,4348,240,350,329,402
0.875,310,1704,2821,4328,243,303,365,393
0.885,298,1691,2750,4310,202,286,314,447
0.895,273,1673,2654,4226,187,278,279,440
0.905,244,1655,2575,4061,176,279,276,446
0.915,227,1634,2521,3928,200,312,278,437
0.925,229,1601,2490,3811,219,338,285,434
0.935,233,1550,2456,3766,211,348,317,459
0.945,233,1501,2415,3771,239,345,308,467
0.955,229,1481,2397,3753,280,324,309,474
0.965,228,1476,2404,3701,259,294,360,459
0.975,239,1465,2390,3770,266,301,367,447
0.985,260,1445,2343,3746,259,321,353,429
0.995,270,1431,2319,3746,274,297,341,435
1.005,267,1441,2339,3797,293,316,321,441
1.015,281,1463,2365,3848,311,307,339,444
1.025,305,1482,2366,3845,240,323,327,447
1.035,304,1507,2336,3783,206,299,304,419
1.045,304,1549,2296,3822,202,340,270,413
1.055,401,1584,2282,3870,188,295,310,426
1.065,458,1577,2306,4006,184,271,330,451
1.075,465,1547,2343,3942,195,316,309,409
1.085,489,1581,2384,3913,182,290,338,401
1.095,532,1624,2428,3782,180,279,334,419
1.105,576,1593,2466,3686,200,298,309,390
1.115,606,1546,2485,3665,196,291,314,373
1.125,641,1554,2479,3697,195,282,311,345
1.135,683,1590,2444,3673,193,281,328,346
1.145,717,1616,2406,3696,194,275,324,332
1.155,733,1624,2394,3675,198,270,323,313
1.165,729,1616,2399,3691,195,298,336,310
1.175,705,1611,2398,3677,202,307,341,296
1.185,663,1636,2400,3738,209,301,349,291
1.195,625,1687,2401,3731,225,304,358,319
1.205,615,1722,2370,3784,208,311,353,324
1.215,618,1733,2318,3893,183,324,319,373
1.225,618,1743,2276,4031,200,347,295,453
1.235,617,1762,2258,4119,223,324,301,499
1.245,525,1779,2234,4105,247,317,336,474
1.255,460,1780,2267,4020,233,314,332,442
1.265,461,1741,2158,4035,270,310,326,439
1.275,460,1704,2140,4046,256,303,346,455
1.285,460,1653,2168,3995,262,316,364,479
1.295,461,1604,2190,4019,271,338,359,480
1.305,462,1575,2170,4128,230,334,370,512
1.315,456,1572,2130,4119,256,326,341,474
1.325,459,1576,2114,4115,303,308,327,456
1.335,497,1563,2143,4094,280,318,315,461
1.345,556,1543,2182,4045,324,295,320,463
1.355,609,1530,2196,4024,320,316,309,465
1.365,630,1529,2190,4016,294,317,306,475
1.375,612,1534,2189,4007,260,316,316,443
1.385,559,1540,2217,4075,251,288,324,437
1.395,510,1541,2267,4168,234,296,316,397
1.405,469,1533,2322,4215,218,289,326,388
1.415,420,1517,2371,4195,208,287,326,376
1.425,377,1498,2411,4218,198,304,301,387
1.435,349,1484,2442,4281,234,315,300,407
1.445,315,1474,2459,4289,281,318,309,401
1.455,312,1466,2457,4267,277,326,330,444
1.465,341,1458,2438,4309,314,315,340,426
1.475,340,1450,2419,4235,290,311,328,444
1.485,303,1448,2407,4211,287,300,329,425
1.495,306,1456,2391,4162,300,263,345,412
1.505,307,1477,2355,4199,269,326,332,433
1.515,310,1506,2316,4323,271,282,326,429
1.525,292,1530,2308,4520,302,318,351,437
1.535,264,1538,2339,4705,308,285,350,438
1.545,269,1528,2363,4639,320,343,346,383
1.555,324,1510,2380,4559,321,345,309,355
1.565,341,1496,2410,4519,328,302,345,370
1.575,308,1492,2447,4518,348,312,342,388
1.585,328,1495,2475,4357,319,307,307,431
1.595,374,1502,2490,4197,257,339,305,443
1.605,417,1513,2498,4071,219,300,316,401
1.615,456,1530,2505,4019,209,302,303,374
1.625,494,1555,2518,3961,203,301,309,377
1.635,557,1576,2545,3905,218,311,323,380
1.645,636,1574,2584,3874,218,308,330,372
1.655,654,1546,2613,3866,206,301,329,367
1.665,648,1530,2617,3855,205,311,338,373
1.675,710,1534,2612,3845,200,309,334,370
1.685,747,1539,2611,3858,196,305,331,365
1.695,734,1537,2616,3880,196,306,323,361
1.705,733,1534,2618,3875,195,315,313,364
1.715,725,1538,2606,3893,198,313,309,355
1.725,672,1537,2583,3915,206,307,298,340
1.735,650,1484,2573,3903,210,298,297,336
1.745,648,1402,2575,3895,218,280,298,336
1.755,609,1332,2571,3901,210,283,285,336
1.765,543,1288,2577,3954,239,307,303,370
1.775,464,1227,2552,3980,246,317,314,415
1.785,391,1149,2382,4019,227,322,285,427
1.795,338,1087,2205,3997,205,302,258,390
1.805,313,1048,2266,3983,217,306,259,394
1.815,302,1009,2480,3975,223,289,271,396
1.825,303,968,2589,3936,217,311,273,398
1.835,326,933,2623,3922,217,304,307,394
1.845,345,908,2662,3924,222,318,305,387
1.855,333,894,2694,3950,217,308,317,383
1.865,310,881,2706,3976,218,309,312,383
1.875,307,864,2693,4018,225,309,309,396
1.885,301,850,2659,4073,240,302,316,402
1.895,279,845,2616,4054,269,287,347,444
1.905,268,847,2576,4011,233,306,311,449
1.915,289,844,2532,4042,240,327,347,479
1.925,307,832,2470,3972,229,381,378,478
1.935,285,842,2388,3853,219,365,386,491
