sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,530,1479,2433,3628,264,318,317,408
0.015,566,1440,2413,3643,291,314,292,428
0.025,600,1441,2424,3682,245,322,299,443
0.035,604,1454,2316,3643,299,334,312,440
0.045,588,1946,2290,3590,288,326,330,430
0.055,617,1914,2445,3574,266,330,337,441
0.065,700,1936,2499,3552,255,377,313,423
0.075,684,1957,2508,3506,236,367,354,390
0.085,682,1954,2482,3530,261,373,337,375
0.095,677,1970,2536,3669,268,370,335,355
0.105,685,1994,2521,3650,283,349,298,394
0.115,618,1989,2539,3585,258,373,284,445
0.125,414,1990,2565,3576,241,391,269,480
0.135,285,2049,2463,3416,232,404,355,486
0.145,275,2107,2422,3370,202,394,301,436
0.155,249,2113,2512,3283,201,369,310,403
0.165,279,2086,2470,3255,206,336,315,413
0.175,342,2080,2414,3234,210,291,328,419
0.185,363,2068,2385,3246,217,298,334,414
0.195,392,1976,2428,3342,223,327,328,416
0.205,383,1855,2452,3387,252,340,340,411
0.215,417,1737,2441,3403,259,334,344,399
0.225,491,1620,2365,3377,255,321,315,394
0.235,515,1492,2351,3401,212,309,321,395
0.245,525,1348,2366,3348,250,308,327,399
0.255,527,1229,2374,3341,246,288,328,402
0.265,518,1164,2457,3327,227,273,300,389
0.275,548,1139,2559,3328,216,287,314,390
0.285,570,1118,2626,3329,202,297,312,383
0.295,575,1054,2643,3333,207,291,302,421
0.305,543,983,2644,3339,203,301,291,413
0.315,535,969,2658,3344,209,324,263,417
0.325,508,982,2680,3353,227,321,269,416
0.335,507,980,2701,3353,232,300,283,412
0.345,506,986,2722,3325,246,289,294,407
0.355,502,1033,2746,3306,249,291,290,416
0.365,485,1079,2764,3322,253,317,277,450
0.375,401,1103,2759,3473,245,289,282,472
0.385,358,1132,2727,3493,184,332,358,449
0.395,298,1191,2676,3587,213,323,356,433
0.405,305,1257,2639,3610,224,338,338,433
0.415,350,1278,2637,3532,295,320,322,448
0.425,406,1266,2646,3531,304,270,373,436
0.435,449,1249,2643,3491,253,332,351,407
0.445,453,1211,2620,3517,209,338,327,401
0.455,410,1133,2597,3551,189,353,340,401
0.465,339,1017,2568,3537,205,378,355,409
0.475,296,895,2495,3549,202,370,382,435
0.485,317,811,2416,3597,205,355,385,452
0.495,334,783,2392,3567,220,381,386,485
0.505,303,781,2401,3537,180,356,398,480
