sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,558,1599,2474,3660,217,291,370,414
0.015,566,1557,2341,3653,264,319,339,421
0.025,591,1537,2272,3632,281,337,338,446
0.035,501,1564,2347,3598,294,313,339,449
0.045,519,1552,2404,3527,286,332,320,442
0.055,530,1454,2480,3568,296,315,316,419
0.065,571,1420,2512,3562,289,319,306,430
0.075,571,1506,2541,3561,246,311,332,432
0.085,565,1511,2523,3582,244,292,357,429
0.095,541,1550,2446,3633,237,299,318,443
0.105,490,1493,2331,3626,258,307,285,409
0.115,490,1516,2368,3636,238,351,328,433
0.125,490,1482,2388,3662,245,335,304,427
0.135,490,1464,2422,3779,228,357,307,464
0.145,490,1493,2510,3850,284,279,363,485
0.155,432,1512,2571,3954,267,302,351,474
0.165,413,1503,2554,4006,211,344,299,411
0.175,444,1533,2559,3972,181,301,304,388
0.185,482,1556,2585,3957,192,325,300,400
0.195,494,1583,2568,3946,199,297,324,405
0.205,493,1623,2584,3924,196,284,305,403
0.215,490,1683,2595,3891,199,287,309,406
0.225,496,1754,2601,3890,184,283,309,408
0.235,477,1825,2571,3894,195,280,296,399
0.245,445,1884,2565,3928,187,280,307,409
0.255,456,1929,2571,3937,197,272,314,398
0.265,447,1972,2527,3936,199,294,306,414
0.275,441,2029,2540,3966,204,299,322,420
0.285,447,2098,2625,3902,198,314,314,391
0.295,421,2163,2666,3911,200,329,292,394
0.305,430,2213,2673,3902,193,358,305,397
0.315,451,2248,2613,3900,188,329,290,390
0.325,468,2258,2552,3865,181,295,279,376
0.335,466,2185,2502,3870,190,287,271,376
0.345,470,2006,2480,3938,191,274,292,378
0.355,468,1800,2403,3956,200,306,305,405
0.365,446,1679,2434,4020,237,323,281,454
0.375,433,1640,2417,4085,258,338,252,503
0.385,447,1519,2383,4149,253,342,266,509
0.395,453,1475,2348,4234,250,327,287,476
0.405,456,1546,2324,4199,224,305,304,488
0.415,496,1600,2324,4068,207,292,332,436
0.425,610,1654,2348,4117,235,315,290,390
0.435,611,1733,2391,4122,254,295,296,386
0.445,638,1814,2439,4048,247,310,295,402
0.455,699,1884,2477,4038,270,321,290,418
0.465,722,1921,2498,4041,286,309,322,417
0.475,798,1917,2506,3991,295,308,304,416
0.485,758,1921,2510,3990,255,305,295,410
0.495,781,1922,2509,4007,266,335,296,426
0.505,656,1911,2499,4037,242,296,302,461
0.515,676,1891,2485,4133,217,301,281,484
