sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,527,1571,2604,3687,193,290,392,446
0.015,576,1560,2562,3756,218,304,374,443
0.025,647,1588,2520,3722,215,305,354,432
0.035,644,1575,2552,3659,235,304,374,439
0.045,597,1553,2596,3662,264,279,374,440
0.055,667,1596,2560,3602,225,334,395,458
0.065,719,1564,2492,3561,238,363,380,461
0.075,692,1607,2397,3572,229,375,364,451
0.085,677,1590,2512,3643,202,354,336,446
0.095,694,1531,2502,3625,235,368,307,444
0.105,681,1534,2459,3628,191,359,346,438
0.115,710,1438,2482,3625,243,312,366,427
0.125,682,1461,2479,3713,194,336,330,440
0.135,612,1474,2481,3844,210,342,355,462
0.145,555,1441,2482,3921,222,346,334,479
0.155,385,1398,2476,3882,227,295,324,427
0.165,370,1419,2478,3674,223,297,331,406
0.175,353,1398,2495,3606,235,323,333,417
0.185,358,1374,2442,3613,226,312,314,419
0.195,340,1375,2352,3615,236,288,325,470
0.205,319,1369,2326,3626,236,313,362,468
0.215,338,1340,2264,3630,219,319,358,453
0.225,321,1302,2195,3670,215,323,322,451
0.235,311,1268,2174,3648,208,367,345,451
0.245,308,1218,2168,3681,208,350,336,423
0.255,311,1136,2109,3653,202,351,345,445
0.265,319,1065,2064,3663,199,350,332,461
0.275,332,1021,2061,3696,210,332,362,444
0.285,349,990,2099,3655,235,329,360,444
0.295,370,968,2154,3645,196,348,333,438
0.305,394,940,2208,3519,120,375,312,437
0.315,421,915,2264,3421,178,348,337,399
0.325,448,928,2317,3356,223,310,348,369
0.335,474,953,2328,3395,227,322,343,374
0.345,493,955,2336,3356,220,290,327,372
0.355,504,953,2364,3367,223,314,356,377
0.365,507,949,2351,3390,224,289,342,353
0.375,501,960,2324,3401,236,311,331,383
0.385,486,1019,2322,3390,216,294,372,369
0.395,466,1054,2331,3425,225,317,339,383
0.405,450,1099,2332,3370,216,302,312,374
0.415,451,1151,2316,3320,209,298,310,389
0.425,474,1175,2293,3369,208,315,330,361
0.435,505,1221,2285,3427,196,326,370,407
0.445,528,1263,2294,3528,167,308,367,394
0.455,528,1276,2312,3632,169,316,341,413
0.465,508,1323,2339,3662,240,326,351,417
0.475,475,1410,2370,3688,264,307,389,391
0.485,437,1470,2408,3742,287,338,322,386
0.495,402,1525,2437,3798,293,346,338,380
0.505,377,1602,2462,3864,317,332,335,401
0.515,369,1670,2483,3840,320,325,358,433
0.525,376,1687,2501,3798,323,335,356,425
0.535,392,1678,2514,3728,331,337,366,398
0.545,407,1685,2523,3719,331,324,345,365
0.555,415,1705,2528,3730,335,335,356,385
0.565,415,1721,2529,3744,329,339,350,386
0.575,406,1726,2526,3781,282,378,359,373
0.585,390,1719,2519,3863,278,368,346,334
0.595,368,1704,2508,3962,275,355,353,321
0.605,343,1687,2493,3971,264,335,355,332
0.615,319,1676,2474,3975,289,313,336,355
0.625,298,1675,2454,3986,254,346,325,347
0.635,286,1681,2434,3943,275,368,335,362
0.645,285,1687,2418,3815,263,388,310,403
0.655,301,1685,2409,3726,306,350,319,403
0.665,333,1663,2407,3777,289,337,314,400
0.675,375,1606,2411,3821,234,368,352,424
0.685,420,1506,2419,3881,222,383,342,488
0.695,463,1430,2430,3931,214,383,309,536
0.705,498,1411,2441,4002,189,395,233,521
0.715,522,1411,2451,4057,194,378,238,514
0.725,532,1411,2459,4178,196,389,246,512
0.735,525,1410,2463,4294,182,387,264,486
0.745,501,1413,2464,4340,199,378,276,493
0.755,467,1418,2461,4346,171,351,265,502
0.765,430,1402,2453,4324,161,359,319,484
