sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,432,1469,2357,3675,285,348,362,431
0.015,448,1493,2330,3738,269,327,338,429
0.025,545,1470,2352,3777,284,327,318,443
0.035,585,1536,2371,3788,288,310,350,446
0.045,630,1506,2420,3797,311,318,324,476
0.055,671,1558,2474,3802,259,316,318,466
0.065,705,1561,2490,3785,245,307,315,460
0.075,736,1566,2414,3806,256,302,316,450
0.085,718,1637,2418,3795,258,272,318,451
0.095,775,1593,2392,3818,255,300,325,457
0.105,739,1549,2402,3965,270,319,316,455
0.115,668,1485,2372,3951,318,293,308,450
0.125,535,1371,2336,3929,328,295,294,454
0.135,327,1462,2275,4085,238,317,332,434
0.145,406,1472,2213,4104,209,303,338,420
0.155,440,1483,2317,4076,170,339,349,391
0.165,438,1541,2370,4110,199,275,335,406
0.175,442,1604,2404,4173,193,275,308,399
0.185,439,1745,2430,4182,182,252,306,384
0.195,436,1920,2458,4175,177,278,281,389
0.205,433,2081,2500,4210,196,311,293,387
0.215,438,2197,2566,4223,190,335,307,383
0.225,438,2267,2654,4236,188,331,322,382
0.235,444,2302,2749,4250,195,322,331,380
0.245,455,2324,2840,4274,193,322,365,385
0.255,471,2352,2921,4315,189,333,358,382
0.265,475,2386,2986,4379,196,343,346,376
0.275,468,2412,3037,4463,201,350,326,392
0.285,476,2415,3072,4535,211,330,310,398
0.295,423,2385,3093,4563,205,308,297,432
0.305,346,2333,3102,4480,206,315,312,425
0.315,324,2286,3101,4457,200,328,318,459
0.325,410,2262,3090,4453,200,363,319,439
0.335,449,2264,3073,4505,190,361,302,446
0.345,467,2295,3053,4592,166,347,303,408
0.355,456,2356,3039,4676,171,363,302,401
0.365,457,2438,3042,4717,174,347,283,411
0.375,479,2514,3060,4742,174,377,255,401
0.385,476,2558,3078,4726,169,375,244,421
0.395,491,2570,3076,4838,174,378,213,418
0.405,487,2567,3045,4987,153,402,234,439
0.415,504,2559,2992,4991,169,415,253,385
0.425,492,2547,2928,5022,151,421,287,410
0.435,469,2530,2862,5042,173,424,276,411
0.445,449,2510,2805,5042,153,425,254,380
0.455,464,2488,2765,5013,174,435,247,406
0.465,476,2469,2751,4936,185,416,237,413
0.475,475,2455,2772,4853,169,417,246,412
0.485,499,2450,2836,4772,183,410,303,420
0.495,509,2449,2964,4725,184,395,312,434
0.505,533,2438,3165,4695,192,358,335,403
0.515,560,2402,3297,4677,196,331,345,409
