sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,575,1405,2454,3642,281,332,352,404
0.015,621,1392,2423,3626,284,325,339,388
0.025,587,1510,2386,3680,314,320,327,374
0.035,514,1544,2412,3752,321,327,315,384
0.045,539,1570,2381,3730,297,336,321,414
0.055,598,1592,2442,3707,289,335,329,436
0.065,670,1609,2509,3713,277,339,310,429
0.075,697,1624,2496,3633,306,299,360,455
0.085,680,1639,2512,3575,308,296,360,420
0.095,707,1655,2469,3532,278,329,349,420
0.105,752,1675,2494,3501,248,344,322,398
0.115,725,1699,2574,3577,249,341,326,418
0.125,705,1730,2619,3541,286,307,337,438
0.135,733,1769,2545,3483,294,330,325,443
0.145,792,1819,2484,3401,285,324,336,425
0.155,717,1880,2433,3350,238,342,337,414
0.165,595,1954,2440,3279,200,374,324,423
0.175,510,2043,2502,3204,247,406,336,416
0.185,483,2147,2627,3315,256,449,303,393
0.195,476,2265,2734,3390,266,421,287,403
0.205,470,2382,2906,3542,255,393,293,402
0.215,467,2481,2998,3705,231,368,259,427
0.225,442,2553,3106,3860,217,349,245,449
0.235,460,2597,3112,3983,175,356,251,451
0.245,456,2613,3081,4057,173,356,269,427
0.255,464,2597,3081,4094,176,352,289,429
0.265,438,2543,3016,4195,158,365,286,417
0.275,425,2447,2997,4250,165,355,308,416
0.285,391,2331,2936,4215,169,358,316,425
0.295,359,2219,2857,4213,201,347,338,428
0.305,374,2130,2894,4216,222,313,356,428
0.315,363,2068,2888,4132,239,308,376,429
0.325,372,2035,2814,4062,236,317,377,436
0.335,418,2022,2680,4144,247,353,314,460
0.345,465,2019,2655,4195,297,385,294,463
0.355,507,2019,2664,4096,285,349,296,431
0.365,492,2018,2570,4083,345,322,338,439
0.375,488,2015,2526,4141,369,363,362,453
0.385,549,2010,2451,4147,342,332,314,441
0.395,563,2003,2503,4140,334,300,308,443
0.405,663,1995,2426,4185,335,323,278,456
0.415,804,1983,2418,4204,289,351,256,463
0.425,902,1969,2507,4149,237,346,276,467
0.435,908,1953,2586,4046,231,344,281,423
0.445,871,1933,2558,3985,274,294,278,433
0.455,813,1910,2432,3943,281,302,287,418
0.465,733,1885,2445,3938,283,300,289,431
0.475,695,1859,2421,3942,293,306,296,412
0.485,715,1831,2390,3949,260,295,330,391
0.495,749,1802,2379,3988,236,301,314,391
0.505,639,1773,2418,3989,212,283,313,391
0.515,594,1744,2225,3963,195,243,308,404
0.525,597,1716,2107,3975,164,265,316,408
0.535,579,1690,2037,3995,166,286,312,391
0.545,560,1666,1993,4020,171,289,318,372
0.555,551,1647,1970,3961,163,294,325,376
0.565,566,1632,1963,3939,163,290,317,382
0.575,578,1623,1948,3948,175,301,312,361
0.585,583,1621,1955,3977,171,296,300,351
0.595,587,1625,1955,3992,176,282,299,354
0.605,608,1636,1970,3984,187,289,305,350
0.615,590,1654,2008,3935,174,278,294,362
0.625,609,1678,2038,3938,181,285,301,353
0.635,609,1710,2083,3984,193,303,301,358
0.645,614,1750,2113,3974,206,334,297,353
0.655,614,1796,2244,4001,223,335,295,353
0.665,615,1850,2339,3999,201,305,309,369
0.675,607,1908,2384,4030,192,291,317,370
0.685,607,1967,2496,4069,206,300,299,363
0.695,608,2026,2618,4088,201,292,286,360
0.705,606,2082,2702,4091,209,306,262,367
0.715,602,2131,2724,4116,216,281,283,367
0.725,601,2173,2769,4100,213,295,285,361
0.735,597,2203,2802,4144,217,298,331,369
0.745,601,2221,2839,4147,218,297,330,366
0.755,608,2223,2824,4150,221,299,294,362
0.765,620,2209,2800,4131,215,294,315,361
0.775,616,2176,2744,4104,206,291,305,361
0.785,614,2123,2689,4104,198,296,333,366
0.795,614,2056,2596,4101,202,291,332,373
0.805,624,1983,2509,4121,177,303,323,371
0.815,633,1909,2399,4068,167,316,313,372
0.825,640,1842,2358,4060,173,315,282,370
0.835,637,1789,2303,4017,184,307,299,383
0.845,623,1754,2242,3991,177,315,282,392
0.855,610,1735,2201,4016,178,307,324,383
0.865,610,1725,2139,4010,174,292,311,380
0.875,612,1717,2072,4009,167,293,305,386
0.885,618,1706,2003,4026,169,300,309,383
0.895,620,1684,1946,4042,166,307,302,380
0.905,616,1654,1929,4075,170,307,307,384
0.915,626,1617,1949,4125,181,313,289,379
0.925,632,1574,1977,4143,193,313,314,366
0.935,618,1523,1998,4187,198,299,304,372
0.945,610,1457,2046,4205,198,302,294,373
0.955,646,1366,2158,4220,190,309,292,361
0.965,600,1252,2257,4247,206,304,305,366
0.975,542,1137,2355,4212,203,330,296,351
0.985,504,1043,2387,4189,201,318,292,370
0.995,384,975,2429,4173,147,348,344,416
1.005,474,929,2448,4172,183,316,353,420
1.015,482,904,2440,4200,190,302,354,410
1.025,499,893,2424,4187,191,309,350,397
1.035,480,888,2473,4169,172,312,343,390
1.045,483,881,2499,4135,169,320,353,364
1.055,487,866,2554,4092,176,328,369,366
1.065,450,846,2624,4067,164,342,360,367
1.075,450,826,2621,4068,189,342,336,383
1.085,475,810,2617,4041,193,332,348,383
1.095,515,803,2614,4023,203,309,346,372
1.105,547,809,2604,3984,208,323,338,381
1.115,565,830,2645,3935,223,318,330,383
1.125,599,864,2628,3838,224,319,318,391
1.135,628,914,2613,3800,219,317,310,369
1.145,650,980,2601,3871,208,300,329,387
1.155,674,1060,2625,3955,204,277,336,383
1.165,700,1154,2648,4065,178,304,323,365
1.175,707,1258,2660,4163,181,292,296,373
1.185,695,1367,2730,4240,184,317,281,366
1.195,650,1465,2777,4343,187,316,282,374
1.205,566,1539,2836,4401,184,298,259,377
1.215,503,1584,2836,4445,167,294,245,390
1.225,463,1611,2882,4505,149,300,253,404
1.235,470,1629,2882,4483,190,304,313,445
1.245,493,1646,2882,4430,238,327,348,480
1.255,499,1661,2842,4377,291,341,352,458
1.265,509,1673,2833,4335,272,327,332,475
1.275,471,1682,2817,4347,290,291,335,476
1.285,460,1689,2801,4426,287,297,338,486
1.295,444,1696,2792,4438,283,356,333,488
1.305,410,1706,2799,4546,236,335,353,463
1.315,494,1721,2826,4608,215,308,382,431
1.325,508,1750,2870,4578,182,308,355,400
1.335,514,1802,2921,4511,167,298,301,397
1.345,511,1874,2967,4437,161,281,271,395
1.355,503,1944,2996,4395,165,271,264,396
1.365,490,1986,2994,4371,174,283,300,420
1.375,419,1987,2962,4288,201,330,334,437
1.385,303,1960,2917,4129,222,328,355,410
1.395,177,1920,2872,4057,191,362,332,414
1.405,137,1880,2835,3976,198,386,354,456
1.415,124,1851,2808,4022,199,392,358,455
1.425,143,1839,2797,3975,197,373,359,465
1.435,245,1850,2798,3962,231,356,362,480
1.445,403,1888,2803,3984,280,357,336,454
1.455,444,1946,2807,4057,336,373,355,460
1.465,437,2009,2805,4042,347,384,258,431
1.475,434,2061,2792,3957,329,367,281,443
1.485,476,2093,2765,3921,337,363,274,443
1.495,509,2101,2719,3998,347,360,289,451
1.505,527,2079,2660,4032,321,297,329,454
1.515,442,2024,2591,3898,283,338,381,457
1.525,445,1939,2517,3894,228,294,398,465
1.535,432,1836,2444,3886,224,294,408,489
1.545,418,1725,2375,3788,250,303,382,463
1.555,434,1618,2312,3690,258,336,323,470
1.565,451,1518,2257,3604,230,350,292,434
1.575,436,1430,2211,3615,225,297,303,415
1.585,436,1358,2176,3648,208,309,281,417
1.595,440,1303,2156,3659,222,301,276,410
1.605,478,1262,2156,3664,243,275,288,403
1.615,487,1233,2181,3662,253,268,285,403
1.625,501,1213,2227,3671,240,275,277,409
1.635,501,1199,2274,3681,221,287,281,404
1.645,501,1189,2299,3715,207,305,294,401
1.655,501,1182,2290,3752,200,303,290,399
1.665,506,1180,2258,3762,201,302,293,397
1.675,534,1185,2211,3773,198,292,289,397
1.685,557,1197,2159,3787,202,293,288,383
1.695,595,1218,2113,3822,202,311,292,386
1.705,629,1248,2083,3815,217,303,294,378
1.715,632,1286,2069,3772,219,298,297,368
1.725,632,1331,2068,3762,210,310,309,374
1.735,632,1385,2075,3783,194,305,304,374
1.745,637,1446,2085,3755,188,340,297,384
1.755,637,1507,2095,3722,181,316,307,352
1.765,637,1564,2098,3715,183,285,292,370
1.775,629,1610,2092,3705,181,293,296,364
1.785,566,1642,2078,3747,158,282,293,387
1.795,527,1665,2062,3744,163,280,338,381
1.805,551,1683,2048,3776,206,281,332,412
1.815,607,1699,2040,3780,251,315,328,422
1.825,658,1717,2041,3809,303,350,358,448
1.835,767,1737,2054,3872,314,349,349,475
1.845,911,1760,2081,3846,305,364,333,473
1.855,1011,1783,2122,3873,265,389,347,465
1.865,1008,1807,2170,3851,252,375,298,430
1.875,1033,1831,2223,3853,253,330,323,437
1.885,1044,1853,2274,3921,222,334,350,422
1.895,1044,1874,2319,3960,205,357,300,428
1.905,1015,1891,2356,3977,222,322,326,434
1.915,1033,1905,2382,3986,228,341,325,429
1.925,964,1915,2401,4021,219,363,327,420
1.935,944,1919,2415,4044,209,345,331,451
