sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,568,1507,2546,3563,242,285,370,430
0.015,648,1531,2548,3624,274,325,335,406
0.025,682,1591,2582,3665,284,323,339,440
0.035,732,1587,2569,3662,268,339,342,426
0.045,842,1643,2576,3670,263,327,373,437
0.055,928,1557,2585,3756,225,329,349,429
0.065,962,1501,2605,3801,238,328,374,444
0.075,929,1539,2624,3825,241,325,368,457
0.085,902,1539,2591,3823,240,318,358,483
0.095,916,1514,2612,3860,240,301,359,447
0.105,869,1563,2574,3904,217,360,339,424
0.115,841,1603,2628,3947,210,377,336,432
0.125,854,1563,2717,3909,234,334,330,446
0.135,830,1657,2728,3947,242,314,327,445
0.145,882,1664,2767,4024,224,333,325,439
0.155,915,1728,2757,4032,227,331,328,438
0.165,1002,1750,2697,4046,229,349,334,420
0.175,964,1708,2751,4069,270,317,331,442
0.185,927,1683,2774,4128,227,336,322,453
0.195,848,1676,2734,4164,227,318,341,436
0.205,773,1618,2705,4189,230,306,308,409
0.215,739,1579,2743,4297,252,315,328,396
0.225,738,1696,2762,4322,239,327,350,412
0.235,777,1681,2776,4263,293,283,319,425
0.245,865,1777,2730,4133,246,337,326,406
0.255,870,1839,2761,4133,258,283,348,403
0.265,787,1898,2802,4151,238,292,353,405
0.275,853,1969,2818,4128,248,297,364,401
0.285,918,2037,2772,4076,222,304,355,422
0.295,973,2088,2813,4055,220,313,351,406
0.305,929,2057,2912,3993,226,303,368,428
0.315,932,2038,3015,3987,229,271,376,440
0.325,982,2158,3065,4164,218,290,351,454
0.335,1005,2181,3017,4225,236,322,339,438
0.345,952,2256,2981,4252,213,310,344,420
0.355,954,2317,2920,4272,207,334,347,448
0.365,942,2216,2988,4230,219,284,387,497
0.375,936,2165,3049,4243,240,314,362,503
0.385,894,2193,2996,4229,221,312,340,463
0.395,916,2168,3019,4181,224,305,351,460
0.405,919,2189,3042,4191,228,304,358,430
0.415,881,2163,3068,4111,238,310,360,416
0.425,862,2177,3093,4143,252,299,343,447
0.435,908,2252,3104,4068,228,332,336,467
0.445,894,2305,3172,3988,213,336,368,471
0.455,917,2291,3229,3991,201,299,347,480
0.465,931,2292,3133,4024,207,313,360,455
0.475,861,2197,3127,3975,243,314,348,448
0.485,910,2181,3148,3959,222,301,354,467
0.495,917,2219,3016,3935,211,324,360,445
0.505,954,2253,3056,3871,226,321,352,476
0.515,943,2244,3025,3801,220,312,340,478
0.525,994,2239,3130,3833,207,318,357,466
0.535,949,2218,3084,3908,202,324,315,461
0.545,993,2268,3061,3984,197,357,308,475
0.555,949,2277,3032,4011,190,323,313,472
0.565,976,2264,3011,4069,194,345,283,461
0.575,915,2245,2998,4014,206,348,276,458
0.585,924,2194,2992,3988,202,356,279,429
0.595,946,2245,2992,3937,247,368,273,432
0.605,1018,2245,2999,3925,212,357,318,450
0.615,1119,2245,3010,3941,207,364,291,444
0.625,1133,2245,3025,3983,179,364,330,454
0.635,1109,2245,3044,3971,204,354,329,477
0.645,1056,2268,3066,3920,217,320,343,457
0.655,1068,2268,3091,3959,216,346,317,456
0.665,1051,2303,3117,3937,227,362,343,448
0.675,1056,2356,3144,3937,236,341,334,457
0.685,1048,2373,3171,3890,217,329,324,462
0.695,1012,2467,3198,3950,229,321,325,456
0.705,1057,2514,3225,3978,255,325,359,466
0.715,989,2561,3250,3983,228,349,350,458
0.725,848,2654,3273,3899,225,362,326,473
0.735,901,2701,3294,3797,238,390,372,480
0.745,866,2736,3314,3794,219,398,313,468
0.755,934,2736,3331,3730,191,425,349,428
0.765,928,2771,3345,3783,168,400,346,417
0.775,830,2783,3357,3774,224,384,343,400
0.785,824,2783,3364,3808,215,370,318,410
0.795,832,2765,3363,3785,193,412,304,397
0.805,841,2701,3350,3846,192,425,268,433
0.815,693,2690,3325,3782,220,450,268,426
0.825,556,2666,3291,3922,170,431,242,449
0.835,570,2608,3254,4001,213,447,248,484
0.845,574,2549,3219,4038,201,451,273,500
0.855,610,2514,3191,4139,209,430,275,512
0.865,579,2444,3173,4241,215,407,312,506
0.875,542,2338,3161,4436,198,377,318,496
0.885,493,2198,3153,4617,146,324,342,477
0.895,437,2104,3144,4675,169,300,364,423
0.905,414,2004,3137,4600,153,364,287,436
0.915,410,1940,3131,4537,135,360,248,453
0.925,438,1917,3125,4407,164,386,261,461
0.935,462,1882,3121,4318,180,376,263,470
0.945,466,1882,3118,4310,187,362,237,481
0.955,465,1882,3117,4377,194,364,265,471
0.965,451,1905,3117,4400,195,350,256,470
0.975,451,1905,3120,4450,207,351,258,458
0.985,434,1929,3123,4487,198,341,292,469
0.995,471,1964,3129,4647,221,361,345,465
1.005,441,2057,3137,4736,209,370,325,438
1.015,430,2233,3147,4729,224,361,280,397
1.025,413,2350,3159,4738,210,355,249,386
1.035,414,2455,3172,4659,216,364,262,387
1.045,404,2572,3185,4499,205,387,253,398
1.055,415,2619,3195,4306,210,406,258,396
1.065,475,2608,3200,4246,226,410,253,404
1.075,489,2596,3202,4279,208,427,246,427
1.085,461,2549,3201,4364,216,434,291,434
1.095,507,2444,3198,4384,187,420,299,449
1.105,543,2409,3196,4241,205,381,320,458
1.115,556,2350,3194,4246,208,323,329,459
1.125,594,2338,3194,4181,249,353,362,452
1.135,621,2315,3194,4157,265,332,325,446
1.145,658,2315,3194,4140,221,366,304,466
1.155,658,2303,3195,4117,226,381,293,468
1.165,647,2326,3196,4133,207,389,326,481
1.175,661,2338,3195,4150,222,420,288,443
1.185,664,2362,3195,4238,229,407,294,468
1.195,602,2385,3193,4220,220,434,271,502
1.205,553,2455,3191,4281,221,400,244,492
1.215,487,2420,3188,4313,212,422,235,465
1.225,475,2473,3183,4368,213,420,213,437
1.235,457,2479,3178,4421,193,408,218,483
1.245,444,2490,3172,4385,171,418,247,447
1.255,438,2526,3165,4411,152,407,241,441
1.265,451,2561,3156,4391,166,400,255,454
1.275,475,2572,3147,4371,159,402,228,455
1.285,461,2584,3137,4372,166,386,247,455
1.295,420,2608,3128,4450,165,389,263,451
1.305,371,2678,3121,4562,185,396,283,455
1.315,407,2678,3117,4463,166,399,325,436
1.325,321,2713,3118,4297,191,374,349,429
1.335,323,2707,3123,4195,229,375,365,429
1.345,365,2666,3131,4133,233,359,350,381
1.355,415,2643,3142,4024,227,378,343,393
1.365,354,2631,3155,4142,268,355,319,373
1.375,365,2502,3168,4149,321,383,325,367
1.385,371,2444,3181,4262,328,356,356,399
1.395,365,2338,3194,4316,263,353,338,408
1.405,365,2291,3204,4375,227,323,306,399
1.415,365,2174,3213,4437,227,321,322,404
1.425,377,2139,3220,4548,202,300,330,421
1.435,377,2081,3226,4634,198,285,326,410
1.445,370,1931,3230,4742,211,300,311,429
1.455,396,1895,3233,4667,213,294,349,436
1.465,383,1850,3235,4665,206,358,375,455
1.475,395,1855,3235,4649,216,329,352,447
1.485,411,1822,3235,4589,224,312,328,456
1.495,420,1814,3234,4607,225,313,359,457
1.505,409,1773,3233,4606,224,304,394,459
1.515,396,1724,3231,4464,225,316,387,437
1.525,403,1666,3229,4338,246,333,351,434
1.535,377,1777,3226,4381,270,334,400,461
1.545,506,1806,3223,4388,241,302,393,465
1.555,512,1847,3219,4453,234,299,423,476
1.565,597,1878,3216,4501,314,351,404,482
1.575,696,1827,3212,4528,381,354,401,470
1.585,850,1854,3208,4494,311,346,386,477
1.595,887,1878,3205,4522,266,301,359,499
1.605,978,1913,3201,4530,259,275,392,442
1.615,892,1953,3198,4562,240,279,415,449
1.625,912,1974,3195,4585,250,303,365,430
1.635,888,2053,3192,4702,233,313,361,437
1.645,923,1983,3189,4877,244,338,368,442
1.655,845,1989,3185,4905,241,347,337,418
1.665,812,2037,3182,4875,245,343,324,419
1.675,788,2051,3178,4927,261,351,327,414
1.685,770,2058,3173,4882,257,352,346,411
1.695,795,2047,3167,4840,264,364,343,459
1.705,821,2005,3160,4850,294,351,357,442
1.715,856,2066,3152,4810,260,337,386,428
1.725,836,2142,3142,4813,239,339,370,428
1.735,800,2096,3133,4874,244,327,346,420
1.745,799,2073,3125,4745,246,326,361,380
1.755,657,2071,3119,4719,252,310,352,385
1.765,496,2086,3116,4547,231,303,316,390
1.775,479,2115,3117,4655,175,290,320,397
1.785,513,2155,3123,4687,176,290,326,371
1.795,510,2202,3132,4569,191,276,355,390
