sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,518,1404,2468,3592,275,314,344,442
0.015,511,1394,2506,3683,287,287,291,461
0.025,498,1535,2442,3720,250,323,286,440
0.035,555,1522,2415,3761,254,346,316,457
0.045,584,1545,2465,3782,279,325,359,478
0.055,567,1540,2455,3727,294,315,321,456
0.065,580,1462,2430,3678,296,320,325,456
0.075,589,1441,2390,3655,320,302,328,415
0.085,598,1448,2370,3624,287,294,311,448
0.095,604,1553,2447,3685,258,319,327,444
0.105,663,1521,2471,3718,304,319,302,467
0.115,783,1496,2454,3699,273,313,322,476
0.125,806,1559,2478,3710,236,333,329,450
0.135,824,1675,2535,3708,211,337,319,422
0.145,795,1774,2666,3804,219,344,334,452
0.155,708,1824,2789,3949,228,311,350,471
0.165,531,1777,2900,4085,230,293,360,497
0.175,476,1695,2937,4311,184,257,330,502
0.185,496,1605,2849,4467,180,282,285,440
0.195,503,1615,2777,4539,191,313,270,446
0.205,544,1607,2810,4641,223,342,317,415
0.215,586,1573,2813,4556,238,343,337,407
0.225,659,1570,2776,4520,273,363,392,415
0.235,709,1578,2667,4584,285,354,357,426
0.245,696,1585,2578,4524,266,338,356,458
0.255,684,1570,2526,4406,284,344,361,461
0.265,712,1596,2478,4324,310,345,343,464
0.275,746,1597,2479,4228,292,332,327,457
0.285,771,1685,2493,4255,310,317,314,439
0.295,814,1683,2476,4297,268,330,329,446
0.305,816,1719,2594,4345,263,336,307,444
0.315,869,1665,2676,4391,250,361,317,444
0.325,873,1726,2743,4406,245,333,371,440
0.335,845,1710,2802,4418,208,354,324,438
0.345,715,1551,2879,4367,224,298,312,434
0.355,656,1545,2880,4310,206,302,315,400
0.365,675,1575,2893,4227,208,306,299,384
0.375,687,1582,2884,4137,206,309,277,337
0.385,667,1579,2842,4081,203,289,231,334
0.395,686,1571,2780,3985,195,316,253,348
0.405,687,1526,2723,3982,191,304,284,360
0.415,723,1499,2701,3961,208,345,278,369
0.425,724,1473,2637,3835,215,324,285,403
0.435,682,1492,2576,3690,208,323,274,405
0.445,644,1530,2542,3626,210,302,285,390
0.455,609,1619,2441,3547,217,322,300,394
0.465,587,1647,2377,3547,274,345,276,398
0.475,613,1724,2520,3685,308,338,263,418
0.485,639,1811,2612,3707,349,336,265,409
0.495,626,1887,2740,3693,344,339,302,394
0.505,655,1967,2782,3729,342,379,242,379
0.515,679,2051,2905,3828,358,347,220,389
0.525,695,2073,2934,3909,346,332,232,384
0.535,721,2113,2944,3892,345,336,280,358
0.545,725,2180,2961,3900,345,352,266,369
0.555,684,2215,2946,3883,324,382,232,379
0.565,729,2235,2938,3881,291,406,253,389
0.575,765,2234,2908,3866,286,414,265,382
0.585,770,2119,2822,3896,311,421,270,378
0.595,814,1911,2950,3939,248,362,297,418
0.605,778,1722,2860,3908,214,334,313,387
0.615,733,1573,2772,3913,175,356,290,374
0.625,751,1519,2830,3958,188,352,279,396
0.635,747,1433,2857,4043,174,363,278,427
0.645,657,1365,2905,4078,174,344,278,400
0.655,637,1304,2883,4096,173,341,267,383
0.665,651,1252,2861,4052,180,337,300,365
0.675,633,1200,2828,4111,178,325,303,371
0.685,633,1140,2823,4103,177,321,327,366
0.695,633,1073,2824,4116,182,307,343,364
0.705,619,1044,2862,4112,194,308,358,377
0.715,615,995,2994,4097,208,300,374,402
0.725,615,1041,3094,4020,202,314,363,391
0.735,615,1143,3128,4062,211,301,350,382
0.745,615,1206,3146,4084,204,311,359,382
0.755,600,1363,3120,4073,211,308,324,401
0.765,601,1429,3081,4124,214,292,311,401
0.775,601,1548,3001,4133,210,309,321,437
0.785,600,1647,2963,4219,197,317,341,433
0.795,601,1688,2909,4289,241,317,355,429
0.805,601,1805,2974,4415,211,299,338,425
0.815,591,1833,3039,4478,215,286,341,419
0.825,570,1851,3026,4514,202,280,333,415
0.835,538,1853,3053,4447,179,273,361,420
0.845,496,1812,3037,4399,176,253,305,420
0.855,464,1779,3012,4415,159,261,314,434
0.865,449,1751,2939,4465,185,281,321,425
0.875,451,1740,2899,4582,175,289,292,443
0.885,442,1712,2863,4667,179,279,280,437
0.895,433,1704,2766,4590,192,302,286,425
0.905,421,1739,2633,4410,216,376,368,425
0.915,422,1753,2645,4290,264,346,384,406
0.925,446,1696,2620,4363,348,377,366,381
0.935,515,1702,2494,4336,365,405,366,408
0.945,582,1680,2481,4242,358,393,318,404
0.955,654,1635,2513,4204,352,349,318,428
0.965,721,1581,2540,4169,324,336,314,421
0.975,812,1575,2536,4221,300,352,298,443
