sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,648,1448,2579,3534,235,348,351,447
0.015,745,1954,2636,3425,220,350,360,437
0.025,742,1902,2593,3410,223,341,350,417
0.035,785,1886,2573,3423,210,349,357,397
0.045,760,1900,2567,3509,209,317,332,408
0.055,668,1939,2566,3517,191,329,335,405
0.065,722,1998,2611,3526,228,318,324,420
0.075,835,2071,2580,3604,256,330,327,420
0.085,894,2153,2602,3661,258,315,342,419
0.095,911,2239,2655,3796,247,301,306,419
0.105,975,2326,2718,3808,268,319,296,419
0.115,849,2414,2732,3852,230,325,335,430
0.125,833,2505,2851,3938,243,351,360,462
0.135,948,2589,2921,3951,206,378,328,475
0.145,908,2650,2931,4001,189,409,299,455
0.155,889,2676,2958,4038,206,407,269,459
0.165,850,2669,2995,4063,193,409,240,459
0.175,687,2637,3033,4032,224,411,299,470
0.185,621,2582,3065,4113,222,420,266,442
0.195,553,2508,3085,4238,249,400,245,417
0.205,531,2493,3084,4323,229,402,215,393
0.215,533,2580,3056,4379,211,388,208,387
0.225,544,2625,3004,4397,220,348,263,365
0.235,553,2575,2939,4438,209,310,277,348
0.245,517,2466,2870,4448,200,310,298,370
0.255,436,2339,2807,4445,206,338,294,393
0.265,413,2235,2755,4481,227,369,338,430
0.275,426,2153,2715,4499,263,347,341,446
0.285,469,2086,2685,4430,273,327,355,478
0.295,492,2027,2664,4394,289,336,366,479
0.305,535,1975,2649,4330,312,319,379,454
0.315,546,1931,2638,4268,336,352,335,490
0.325,570,1893,2634,4306,342,368,345,502
0.335,570,1861,2637,4373,283,352,347,487
0.345,570,1826,2650,4317,279,329,358,486
0.355,594,1784,2675,4264,249,323,354,445
0.365,594,1726,2714,4170,191,330,328,408
0.375,605,1655,2764,4139,190,313,290,370
0.385,617,1592,2818,4106,198,316,278,353
0.395,640,1554,2869,4077,209,299,293,341
0.405,640,1544,2914,4081,215,303,308,356
0.415,711,1561,2948,4055,229,302,301,368
0.425,746,1601,2974,4042,224,304,298,370
0.435,746,1657,2992,4076,224,304,299,366
0.445,746,1726,3003,4112,220,310,307,361
0.455,746,1800,3008,4129,232,321,316,367
0.465,746,1875,3009,4134,231,326,327,360
0.475,746,1945,3010,4163,220,323,330,366
0.485,746,2006,3012,4179,208,326,322,381
0.495,734,2058,3017,4125,198,313,320,401
0.505,758,2107,3029,4157,184,322,313,415
0.515,746,2160,3050,4200,174,334,311,422
0.525,722,2223,3082,4247,179,345,318,439
0.535,734,2296,3126,4297,205,340,340,458
0.545,734,2360,3174,4372,177,314,376,491
0.555,722,2393,3220,4502,207,295,378,479
0.565,699,2395,3256,4681,210,300,376,464
0.575,687,2375,3274,4817,228,302,354,426
0.585,544,2342,3269,4855,232,287,334,386
0.595,462,2306,3247,4840,228,295,335,391
0.605,404,2276,3215,4867,235,297,339,388
0.615,364,2251,3181,4910,226,305,360,399
0.625,341,2220,3149,4811,195,316,355,415
0.635,314,2178,3119,4659,186,327,375,456
0.645,333,2127,3094,4525,210,350,436,450
0.655,381,2073,3072,4473,214,342,370,459
0.665,348,2023,3054,4500,195,340,384,487
0.675,420,1983,3041,4446,242,358,352,458
0.685,460,1956,3034,4477,300,346,397,484
0.695,477,1944,3032,4351,296,316,363,466
0.705,498,1949,3036,4216,335,345,395,459
0.715,498,1972,3046,4197,329,351,382,467
0.725,518,2015,3061,4272,286,327,404,481
0.735,599,2072,3083,4424,252,295,413,482
0.745,616,2132,3110,4563,249,313,403,457
0.755,630,2188,3144,4663,219,307,377,435
0.765,642,2231,3183,4701,195,256,383,413
0.775,616,2263,3228,4755,202,255,402,408
0.785,582,2284,3278,4740,188,278,376,396
0.795,562,2293,3327,4701,193,305,339,400
0.805,528,2293,3367,4620,200,293,360,381
0.815,450,2284,3390,4709,215,302,355,443
0.825,460,2268,3387,4752,227,305,338,404
0.835,459,2247,3361,4693,267,297,357,401
0.845,509,2225,3324,4685,251,361,349,437
0.855,451,2211,3287,4762,196,362,301,445
0.865,502,2212,3261,4704,168,338,292,449
0.875,514,2236,3251,4786,154,379,280,423
0.885,513,2292,3253,4672,152,400,283,414
0.895,552,2375,3264,4616,126,406,285,372
0.905,564,2473,3281,4576,135,383,306,343
0.915,638,2573,3300,4511,153,334,322,364
0.925,672,2654,3318,4512,146,312,320,369
0.935,685,2689,3330,4504,153,284,350,383
0.945,707,2652,3329,4522,166,267,357,385
0.955,712,2546,3306,4523,178,259,349,382
0.965,721,2386,3254,4530,193,285,332,375
0.975,698,2201,3180,4521,202,294,318,343
0.985,698,2058,3119,4476,211,260,300,359
0.995,679,1997,3099,4462,219,284,273,378
1.005,656,1991,3114,4480,224,282,270,388
1.015,629,2009,3148,4510,198,292,292,418
1.025,651,2021,3184,4492,183,310,288,378
1.035,728,2011,3208,4563,221,312,320,355
1.045,851,1986,3215,4566,198,305,300,306
1.055,890,1951,3209,4445,198,296,309,325
1.065,899,1914,3194,4457,193,305,323,346
1.075,914,1881,3174,4454,183,321,315,367
1.085,942,1861,3155,4395,192,317,322,364
1.095,966,1857,3138,4365,197,311,313,353
1.105,968,1868,3122,4328,196,320,296,369
1.115,968,1889,3104,4346,190,326,292,372
1.125,963,1916,3084,4366,186,325,297,375
1.135,969,1945,3059,4373,173,330,302,372
1.145,940,1974,3039,4397,171,321,304,377
1.155,871,1998,3035,4435,177,317,304,386
1.165,804,2015,3042,4479,161,313,299,397
1.175,773,2024,3060,4461,189,320,276,434
1.185,746,2026,3105,4373,182,296,239,457
1.195,717,2019,3179,4285,220,290,223,480
1.205,698,2002,3185,4128,208,311,276,458
1.215,687,1978,3098,3858,208,283,291,452
1.225,670,1947,2953,3703,188,287,336,407
1.235,628,1913,2713,3749,183,272,351,373
1.245,623,1875,2434,3858,185,281,321,392
1.255,608,1837,2250,3925,179,292,302,385
1.265,610,1800,2169,3988,179,295,304,382
1.275,610,1765,2154,4037,186,300,338,382
1.285,612,1734,2169,4070,189,294,323,382
1.295,610,1705,2179,4103,196,280,302,377
1.305,603,1668,2169,4103,190,277,315,382
1.315,607,1615,2143,4080,198,283,292,383
1.325,600,1543,2100,4046,215,300,300,404
1.335,535,1468,2000,4040,219,284,297,367
1.345,443,1407,1877,3957,220,283,293,361
1.355,399,1375,1839,3918,217,292,286,360
