sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,639,1427,2570,3744,259,312,329,436
0.015,684,1431,2558,3777,286,296,313,425
0.025,768,1448,2542,3832,311,304,309,475
0.035,879,1527,2488,3905,318,283,328,478
0.045,930,1634,2394,3951,283,318,347,492
0.055,972,1562,2541,3990,270,310,342,468
0.065,909,1525,2538,3942,242,327,317,457
0.075,849,1598,2499,3876,247,332,333,449
0.085,901,1630,2498,3803,261,332,329,462
0.095,878,1667,2497,3852,246,335,343,429
0.105,857,1653,2593,3903,257,314,363,437
0.115,877,1643,2496,3969,199,333,376,462
0.125,986,1705,2421,3960,231,348,366,466
0.135,1042,1814,2490,4024,249,299,382,464
0.145,1031,1867,2510,4111,207,282,416,463
0.155,992,1810,2458,4164,227,299,396,462
0.165,948,1705,2548,4224,234,291,429,461
0.175,982,1743,2531,4181,248,267,394,443
0.185,992,1800,2566,4197,236,268,424,476
0.195,939,1759,2634,4095,216,293,383,463
0.205,957,1731,2741,4102,223,298,403,446
0.215,1010,1709,2882,4121,228,285,370,422
0.225,1030,1689,2984,4084,192,298,340,403
0.235,1004,1664,3029,4062,201,306,319,391
0.245,974,1628,3067,4072,201,307,313,385
0.255,954,1578,3090,4126,191,299,307,376
0.265,924,1511,3086,4145,187,307,306,365
0.275,890,1432,3055,4157,188,296,314,380
0.285,845,1359,3015,4173,205,289,312,381
0.295,785,1316,3036,4204,197,284,318,387
0.305,708,1314,3002,4177,192,297,327,401
0.315,634,1286,2966,4162,200,264,332,415
0.325,467,1161,2860,4192,273,283,340,408
0.335,374,1029,2773,4204,235,289,356,426
0.345,480,967,2624,4150,241,299,334,433
0.355,519,968,2542,4186,279,349,357,468
0.365,513,1019,2458,4085,259,332,346,446
0.375,482,1104,2379,4162,268,336,323,478
0.385,495,1202,2465,4182,271,306,306,438
0.395,558,1287,2448,4187,276,334,306,439
0.405,555,1342,2483,4170,265,322,308,456
0.415,516,1372,2561,4075,300,296,355,453
0.425,569,1386,2556,4037,262,301,368,460
0.435,666,1391,2524,4102,301,291,383,450
0.445,690,1396,2539,4098,246,310,349,448
0.455,748,1405,2517,4136,270,286,325,434
0.465,804,1420,2438,4120,257,305,332,420
0.475,807,1446,2426,4165,308,253,326,404
0.485,814,1486,2349,4243,280,287,308,409
0.495,716,1537,2340,4218,228,277,302,399
0.505,521,1591,2250,4223,215,283,319,407
0.515,636,1636,2177,4225,184,317,335,396
0.525,618,1664,2117,4267,158,306,337,393
0.535,603,1666,2073,4245,148,310,313,366
0.545,591,1654,2074,4226,164,311,297,338
0.555,586,1649,2098,4178,174,320,309,316
0.565,582,1670,2102,4149,169,305,298,327
0.575,592,1726,2127,4109,173,308,308,348
0.585,632,1785,2149,4138,191,316,284,352
0.595,655,1811,2151,4104,216,322,310,357
0.605,608,1765,2151,4050,228,313,286,384
0.615,563,1613,2186,3944,236,294,296,397
0.625,450,1408,2240,3901,252,282,275,356
0.635,394,1304,2207,3830,259,291,278,340
0.645,388,1275,2188,3818,248,303,281,340
0.655,397,1272,2179,3780,232,310,279,340
0.665,405,1274,2152,3683,223,311,284,354
0.675,409,1274,2132,3558,236,300,276,392
0.685,427,1269,2071,3327,256,344,290,467
0.695,408,1278,2087,3138,206,326,269,439
0.705,424,1326,2147,3128,172,367,247,352
0.715,432,1434,2349,3280,203,359,272,308
0.725,482,1598,2733,3410,198,377,284,332
0.735,525,1768,2925,3421,190,392,310,398
0.745,553,1904,3084,3445,182,400,315,410
0.755,586,1980,3234,3461,190,418,321,416
0.765,586,2004,3262,3452,171,428,325,400
0.775,600,2008,3262,3402,158,405,325,403
0.785,614,2025,3267,3380,158,415,339,415
0.795,614,2055,3248,3363,181,411,345,415
0.805,614,2026,3253,3339,196,400,348,420
0.815,495,1882,3211,3282,227,394,355,403
0.825,445,1710,3103,3347,180,378,328,392
0.835,410,1590,2906,3494,171,356,349,391
0.845,366,1512,2593,3511,199,325,376,421
0.855,407,1468,2473,3551,197,343,366,422
0.865,477,1462,2447,3562,230,333,322,420
0.875,571,1500,2411,3561,262,321,332,410
0.885,636,1566,2345,3468,187,309,371,427
0.895,604,1630,2316,3510,125,299,391,400
0.905,623,1666,2460,3690,148,307,402,437
0.915,616,1652,2557,3775,232,269,372,395
0.925,620,1604,2552,3817,277,332,363,428
0.935,759,1548,2678,3838,257,264,360,424
0.945,832,1509,2676,3816,226,296,342,403
0.955,790,1506,2638,3830,209,301,316,390
0.965,877,1525,2642,3778,240,300,336,393
0.975,917,1545,2575,3770,226,295,356,388
0.985,902,1545,2482,3820,211,310,354,379
0.995,909,1523,2396,3865,211,303,352,374
1.005,890,1488,2355,3920,206,301,341,384
1.015,852,1454,2312,3966,194,294,308,376
1.025,825,1433,2287,3976,183,302,293,372
1.035,770,1436,2360,3966,180,300,298,386
1.045,761,1474,2197,3976,189,302,313,389
1.055,738,1548,2195,3943,183,311,293,396
1.065,704,1662,2300,3943,172,312,293,394
1.075,697,1790,2459,3999,158,316,290,403
1.085,697,1891,2619,4127,149,345,312,428
1.095,659,1946,2757,4320,169,383,336,452
1.105,593,1975,2890,4509,211,388,357,447
1.115,509,1997,3021,4618,216,334,373,429
1.125,570,2015,3123,4573,200,341,372,387
1.135,453,2020,3174,4572,209,333,365,377
1.145,282,2014,3185,4550,192,319,358,401
1.155,365,2007,3171,4526,198,336,356,420
1.165,387,2011,3148,4505,219,333,330,467
1.175,366,2034,3127,4506,225,350,358,457
1.185,525,2074,3113,4546,223,351,387,432
1.195,587,2114,3116,4451,211,329,419,395
1.205,633,2138,3147,4288,184,324,399,377
1.215,668,2135,3152,4165,188,327,362,403
1.225,667,2107,3060,4016,180,334,321,406
1.235,677,2060,2852,3966,189,333,290,390
1.245,637,2000,2653,3983,188,327,299,385
1.255,630,1941,2528,3988,185,325,277,390
1.265,625,1897,2439,3986,176,322,295,394
1.275,599,1873,2353,3985,167,319,282,397
1.285,599,1850,2270,3992,165,295,317,394
1.295,571,1807,2194,3997,165,283,301,400
1.305,554,1736,2129,4056,174,283,322,402
1.315,549,1650,2079,4140,192,320,312,400
1.325,519,1568,2046,4192,207,302,320,387
1.335,503,1503,2031,4163,209,298,318,383
1.345,506,1467,2031,4117,209,291,318,395
1.355,535,1466,2042,4033,201,303,315,414
1.365,562,1493,2062,3948,198,304,314,411
1.375,616,1539,2090,3902,198,326,298,415
1.385,694,1595,2128,3854,196,307,307,396
1.395,720,1653,2181,3839,183,317,300,407
1.405,737,1707,2252,3822,178,331,316,413
1.415,772,1754,2337,3837,185,324,283,414
1.425,802,1794,2422,3866,190,313,272,402
1.435,824,1825,2494,3905,173,318,256,424
1.445,805,1851,2549,3933,165,325,257,433
1.455,781,1890,2587,3988,168,322,265,428
1.465,791,1957,2612,4034,161,337,309,423
1.475,693,2036,2623,4067,183,323,287,422
1.485,685,2095,2624,4155,213,355,266,428
1.495,679,2113,2615,4330,271,380,276,424
1.505,676,2096,2597,4406,282,348,326,434
1.515,629,2064,2573,4473,282,354,300,439
1.525,558,2034,2546,4338,353,342,290,458
1.535,573,2018,2518,4393,298,331,286,441
1.545,580,2019,2491,4416,304,337,318,436
1.555,697,2023,2465,4543,308,316,318,444
1.565,785,2015,2440,4707,295,288,313,451
1.575,791,1986,2415,4722,228,326,303,421
1.585,795,1942,2390,4659,253,319,305,435
1.595,731,1893,2365,4590,246,302,303,442
1.605,650,1846,2340,4458,213,315,298,422
1.615,538,1809,2285,4380,160,327,313,395
1.625,559,1786,2158,4392,148,295,315,413
1.635,600,1777,2106,4316,188,283,301,420
1.645,584,1781,2106,4249,179,281,297,419
1.655,572,1797,2146,4179,174,273,301,412
1.665,579,1822,2193,4134,161,276,294,408
1.675,574,1851,2218,4095,156,280,304,408
1.685,563,1881,2236,4028,159,289,304,417
1.695,566,1905,2299,3904,165,311,297,399
1.705,560,1924,2350,3869,166,329,303,426
1.715,514,1944,2447,3817,176,331,303,464
1.725,455,1972,2503,3796,185,316,346,511
1.735,406,2013,2462,3732,207,295,406,521
1.745,338,2050,2555,3797,216,297,408,502
1.755,317,2056,2611,3831,213,320,395,477
1.765,232,2024,2553,3863,198,330,383,456
1.775,301,1961,2538,3877,227,330,361,455
1.785,399,1880,2503,3914,252,363,337,466
1.795,486,1791,2474,3915,296,348,332,477
1.805,548,1704,2463,3920,284,324,341,496
1.815,583,1630,2454,3957,305,346,324,513
1.825,627,1620,2462,3946,306,339,310,533
1.835,654,1610,2465,3963,287,345,333,525
1.845,643,1602,2474,3971,287,349,332,511
1.855,672,1596,2494,3993,290,330,322,501
1.865,730,1635,2492,4064,280,345,309,513
1.875,739,1630,2579,4046,278,332,306,461
1.885,726,1670,2575,4059,277,339,351,469
1.895,801,1692,2558,4001,288,324,396,489
1.905,896,1721,2541,4011,257,349,392,500
1.915,789,1759,2651,3964,208,319,364,453
1.925,768,1808,2683,4003,214,310,404,461
1.935,753,1792,2760,4114,244,294,395,489
1.945,837,1764,2876,4318,287,265,410,512
1.955,912,1698,3011,4512,299,264,427,518
1.965,928,1703,3107,4593,294,263,367,456
1.975,980,1649,3247,4599,249,304,333,417
1.985,945,1667,3250,4635,244,266,314,471
1.995,860,1756,3246,4531,237,300,342,457
2.005,868,1711,3212,4463,259,280,350,465
2.015,747,1763,3277,4402,232,324,347,470
2.025,723,1745,3245,4332,277,277,353,468
2.035,717,1742,3205,4230,241,305,358,484
2.045,844,1703,3088,4220,251,324,359,456
2.055,864,1720,2965,4217,240,306,380,440
2.065,791,1745,2858,4127,259,306,375,432
2.075,761,1689,2758,4074,282,341,366,445
2.085,740,1602,2726,4022,272,342,349,459
