sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,614,1523,2410,3500,217,291,365,413
0.015,678,1587,2384,3564,215,328,328,430
0.025,667,1591,2374,3520,217,329,351,428
0.035,629,1629,2394,3533,220,322,327,406
0.045,655,1616,2442,3543,216,323,337,424
0.055,640,1611,2479,3568,214,349,328,439
0.065,672,1584,2460,3571,258,347,325,456
0.075,672,1623,2444,3524,262,357,304,458
0.085,691,1635,2502,3529,262,331,350,431
0.095,707,1645,2571,3551,288,326,334,454
0.105,706,1652,2545,3578,258,328,336,419
0.115,780,1658,2507,3562,246,354,330,424
0.125,777,1662,2584,3696,229,344,312,447
0.135,826,1664,2609,3741,289,325,329,436
0.145,861,1666,2652,3784,280,308,362,434
0.155,988,1667,2660,3802,295,337,373,445
0.165,940,1667,2632,3892,243,320,371,451
0.175,915,1666,2616,3965,232,313,360,470
0.185,875,1666,2610,4049,233,341,341,466
0.195,753,1666,2613,4087,262,336,308,470
0.205,621,1666,2624,4148,279,338,325,487
0.215,457,1667,2642,4358,250,319,322,473
0.225,436,1667,2664,4372,249,320,337,417
0.235,571,1666,2691,4153,194,381,354,429
0.245,593,1664,2720,3974,194,353,360,389
0.255,572,1657,2751,3961,160,301,302,389
0.265,598,1640,2777,3954,163,295,284,394
0.275,599,1608,2795,3895,170,305,287,411
0.285,630,1563,2797,3896,176,296,312,418
0.295,664,1508,2778,3892,189,288,314,425
0.305,699,1449,2734,3902,197,288,324,411
0.315,692,1391,2668,3895,199,287,326,392
0.325,675,1338,2593,3920,199,283,292,388
0.335,673,1300,2521,3854,193,287,303,396
0.345,667,1291,2462,3856,179,306,336,370
0.355,670,1325,2427,3895,180,318,323,368
0.365,669,1417,2425,3993,171,310,341,391
0.375,612,1556,2464,4091,170,284,336,398
0.385,574,1678,2554,4219,173,272,362,395
0.395,549,1751,2697,4333,188,260,369,405
0.405,503,1787,2857,4455,173,266,315,403
0.415,496,1796,2988,4529,167,261,289,401
0.425,479,1788,3073,4528,195,299,338,420
0.435,438,1770,3125,4515,266,321,397,467
0.445,492,1752,3158,4476,279,326,347,449
0.455,488,1740,3180,4500,198,320,335,454
0.465,504,1739,3186,4500,164,279,294,418
0.475,503,1745,3168,4374,166,265,298,395
0.485,518,1756,3118,4227,190,281,307,395
0.495,536,1768,3031,4139,176,269,340,391
0.505,569,1780,2923,4098,178,290,340,403
0.515,573,1789,2813,4104,172,310,308,416
0.525,571,1784,2721,4159,171,340,296,414
0.535,543,1756,2657,4165,177,326,346,420
0.545,553,1691,2622,4136,191,306,355,408
0.555,563,1591,2618,4094,241,342,352,398
0.565,522,1485,2645,4247,266,351,371,438
0.575,501,1403,2705,4238,254,397,351,454
0.585,494,1348,2794,4222,236,396,403,441
0.595,492,1310,2900,4135,216,368,429,426
0.605,448,1280,3013,4058,240,301,433,400
0.615,426,1251,3119,3989,247,275,443,385
0.625,441,1224,3208,3964,252,285,428,357
0.635,467,1202,3277,4059,257,300,405,313
0.645,479,1192,3330,4172,240,282,386,327
0.655,495,1197,3374,4264,228,303,379,313
0.665,511,1222,3411,4334,220,323,354,330
0.675,580,1265,3442,4387,197,305,335,386
0.685,625,1324,3461,4423,179,284,306,395
0.695,625,1395,3461,4359,176,293,310,404
