sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,612,1499,2449,3582,252,326,365,440
0.015,651,1504,2450,3560,247,307,329,437
0.025,651,1477,2479,3519,285,321,314,447
0.035,592,1563,2519,3580,276,297,335,417
0.045,592,1538,2498,3587,280,310,347,426
0.055,654,1521,2496,3575,261,334,320,441
0.065,686,1525,2504,3569,284,321,335,474
0.075,667,1516,2543,3549,277,322,361,450
0.085,679,1476,2499,3515,287,300,375,449
0.095,671,1529,2431,3533,254,323,349,420
0.105,682,1517,2502,3573,274,320,318,424
0.115,716,1513,2532,3647,289,309,324,425
0.125,802,1554,2481,3680,302,317,291,453
0.135,798,1608,2490,3649,254,327,320,445
0.145,719,1630,2395,3657,225,333,348,479
0.155,513,1721,2387,3633,194,326,361,511
0.165,498,1833,2432,3645,165,316,379,515
0.175,470,1920,2481,3704,153,260,376,510
0.185,486,1935,2628,3793,170,255,365,524
0.195,422,1870,2662,3824,169,258,366,500
0.205,453,1769,2619,3781,218,352,341,483
0.215,467,1674,2511,3693,301,355,367,492
0.225,550,1602,2382,3616,315,351,321,433
0.235,538,1556,2463,3611,298,294,370,445
0.245,557,1527,2446,3631,318,278,347,447
0.255,685,1504,2444,3612,306,300,328,442
0.265,708,1477,2376,3627,264,297,342,433
0.275,717,1438,2407,3665,304,260,352,452
0.285,717,1392,2438,3731,292,288,337,461
0.295,693,1348,2469,3755,275,288,363,439
0.305,635,1319,2517,3774,281,306,358,439
0.315,588,1313,2572,3856,301,281,371,444
0.325,588,1330,2573,3911,254,295,389,477
0.335,588,1361,2489,3981,268,322,370,456
0.345,600,1394,2556,3981,215,302,318,414
0.355,600,1421,2561,3806,199,324,298,406
0.365,584,1431,2522,3774,188,315,300,406
0.375,579,1420,2458,3763,180,309,308,406
0.385,578,1404,2388,3733,180,307,308,409
0.395,576,1397,2330,3671,165,300,332,415
0.405,575,1419,2299,3602,169,301,321,423
0.415,570,1482,2290,3570,155,350,298,403
0.425,569,1580,2299,3609,153,311,296,400
0.435,567,1693,2322,3687,155,285,331,411
0.445,548,1804,2361,3776,157,298,331,423
0.455,534,1908,2419,3900,162,294,324,403
0.465,524,2003,2489,4089,168,312,327,431
0.475,506,2092,2564,4247,171,349,327,448
0.485,497,2181,2635,4411,162,341,312,439
0.495,477,2273,2708,4498,148,352,283,431
0.505,476,2351,2791,4556,158,348,293,417
0.515,484,2398,2867,4580,144,340,265,403
0.525,475,2390,2886,4501,152,342,279,404
0.535,464,2307,2805,4378,146,336,274,431
0.545,495,2169,2655,4347,165,331,294,469
0.555,529,2022,2491,4297,175,323,304,471
