sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,607,1569,2374,3645,249,315,360,453
0.015,708,1618,2466,3747,226,331,351,486
0.025,771,1652,2418,3641,259,334,328,481
0.035,718,1663,2468,3679,231,302,346,448
0.045,751,1679,2467,3727,219,321,328,439
0.055,843,1611,2450,3725,280,323,319,430
0.065,808,1709,2478,3735,240,326,308,430
0.075,836,1706,2546,3734,245,334,316,427
0.085,907,1691,2534,3821,302,313,311,413
0.095,824,1722,2645,3851,255,299,365,417
0.105,902,1728,2656,3866,254,319,366,445
0.115,920,1790,2737,3898,245,312,371,458
0.125,967,1885,2817,3907,245,296,386,451
0.135,1108,1974,2894,4020,250,311,378,470
0.145,1094,1971,2958,4025,230,277,363,478
0.155,1075,2040,2933,4110,198,303,380,467
0.165,999,1970,2922,4245,207,278,376,442
0.175,979,1908,2891,4281,200,339,376,429
0.185,888,1866,2817,4263,184,316,352,414
0.195,908,1835,2792,4243,199,305,340,394
0.205,860,1804,2719,4176,207,317,312,389
0.215,791,1765,2670,4118,223,306,292,381
0.225,757,1707,2619,4042,219,319,303,379
0.235,709,1620,2606,3916,223,291,273,387
0.245,704,1503,2615,3876,211,279,255,380
0.255,681,1382,2621,3803,211,277,262,370
0.265,677,1289,2625,3769,186,287,262,350
0.275,657,1230,2639,3754,163,315,271,328
0.285,652,1200,2606,3777,165,295,256,330
0.295,629,1192,2585,3772,176,308,265,325
0.305,583,1201,2602,3874,177,287,252,324
0.315,590,1225,2550,3890,179,306,271,331
0.325,619,1263,2559,3989,170,282,267,341
0.335,629,1318,2561,4031,140,287,293,387
0.345,651,1389,2590,4207,165,306,309,395
0.355,661,1474,2640,4297,168,317,342,380
0.365,675,1563,2724,4367,167,300,355,388
0.375,677,1646,2827,4422,172,256,360,389
0.385,673,1716,2917,4442,153,271,355,391
0.395,681,1766,3010,4437,168,281,343,379
0.405,686,1799,3017,4454,145,282,335,379
0.415,701,1816,3037,4442,165,285,330,383
0.425,671,1823,3011,4429,147,298,301,376
0.435,683,1821,2985,4393,160,291,308,389
0.445,702,1804,2961,4370,153,303,324,380
0.455,702,1753,2860,4326,188,278,321,371
0.465,618,1670,2730,4207,202,298,282,380
0.475,534,1572,2625,4149,217,290,294,401
0.485,499,1476,2569,4173,236,308,315,435
0.495,487,1393,2576,4148,236,300,309,436
0.505,472,1330,2580,4059,242,292,318,421
0.515,464,1294,2465,4067,247,296,296,411
0.525,478,1283,2442,4000,261,300,302,410
0.535,511,1291,2396,3927,226,299,300,397
0.545,563,1310,2346,3902,229,290,287,386
0.555,609,1334,2284,3881,207,289,294,364
0.565,595,1355,2220,3885,194,305,304,337
