sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,470,1540,2425,3759,226,304,309,428
0.015,463,1548,2413,3741,258,312,286,463
0.025,533,1462,2439,3800,276,320,267,481
0.035,475,1477,2515,3826,277,308,300,455
0.045,457,1495,2480,3718,275,347,298,456
0.055,458,1553,2501,3633,253,361,303,435
0.065,417,1553,2528,3614,251,323,316,432
0.075,437,1505,2538,3637,256,313,322,452
0.085,466,1506,2476,3620,254,324,338,453
0.095,498,1486,2366,3618,298,316,311,439
0.105,479,1542,2394,3659,300,286,317,425
0.115,467,1558,2405,3664,279,269,332,419
0.125,441,1466,2442,3594,263,288,345,419
0.135,541,1468,2503,3525,243,318,311,435
0.145,649,1451,2670,3486,268,306,291,405
0.155,744,1484,2717,3512,249,312,276,420
0.165,791,1513,2764,3591,240,321,269,417
0.175,819,1551,2812,3575,216,366,308,385
0.185,820,1558,2946,3779,234,330,317,405
0.195,811,1544,3012,3861,224,325,325,423
0.205,797,1529,2965,3949,198,346,319,444
0.215,815,1548,3047,4031,202,354,323,460
0.225,828,1627,3060,4059,189,371,327,454
0.235,882,1736,3028,4019,224,390,330,406
0.245,851,1863,3047,4105,205,394,315,437
0.255,874,1966,2930,4174,206,401,281,429
0.265,909,2058,2876,4203,223,357,246,405
0.275,932,2061,2927,4126,236,327,274,403
0.285,954,2071,2898,4154,222,344,299,431
0.295,813,2082,2912,4095,213,327,294,415
0.305,742,2093,2916,4137,189,328,302,417
0.315,740,2098,2881,4215,199,325,312,421
0.325,729,2093,2913,4280,194,296,338,422
0.335,690,2075,2943,4350,200,289,349,426
0.345,638,2040,2958,4330,204,317,331,399
0.355,535,1991,2962,4363,205,313,341,433
0.365,450,1940,2934,4431,196,314,358,431
0.375,403,1900,2843,4464,209,342,331,383
0.385,317,1878,2857,4503,206,340,316,379
0.395,288,1874,2892,4470,190,331,320,374
0.405,271,1883,2942,4473,198,318,298,369
0.415,273,1899,2876,4470,196,320,310,392
0.425,289,1921,2814,4315,193,324,326,394
0.435,306,1955,2753,4374,198,338,334,403
0.445,320,2009,2793,4402,192,312,358,416
0.455,399,2091,2893,4336,189,326,339,407
0.465,396,2195,2967,4393,167,363,286,408
0.475,428,2311,2999,4424,149,363,277,415
0.485,453,2428,2989,4428,152,373,255,415
0.495,486,2531,3074,4516,143,395,222,419
0.505,477,2603,3083,4621,145,401,249,422
0.515,513,2640,3092,4630,162,384,251,419
0.525,471,2650,3171,4619,169,374,274,421
0.535,494,2639,3154,4613,167,358,299,416
0.545,489,2617,3135,4525,176,309,323,402
0.555,499,2592,3117,4566,177,332,323,424
0.565,511,2572,3095,4577,175,334,322,426
0.575,508,2565,3129,4574,176,338,325,430
0.585,504,2570,3101,4485,167,343,321,425
0.595,472,2584,3054,4406,164,311,337,426
0.605,463,2600,3033,4378,161,332,344,445
0.615,440,2615,3075,4389,164,342,334,442
0.625,461,2625,3004,4387,161,346,331,432
0.635,442,2628,2987,4397,156,341,335,445
0.645,441,2622,2918,4452,150,335,353,474
0.655,447,2604,2883,4531,141,326,334,490
0.665,447,2573,2970,4599,155,335,320,461
0.675,400,2528,2902,4552,187,310,333,418
0.685,400,2472,2821,4561,186,331,349,475
0.695,389,2410,2859,4438,211,305,370,497
0.705,342,2350,2833,4313,226,343,332,468
0.715,342,2295,2813,4266,229,342,358,468
0.725,381,2247,2774,4139,269,430,347,464
0.735,417,2205,2788,4029,329,404,356,406
0.745,384,2167,2853,3901,308,350,355,427
0.755,439,2131,2927,3898,270,315,379,406
0.765,440,2097,2935,3876,184,311,332,436
0.775,507,2063,2929,3867,174,325,326,476
0.785,466,2028,2983,3894,171,323,350,500
0.795,362,1993,2966,3932,175,315,376,520
0.805,266,1959,2834,3974,192,298,361,496
0.815,223,1925,2762,3986,180,331,338,496
0.825,198,1892,2698,4067,194,322,346,455
0.835,222,1862,2604,4140,194,305,338,439
0.845,279,1834,2624,4253,201,365,343,475
0.855,382,1811,2480,4243,209,394,352,488
0.865,388,1792,2430,4310,202,378,326,501
0.875,468,1779,2418,4440,226,345,305,500
0.885,433,1773,2436,4461,226,327,300,476
0.895,437,1775,2446,4437,244,331,313,474
0.905,481,1786,2488,4459,253,346,320,469
0.915,541,1807,2441,4545,215,345,352,478
0.925,529,1841,2437,4571,248,326,325,426
0.935,529,1885,2451,4665,256,353,316,426
0.945,529,1935,2320,4610,264,381,303,374
0.955,494,1987,2468,4694,226,361,317,349
0.965,494,2038,2531,4736,243,392,292,380
