sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,592,1554,2485,3647,248,310,339,423
0.015,644,1511,2470,3692,307,297,302,430
0.025,618,1486,2552,3725,266,312,313,450
0.035,618,1503,2573,3722,277,322,299,456
0.045,560,1502,2512,3697,256,311,309,450
0.055,570,1394,2505,3595,299,305,314,453
0.065,509,1499,2520,3618,248,317,314,460
0.075,520,1513,2456,3610,258,327,313,453
0.085,513,1479,2473,3637,263,312,303,439
0.095,572,1536,2460,3678,249,336,311,452
0.105,566,1577,2470,3622,294,318,324,459
0.115,600,1510,2394,3610,302,340,302,444
0.125,642,1452,2466,3606,285,321,307,421
0.135,661,1581,2436,3639,290,318,303,439
0.145,754,1528,2480,3686,293,320,305,444
0.155,751,1545,2519,3742,255,311,318,440
0.165,739,1569,2509,3740,264,309,335,436
0.175,791,1549,2488,3799,276,305,318,451
0.185,763,1599,2507,3745,258,304,359,435
0.195,765,1684,2490,3723,264,312,362,436
0.205,782,1685,2499,3726,223,333,347,434
0.215,822,1619,2591,3824,207,335,335,443
0.225,784,1546,2664,3902,200,345,334,458
0.235,709,1565,2604,3931,175,358,323,447
0.245,674,1645,2572,3920,230,342,355,460
0.255,729,1624,2587,3970,293,331,373,469
0.265,770,1700,2450,3979,300,307,350,475
0.275,589,1751,2491,4051,224,310,347,499
0.285,633,1825,2614,4190,177,292,328,502
0.295,656,1919,2719,4264,158,273,317,464
0.305,663,1940,2710,4225,133,238,303,437
0.315,651,1909,2580,4082,128,242,347,431
0.325,633,1848,2488,3980,127,260,342,428
0.335,628,1779,2402,3832,158,252,332,428
0.345,638,1720,2319,3706,147,300,336,422
0.355,646,1702,2292,3587,167,323,327,415
0.365,645,1749,2297,3398,193,318,338,406
0.375,633,1816,2340,3450,207,323,340,410
0.385,623,1850,2466,3594,244,364,320,413
0.395,615,1930,2630,3775,292,384,330,400
0.405,635,2095,2773,3925,332,389,347,431
0.415,635,2202,2868,3992,296,402,354,473
0.425,670,2210,2912,3997,230,413,395,490
0.435,658,2159,2921,3975,247,361,396,480
0.445,658,2118,2922,4010,237,354,386,471
0.455,658,2106,2925,4090,262,325,381,476
0.465,670,2102,2919,4156,280,343,352,477
0.475,670,2082,2899,4226,278,337,361,492
0.485,658,2044,2883,4211,244,363,331,517
