sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,522,1523,2487,3557,225,322,406,440
0.015,539,1512,2514,3636,233,306,374,425
0.025,558,1446,2505,3696,286,310,346,451
0.035,596,1455,2441,3772,287,299,322,448
0.045,647,1447,2376,3710,310,300,348,438
0.055,696,1428,2371,3666,308,291,315,431
0.065,656,1540,2437,3706,267,307,328,437
0.075,696,1535,2503,3733,268,305,335,441
0.085,723,1603,2464,3716,236,318,351,447
0.095,700,1608,2459,3663,272,316,356,456
0.105,743,1602,2494,3713,269,343,328,451
0.115,808,1622,2450,3831,282,329,324,443
0.125,684,1682,2458,3935,257,339,306,445
0.135,691,1654,2455,4009,305,326,341,482
0.145,709,1652,2413,4068,278,317,349,465
0.155,765,1608,2459,4105,277,306,346,477
0.165,839,1629,2421,4114,263,319,327,456
0.175,919,1713,2442,4194,236,325,309,471
0.185,911,1682,2468,4261,221,315,306,446
0.195,959,1701,2498,4241,261,311,342,409
0.205,930,1680,2525,4205,270,291,367,413
0.215,947,1653,2503,4211,267,320,358,411
0.225,928,1720,2368,4239,279,351,353,446
0.235,893,1710,2423,4189,270,345,298,441
0.245,909,1721,2402,4114,253,316,307,402
0.255,827,1735,2398,4055,230,306,281,431
0.265,874,1667,2451,4102,222,360,287,443
0.275,908,1682,2414,3966,234,329,305,424
0.285,912,1689,2406,4004,237,322,333,472
0.295,950,1691,2420,4004,229,323,261,444
0.305,857,1638,2439,3888,225,323,290,456
0.315,808,1619,2345,3842,222,323,307,445
0.325,801,1596,2420,3770,208,333,304,469
0.335,733,1496,2442,3715,267,303,337,458
0.345,735,1484,2361,3703,253,328,315,445
0.355,659,1458,2445,3758,268,295,344,445
0.365,643,1467,2409,3752,280,318,325,452
0.375,599,1485,2430,3757,277,306,344,451
0.385,595,1414,2472,3725,298,289,342,443
0.395,602,1405,2464,3752,282,285,365,466
0.405,646,1411,2432,3823,328,284,360,483
0.415,682,1390,2457,3865,336,275,379,462
0.425,725,1384,2490,3936,306,314,348,453
0.435,800,1481,2483,3999,281,322,355,459
0.445,898,1472,2446,4005,270,318,332,471
0.455,940,1510,2504,3982,275,298,344,457
0.465,976,1439,2488,3994,249,310,323,447
0.475,985,1463,2510,4108,221,306,330,455
0.485,1022,1479,2495,4111,238,342,330,459
0.495,1038,1488,2526,4133,239,314,341,465
0.505,1006,1488,2523,4154,232,314,319,435
0.515,1015,1539,2418,4083,240,335,308,434
0.525,1101,1546,2490,4142,233,318,297,458
0.535,1095,1544,2483,4103,224,299,302,445
0.545,1052,1538,2455,4058,217,348,324,436
0.555,1040,1529,2482,4114,208,324,317,467
0.565,1032,1515,2507,4093,214,324,299,457
0.575,1020,1478,2568,4097,238,316,327,446
0.585,854,1526,2533,4053,209,373,382,449
0.595,817,1557,2548,3920,231,378,343,426
0.605,815,1588,2511,3831,230,352,357,425
0.615,720,1659,2486,3842,216,344,348,406
0.625,732,1598,2369,3737,268,279,343,418
0.635,788,1534,2250,3732,265,294,317,383
0.645,809,1397,2210,3750,257,284,334,359
0.655,637,1333,2126,3674,180,321,306,367
0.665,633,1273,2066,3718,182,284,329,380
0.675,637,1249,2034,3595,186,312,326,374
0.685,643,1273,2049,3433,181,323,303,414
0.695,577,1366,2045,3344,168,293,309,422
0.705,475,1448,2099,3318,144,252,325,472
0.715,418,1519,2287,3315,143,275,341,508
0.725,485,1554,2493,3310,124,330,303,485
0.735,490,1636,2559,3350,131,356,258,483
0.745,507,1671,2542,3377,143,323,267,480
0.755,512,1741,2547,3460,165,343,319,444
0.765,529,1881,2580,3497,180,378,301,423
0.775,529,2022,2652,3535,205,370,293,418
0.785,529,2139,2752,3653,209,384,279,427
0.795,529,2174,2831,3810,208,411,291,432
0.805,541,2233,2820,4001,189,422,245,472
0.815,529,2279,2808,4177,188,395,234,471
0.825,541,2291,2833,4329,184,377,288,446
0.835,531,2303,2843,4376,169,375,244,436
0.845,528,2268,2836,4401,168,365,274,426
0.855,528,2256,2873,4379,170,355,275,435
0.865,515,2256,2871,4330,169,342,275,434
0.875,501,2244,2885,4307,169,337,272,424
0.885,490,2209,2883,4293,163,314,275,401
0.895,484,2139,2887,4288,175,299,288,403
0.905,535,2104,2813,4215,161,305,278,365
0.915,548,1999,2780,4273,157,320,280,358
0.925,568,1975,2777,4311,160,328,263,371
0.935,573,1893,2766,4255,157,322,267,383
0.945,587,1846,2778,4181,164,307,292,400
0.955,560,1764,2810,4168,148,293,281,409
0.965,563,1706,2843,4266,147,313,281,416
0.975,557,1577,2873,4328,140,312,262,410
0.985,567,1460,2923,4357,138,369,265,414
0.995,541,1437,2913,4462,158,358,281,417
1.005,553,1366,2912,4496,183,328,292,431
1.015,553,1296,2871,4465,248,340,300,444
1.025,541,1320,2874,4574,277,331,336,478
1.035,485,1331,2870,4663,281,339,366,472
1.045,541,1343,2823,4551,294,322,360,461
1.055,541,1328,2744,4411,257,352,362,438
1.065,563,1379,2736,4348,249,332,383,470
1.075,532,1383,2824,4320,214,307,376,439
1.085,642,1324,2960,4259,220,294,346,419
1.095,672,1332,2918,4155,235,280,318,419
1.105,717,1325,2909,4094,235,293,299,419
1.115,731,1302,2886,4076,227,305,308,426
1.125,755,1299,2905,4045,238,305,303,432
1.135,786,1254,2880,4075,225,303,308,437
1.145,764,1265,2828,4161,231,283,306,425
1.155,718,1266,2802,4232,225,286,295,425
1.165,713,1244,2799,4267,229,288,299,416
1.175,716,1215,2810,4286,239,289,298,421
1.185,708,1212,2875,4275,243,278,292,411
1.195,689,1166,2855,4271,235,280,293,414
1.205,662,1138,2791,4218,203,301,287,391
1.215,658,1143,2783,4148,170,310,295,389
1.225,658,1132,2722,4167,194,323,293,397
1.235,658,1155,2634,4249,277,315,314,437
1.245,658,1179,2513,4221,281,317,341,418
1.255,658,1225,2413,4166,279,316,360,407
1.265,646,1284,2369,4166,295,329,319,423
1.275,658,1366,2476,4227,282,330,309,433
1.285,670,1436,2613,4188,322,313,326,408
1.295,658,1506,2683,4156,272,299,354,417
1.305,635,1541,2700,4071,267,279,336,419
1.315,635,1541,2683,4050,254,336,320,412
1.325,623,1602,2723,4015,201,294,295,427
1.335,581,1732,2800,4002,153,331,322,438
1.345,572,1783,2822,4105,168,311,333,432
1.355,549,1802,2912,4240,169,315,344,437
1.365,502,1824,2929,4387,187,315,347,432
1.375,501,1802,2817,4463,211,375,287,450
1.385,476,1776,2847,4436,232,407,268,478
1.395,466,1776,2837,4410,248,401,256,467
1.405,461,1776,2788,4403,224,397,258,473
1.415,443,1776,2699,4417,203,402,274,470
1.425,434,1776,2710,4407,205,400,281,473
1.435,435,1776,2684,4443,220,404,292,456
1.445,538,1764,2633,4385,298,388,336,411
1.455,483,1787,2620,4381,210,353,355,390
1.465,469,1822,2727,4464,197,336,324,374
1.475,440,1880,2832,4424,177,297,312,365
1.485,454,1842,2833,4367,189,262,296,376
1.495,433,1790,2812,4417,188,278,292,380
1.505,469,1771,2752,4388,207,303,300,423
1.515,586,1813,2729,4377,238,332,326,419
1.525,700,1808,2742,4390,268,347,346,435
1.535,773,1796,2747,4471,277,327,324,427
1.545,804,1790,2780,4511,259,318,324,420
1.555,822,1764,2795,4449,271,318,319,426
1.565,823,1850,2784,4332,255,316,333,441
