sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,629,1680,2482,3582,237,307,364,431
0.015,662,1808,2531,3682,221,309,357,440
0.025,713,1817,2503,3710,260,311,334,431
0.035,760,1861,2562,3744,243,313,325,469
0.045,738,1863,2551,3696,237,334,336,436
0.055,717,1825,2695,3736,234,313,338,456
0.065,731,1874,2616,3706,267,329,344,431
0.075,692,1942,2650,3756,226,317,370,442
0.085,708,1836,2722,3831,266,308,366,459
0.095,768,1741,2803,3832,285,342,352,470
0.105,805,1770,2768,3907,281,354,333,460
0.115,843,1805,2804,3839,273,324,363,453
0.125,922,1829,2806,3917,265,340,370,448
0.135,847,1819,2802,3929,219,337,338,445
0.145,843,1850,2821,3917,248,323,308,446
0.155,813,1928,2859,3941,245,334,323,464
0.165,757,2007,2908,3931,226,349,304,446
0.175,856,2085,2963,3958,245,384,306,453
0.185,913,2157,3017,4012,263,372,306,464
0.195,806,2220,3066,3980,270,362,310,450
0.205,580,2270,3102,3807,276,385,329,455
0.215,350,2302,3121,3743,261,375,343,412
0.225,310,2318,3117,3731,225,344,349,396
0.235,367,2326,3089,3735,207,326,290,433
0.245,344,2333,3034,3753,203,284,305,439
0.255,342,2348,2955,3781,202,237,316,411
0.265,352,2374,2861,3744,203,234,345,390
0.275,383,2364,2765,3699,202,321,379,397
0.285,389,2118,2679,3629,199,302,364,425
0.295,376,1696,2611,3578,183,299,331,422
0.305,375,1138,2562,3475,171,309,322,406
0.315,388,1024,2534,3462,171,331,313,408
0.325,431,1166,2529,3455,186,365,309,384
0.335,468,1261,2547,3408,193,381,310,365
0.345,491,1297,2578,3438,199,319,344,383
0.355,534,1393,2608,3469,202,301,335,412
0.365,538,1591,2630,3571,197,293,343,409
0.375,548,1798,2646,3694,198,272,348,406
0.385,553,1940,2662,3809,183,277,334,408
0.395,532,2004,2687,3840,180,282,319,389
0.405,517,2013,2722,3831,179,278,318,378
0.415,495,2015,2764,3839,191,274,315,375
0.425,490,2052,2804,3851,193,272,309,368
0.435,500,2121,2838,3817,197,259,312,365
0.445,462,2199,2863,3818,201,241,329,367
0.455,479,2261,2882,3789,214,261,329,370
0.465,447,2303,2894,3769,210,232,350,370
0.475,415,2329,2903,3738,240,237,344,379
0.485,428,2342,2910,3743,251,247,353,386
0.495,448,2345,2919,3733,238,271,363,382
0.505,475,2339,2930,3706,225,268,373,400
