sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,651,1407,2535,3692,247,288,355,443
0.015,739,1432,2518,3840,245,309,354,442
0.025,760,1472,2508,3912,229,307,353,473
0.035,767,1441,2506,3940,224,340,330,464
0.045,678,1472,2522,3973,229,345,330,428
0.055,565,1514,2506,3959,259,342,326,435
0.065,543,1544,2479,3939,270,317,333,442
0.075,572,1515,2432,3941,304,299,305,450
0.085,685,1522,2411,3959,318,312,304,471
0.095,768,1540,2528,4008,242,303,346,473
0.105,785,1630,2470,4055,210,357,370,480
0.115,832,1591,2508,4003,286,313,363,436
0.125,833,1568,2457,3999,274,300,366,452
0.135,761,1599,2480,4009,210,338,341,459
0.145,749,1503,2498,3990,211,344,318,458
0.155,646,1331,2498,3967,204,342,300,440
0.165,633,1438,2508,3841,236,326,318,400
0.175,620,1334,2531,3785,226,317,307,380
0.185,629,1238,2545,3752,212,297,282,369
0.195,627,1152,2550,3776,218,305,290,371
0.205,584,1077,2607,3704,224,293,333,397
0.215,536,1014,2623,3742,214,312,359,390
0.225,526,965,2647,3761,208,291,365,367
0.235,533,930,2677,3756,222,326,307,399
0.245,495,912,2709,3760,206,301,307,423
0.255,512,909,2738,3771,216,306,279,433
0.265,533,919,2761,3683,217,307,259,448
0.275,542,939,2773,3622,219,313,296,413
0.285,561,966,2771,3611,212,304,311,383
0.295,580,998,2751,3648,211,324,316,397
0.305,600,1033,2713,3648,194,309,318,388
0.315,589,1067,2661,3637,174,317,343,382
0.325,584,1096,2599,3644,188,300,345,374
0.335,584,1118,2529,3647,189,311,338,361
0.345,594,1129,2456,3621,207,293,330,383
0.355,594,1131,2381,3611,202,303,324,361
0.365,600,1128,2304,3629,221,289,294,360
0.375,594,1123,2224,3660,220,293,279,345
0.385,542,1119,2141,3645,221,271,291,320
0.395,519,1117,2055,3716,205,284,282,298
0.405,500,1120,1968,3713,202,269,353,285
0.415,495,1123,1885,3799,208,268,341,304
0.425,467,1123,1808,3738,230,262,344,326
0.435,467,1118,1742,3796,256,265,368,386
0.445,467,1105,1691,3810,253,284,357,399
0.455,453,1086,1655,3803,258,288,335,412
0.465,430,1065,1634,3794,243,300,334,419
0.475,411,1047,1624,3763,253,278,336,400
0.485,395,1035,1626,3785,234,259,367,370
0.495,397,1033,1635,3788,217,254,386,347
0.505,416,1041,1652,3808,214,233,411,316
0.515,439,1061,1673,3798,212,242,413,279
0.525,463,1093,1698,3801,206,264,396,305
0.535,505,1136,1723,3737,217,270,331,311
0.545,514,1181,1749,3671,206,295,305,314
0.555,533,1220,1773,3659,188,303,305,337
0.565,547,1245,1796,3619,194,317,308,322
0.575,584,1253,1819,3610,190,323,316,313
0.585,629,1250,1843,3574,187,336,311,303
0.595,603,1238,1870,3598,190,340,312,308
0.605,608,1222,1900,3597,203,343,299,328
0.615,608,1205,1935,3572,216,325,286,395
