sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,571,1477,2432,3564,262,330,334,435
0.015,673,1466,2499,3526,276,338,293,448
0.025,736,1447,2470,3521,265,340,292,421
0.035,793,1425,2444,3456,265,313,323,396
0.045,790,1401,2419,3528,245,302,348,399
0.055,784,1374,2393,3612,234,328,359,409
0.065,808,1345,2365,3671,264,320,378,410
0.075,867,1315,2334,3750,275,315,361,440
0.085,945,1283,2300,3823,247,343,352,424
0.095,960,1251,2260,3868,254,325,330,447
0.105,885,1219,2213,3813,271,309,373,472
0.115,932,1186,2159,3830,279,326,367,459
0.125,856,1155,2099,3803,208,330,382,462
0.135,767,1129,2041,3755,212,309,397,449
0.145,781,1112,1993,3623,152,301,400,437
0.155,679,1107,1962,3618,130,334,398,420
0.165,732,1119,1950,3618,162,312,346,418
0.175,748,1149,1953,3628,165,329,307,421
0.185,759,1192,1968,3667,161,325,286,431
0.195,772,1243,1992,3666,164,329,258,407
0.205,743,1296,2023,3658,187,326,297,400
0.215,721,1346,2058,3682,189,322,302,394
0.225,673,1388,2094,3704,185,312,314,379
0.235,664,1419,2129,3716,161,303,300,367
0.245,649,1433,2161,3698,178,299,325,358
0.255,645,1428,2183,3693,175,307,323,328
0.265,638,1407,2189,3767,168,296,316,324
0.275,653,1371,2173,3732,163,314,299,307
0.285,678,1322,2132,3769,176,338,291,331
0.295,642,1265,2081,3830,153,344,277,310
0.305,598,1205,2039,3884,151,361,295,317
0.315,606,1147,2011,3903,174,353,281,337
0.325,602,1098,1994,3914,188,334,290,350
0.335,598,1060,1985,3914,177,312,311,351
0.345,597,1035,1981,3874,192,305,283,353
0.355,570,1023,1977,3913,185,329,290,361
0.365,594,1026,1976,3844,199,305,297,358
0.375,570,1043,1979,3897,188,319,277,349
0.385,570,1075,1989,3881,179,295,280,339
0.395,570,1115,2008,3870,186,305,294,354
0.405,570,1159,2038,3807,176,293,273,349
0.415,582,1200,2078,3871,171,314,273,353
0.425,582,1234,2125,3808,173,294,266,355
0.435,570,1257,2173,3798,173,312,271,345
0.445,559,1277,2219,3725,181,289,283,345
0.455,559,1307,2259,3644,183,306,277,320
0.465,559,1355,2289,3676,190,316,320,373
0.475,570,1414,2306,3728,224,285,329,414
0.485,523,1472,2311,3672,266,285,309,412
0.495,488,1516,2307,3674,244,285,305,450
0.505,465,1539,2298,3652,267,292,325,434
0.515,465,1548,2286,3602,296,334,298,426
0.525,453,1549,2272,3532,316,390,299,404
0.535,430,1549,2254,3520,316,355,314,382
0.545,424,1549,2230,3690,312,278,365,409
0.555,430,1540,2201,3830,281,287,351,420
0.565,430,1514,2168,3954,233,286,344,418
0.575,430,1466,2133,3927,261,315,286,411
0.585,430,1399,2097,3913,294,293,265,416
0.595,419,1323,2062,4041,314,300,336,433
0.605,418,1246,2028,4250,368,237,359,435
0.615,430,1177,1999,4352,274,267,345,384
0.625,418,1123,1973,4353,244,332,392,355
0.635,406,1084,1951,4203,224,332,386,356
0.645,424,1056,1932,4025,137,334,347,396
0.655,395,1034,1918,3836,104,341,347,388
0.665,395,1013,1908,3817,113,345,339,368
0.675,395,988,1902,3851,157,346,319,355
0.685,395,957,1899,3815,161,336,296,353
0.695,424,924,1900,3842,168,317,270,356
0.705,395,891,1904,3830,198,332,305,354
0.715,395,861,1910,3833,216,337,305,340
0.725,395,838,1917,3813,212,328,311,340
0.735,424,823,1924,3765,233,326,312,347
0.745,395,814,1932,3723,213,325,304,348
0.755,383,806,1938,3634,229,330,297,350
0.765,383,799,1943,3615,220,328,295,353
0.775,383,791,1947,3589,220,330,314,351
0.785,365,782,1948,3569,216,331,307,351
0.795,348,774,1946,3588,213,316,287,331
0.805,348,767,1941,3543,218,327,323,312
0.815,348,763,1934,3554,222,321,304,317
0.825,348,763,1922,3540,212,323,331,304
0.835,348,768,1906,3539,215,317,303,294
0.845,371,781,1886,3552,219,318,347,319
0.855,365,804,1863,3536,200,311,327,311
0.865,371,838,1837,3559,193,314,297,331
0.875,406,886,1810,3565,188,308,303,315
0.885,441,948,1783,3561,200,314,306,320
0.895,453,1016,1757,3585,192,287,316,311
0.905,453,1083,1734,3552,214,280,307,336
0.915,453,1140,1714,3563,224,275,339,339
0.925,453,1184,1701,3570,210,294,304,363
0.935,477,1220,1694,3615,223,291,332,360
0.945,482,1251,1696,3681,242,298,293,377
0.955,477,1282,1710,3759,254,299,318,410
0.965,477,1315,1734,3738,243,335,343,413
0.975,465,1350,1767,3807,306,273,359,441
0.985,465,1385,1805,3761,323,302,328,465
0.995,477,1417,1845,3759,310,296,353,469
1.005,488,1447,1884,3785,310,288,349,471
1.015,465,1472,1918,3806,314,300,338,449
1.025,465,1495,1948,3775,317,305,356,444
1.035,465,1516,1974,3747,279,320,356,430
1.045,465,1536,1996,3759,267,307,351,422
1.055,482,1555,2016,3866,297,277,363,428
