sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,517,1504,2448,3587,242,312,347,437
0.015,551,1458,2431,3570,294,278,310,441
0.025,585,1645,2344,3530,299,280,336,410
0.035,569,1711,2352,3650,311,317,328,396
0.045,605,1675,2370,3682,314,299,355,416
0.055,708,1606,2404,3680,310,361,338,437
0.065,796,1527,2477,3675,287,328,361,459
0.075,815,1622,2491,3673,257,342,340,465
0.085,786,1699,2435,3677,246,351,330,428
0.095,829,1745,2458,3675,236,363,297,437
0.105,873,1748,2545,3702,214,350,299,428
0.115,804,1850,2611,3693,176,321,333,423
0.125,842,1931,2698,3771,189,354,328,411
0.135,836,1988,2808,3896,199,368,316,377
0.145,813,2066,2749,4121,208,370,301,371
0.155,775,2093,2799,4155,250,338,325,391
0.165,738,2097,2829,4194,247,347,324,363
0.175,632,2100,2842,4120,277,346,341,427
0.185,561,2099,2839,4146,219,333,316,414
0.195,581,2092,2823,4095,218,339,318,412
0.205,599,2082,2796,4061,210,333,319,412
0.215,619,2068,2761,4007,212,333,333,417
0.225,608,2050,2720,3926,228,340,344,400
0.235,605,2030,2675,3957,222,306,372,415
0.245,585,2008,2629,3989,257,344,323,455
0.255,553,1984,2584,4082,264,398,270,438
0.265,551,1959,2543,4142,251,431,271,410
0.275,514,1933,2508,4116,231,456,259,397
0.285,503,1907,2480,4177,223,464,299,413
0.295,489,1882,2462,4188,229,424,293,403
0.305,431,1857,2449,4205,178,388,284,398
0.315,417,1831,2440,4245,216,370,306,432
0.325,412,1806,2432,4233,248,365,311,416
0.335,422,1780,2421,4230,238,352,304,434
0.345,412,1753,2406,4038,234,392,309,404
0.355,417,1725,2384,3897,309,395,284,442
0.365,426,1697,2352,3752,324,372,294,446
0.375,440,1668,2310,3641,323,331,304,448
0.385,450,1642,2256,3555,295,279,381,438
0.395,464,1617,2192,3461,272,255,385,442
0.405,464,1595,2123,3327,284,226,415,431
0.415,478,1577,2056,3277,275,240,409,416
0.425,501,1562,1995,3193,290,239,421,399
0.435,506,1550,1943,3143,229,255,405,406
0.445,525,1540,1899,3112,227,241,418,403
0.455,565,1530,1861,3011,233,259,365,403
0.465,598,1521,1829,2909,209,259,311,400
0.475,622,1510,1801,2785,209,262,293,409
0.485,635,1497,1775,2706,233,304,311,417
0.495,627,1481,1752,2659,240,302,327,415
0.505,607,1462,1731,2638,252,263,350,419
