sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,532,1423,2485,3543,253,288,328,404
0.015,547,1468,2487,3568,264,300,327,423
0.025,590,1560,2510,3592,260,282,349,441
0.035,640,1492,2486,3609,264,343,329,432
0.045,636,1531,2463,3554,233,341,307,420
0.055,637,1543,2420,3538,263,330,327,405
0.065,610,1497,2504,3592,279,308,334,433
0.075,629,1492,2442,3548,307,302,335,425
0.085,640,1543,2460,3532,297,326,311,422
0.095,659,1585,2523,3508,294,335,313,390
0.105,718,1674,2500,3610,239,348,308,405
0.115,658,1737,2441,3695,212,353,277,428
0.125,600,1749,2457,3675,246,331,298,424
0.135,541,1780,2447,3657,287,322,307,371
0.145,541,1868,2417,3726,252,325,333,358
0.155,424,1910,2374,3559,310,277,374,401
0.165,365,1886,2325,3339,321,269,396,374
0.175,365,1825,2274,3328,308,253,404,323
0.185,364,1739,2230,3344,284,229,385,314
0.195,313,1657,2197,3367,240,287,343,310
0.205,312,1554,2179,3346,227,309,314,349
0.215,346,1439,2175,3347,231,322,333,360
0.225,363,1363,2184,3335,236,319,310,363
0.235,380,1290,2199,3338,265,297,330,348
0.245,406,1235,2212,3350,274,303,321,349
0.255,437,1267,2215,3367,246,332,321,343
0.265,449,1352,2207,3395,236,328,327,346
0.275,449,1452,2204,3434,225,288,328,338
0.285,464,1548,2215,3441,217,283,342,338
0.295,489,1630,2251,3402,202,263,342,344
0.305,498,1694,2300,3388,195,270,324,347
0.315,476,1745,2351,3401,182,281,326,358
0.325,494,1791,2387,3412,197,289,318,357
0.335,484,1837,2408,3425,180,283,311,363
0.345,502,1879,2421,3443,204,282,307,371
0.355,464,1908,2436,3488,190,271,307,367
0.365,445,1926,2460,3503,219,251,314,370
0.375,379,1937,2495,3583,208,244,304,371
0.385,364,1951,2532,3719,226,261,311,357
0.395,392,1966,2561,3750,239,331,321,377
0.405,388,1979,2584,3859,262,354,329,422
0.415,403,1984,2602,3937,272,298,381,438
0.425,433,1984,2617,3946,316,357,355,451
0.435,434,1982,2631,4012,314,355,358,447
0.445,481,1980,2647,4049,300,361,331,442
0.455,605,1981,2664,4113,303,368,367,445
0.465,672,1984,2682,4164,272,349,342,475
0.475,648,1981,2695,4125,284,330,329,430
0.485,609,1969,2702,4108,264,313,340,444
0.495,565,1947,2698,4035,244,329,324,447
0.505,464,1916,2680,3855,241,299,347,448
0.515,474,1878,2646,3659,191,298,330,436
0.525,483,1841,2594,3550,211,286,326,391
0.535,469,1815,2526,3469,215,267,340,349
0.545,421,1784,2442,3426,222,264,355,344
0.555,377,1694,2352,3412,248,301,351,369
0.565,326,1513,2267,3357,251,292,342,402
0.575,298,1294,2196,3464,216,305,365,425
0.585,335,1195,2144,3456,209,343,337,403
0.595,500,1215,2111,3564,236,329,325,417
0.605,568,1289,2097,3654,229,343,320,399
0.615,554,1356,2104,3694,250,307,335,413
0.625,535,1399,2125,3698,292,323,322,411
0.635,493,1426,2151,3659,222,338,322,411
0.645,431,1448,2171,3727,177,291,365,382
0.655,466,1463,2177,3919,213,281,361,441
0.665,405,1470,2160,4082,237,243,360,468
0.675,342,1466,2126,4067,226,271,374,469
0.685,403,1453,2084,3998,242,311,356,447
0.695,403,1436,2042,4028,264,276,318,441
0.705,376,1419,2006,4117,310,279,311,449
0.715,350,1401,1980,4154,352,270,307,465
0.725,395,1378,1969,4226,300,249,349,476
0.735,363,1346,1977,4033,248,304,338,496
0.745,403,1301,2009,3723,237,340,306,485
0.755,416,1244,2056,3493,202,342,310,435
0.765,416,1183,2107,3387,193,322,327,367
0.775,403,1129,2151,3398,218,317,311,354
0.785,403,1091,2186,3432,204,302,319,357
0.795,456,1058,2216,3453,193,319,323,382
0.805,456,1010,2248,3479,204,302,355,407
0.815,456,934,2290,3513,224,340,341,428
0.825,416,871,2336,3554,231,332,368,421
0.835,390,860,2379,3655,262,308,355,416
0.845,416,881,2411,3671,264,337,341,439
0.855,403,910,2428,3651,226,340,357,432
0.865,390,921,2430,3576,238,301,371,414
0.875,453,899,2423,3527,250,312,384,428
0.885,416,859,2409,3550,238,326,355,437
0.895,416,820,2392,3537,224,299,362,421
0.905,416,802,2373,3393,150,370,342,424
0.915,482,817,2353,3260,151,385,323,357
0.925,496,858,2333,3238,165,380,307,366
0.935,509,915,2312,3210,177,344,320,373
0.945,509,983,2293,3199,180,318,329,390
0.955,522,1053,2276,3160,174,319,335,421
0.965,522,1119,2260,3172,176,310,325,409
0.975,541,1176,2248,3191,166,313,307,412
0.985,522,1216,2234,3182,156,307,319,413
0.995,522,1241,2207,3171,156,306,315,405
1.005,522,1257,2157,3138,148,301,330,417
1.015,522,1270,2085,3119,163,294,349,400
1.025,522,1285,2014,3109,158,301,356,416
1.035,522,1296,1959,3122,157,286,373,389
1.045,522,1288,1906,3136,170,283,375,418
1.055,482,1249,1834,3193,216,267,412,412
1.065,526,1182,1728,3229,227,263,414,401
1.075,544,1105,1613,3301,216,274,418,402
1.085,529,1038,1525,3327,216,288,411,425
1.095,427,1000,1483,3345,221,284,395,398
1.105,388,1010,1476,3359,236,276,389,395
1.115,388,1065,1494,3362,252,262,394,394
1.125,404,1133,1525,3356,243,250,402,412
1.135,415,1200,1561,3362,236,227,367,421
1.145,414,1256,1599,3401,228,201,341,427
1.155,411,1294,1637,3465,195,219,339,433
1.165,415,1319,1674,3549,210,254,326,477
1.175,428,1344,1710,3657,222,279,350,462
1.185,443,1381,1748,3719,203,264,384,447
1.195,455,1423,1787,3689,271,296,377,463
1.205,460,1454,1828,3697,258,289,338,440
1.215,460,1471,1866,3642,290,294,354,440
1.225,455,1477,1900,3616,295,265,343,424
1.235,446,1476,1927,3586,323,263,342,441
1.245,434,1472,1946,3620,312,296,255,470
1.255,420,1469,1954,3694,298,283,305,440
1.265,405,1469,1951,3668,257,306,311,442
1.275,390,1470,1935,3655,284,296,336,442
1.285,377,1471,1907,3635,307,281,280,475
1.295,369,1470,1867,3699,314,272,262,483
1.305,366,1463,1822,3766,253,281,304,469
1.315,372,1440,1785,3776,215,259,350,507
1.325,387,1392,1765,3643,198,266,349,472
1.335,409,1314,1763,3542,191,278,342,465
1.345,435,1232,1778,3442,210,308,337,473
1.355,462,1176,1808,3359,201,316,354,437
1.365,488,1155,1849,3255,179,316,356,419
1.375,509,1154,1899,3251,163,332,371,373
1.385,525,1156,1954,3219,165,325,354,388
1.395,533,1151,2011,3255,177,335,326,378
1.405,534,1138,2065,3323,195,332,327,368
1.415,532,1122,2112,3384,199,331,326,352
1.425,529,1104,2151,3326,202,334,322,363
1.435,529,1085,2178,3370,202,336,320,366
1.445,532,1064,2197,3368,205,329,320,359
1.455,541,1042,2208,3351,212,304,328,373
1.465,553,1017,2215,3367,208,310,323,368
1.475,566,993,2218,3348,210,299,328,379
1.485,580,974,2220,3416,216,324,334,383
1.495,594,962,2219,3411,211,306,317,360
1.505,605,962,2218,3387,209,306,314,368
1.515,613,973,2216,3432,216,290,324,365
1.525,618,990,2213,3420,212,313,325,369
1.535,620,1011,2212,3414,214,299,316,358
1.545,619,1029,2211,3490,213,306,316,370
1.555,616,1041,2211,3499,212,298,327,356
1.565,612,1045,2214,3466,214,305,333,375
1.575,607,1042,2219,3409,221,304,312,365
1.585,601,1038,2226,3413,224,308,302,366
1.595,595,1036,2236,3386,224,303,302,364
1.605,587,1038,2248,3378,219,306,310,362
1.615,579,1047,2262,3367,228,297,299,365
1.625,569,1061,2277,3347,233,303,301,382
1.635,558,1073,2292,3350,217,291,290,355
1.645,544,1079,2308,3383,219,299,292,373
1.655,528,1072,2324,3414,223,279,299,380
1.665,508,1057,2339,3421,231,288,315,380
1.675,484,1043,2352,3411,227,280,298,343
1.685,456,1038,2363,3542,249,283,323,341
1.695,422,1050,2371,3612,262,271,333,363
1.705,391,1082,2447,3663,264,285,320,346
1.715,373,1134,2467,3818,265,300,292,383
1.725,378,1204,2409,3763,275,336,316,431
1.735,403,1282,2416,3728,248,319,322,416
1.745,441,1358,2450,3714,272,321,327,434
1.755,482,1424,2443,3667,253,321,324,428
1.765,518,1468,2452,3639,268,321,324,431
1.775,539,1482,2440,3605,304,327,329,405
1.785,538,1455,2423,3584,301,308,333,395
1.795,598,1459,2457,3696,275,315,335,395
1.805,648,1434,2476,3755,275,339,307,372
1.815,632,1471,2533,3822,289,319,302,386
1.825,682,1504,2549,3858,304,304,312,420
1.835,711,1557,2558,3934,310,314,301,434
1.845,752,1538,2561,3968,320,294,322,433
1.855,714,1555,2562,3945,318,298,335,426
1.865,734,1495,2567,3864,320,305,314,421
1.875,704,1498,2567,3787,307,301,316,422
1.885,696,1517,2578,3728,316,289,359,396
1.895,682,1547,2588,3667,324,288,407,408
1.905,697,1453,2563,3764,313,307,362,409
1.915,690,1499,2494,3777,315,304,362,399
1.925,651,1523,2386,3768,276,357,341,405
1.935,657,1504,2418,3757,311,327,323,399
1.945,645,1535,2449,3691,322,313,345,369
1.955,664,1492,2468,3638,301,325,343,383
1.965,656,1467,2464,3527,309,307,377,389
1.975,688,1453,2458,3497,325,293,378,360
1.985,753,1403,2527,3487,310,299,385,354
1.995,858,1564,2619,3533,310,308,302,388
2.005,947,1544,2704,3565,293,306,324,361
2.015,971,1500,2703,3492,251,308,382,363
2.025,932,1480,2620,3513,224,323,421,407
2.035,832,1492,2515,3523,251,321,404,411
2.045,744,1410,2521,3472,226,306,368,402
2.055,662,1435,2479,3480,173,327,357,389
2.065,704,1387,2372,3492,232,328,327,410
2.075,652,1486,2358,3551,164,332,334,439
2.085,706,1459,2372,3516,230,312,329,429
2.095,706,1485,2338,3507,224,329,328,445
