sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,481,1467,2399,3807,274,336,317,454
0.015,520,1487,2347,3984,297,325,298,450
0.025,548,1528,2393,4182,301,322,278,451
0.035,653,1494,2358,4379,316,347,292,456
0.045,740,1569,2414,4502,264,374,293,433
0.055,759,1675,2513,4447,230,381,303,386
0.065,765,1691,2530,4515,268,369,317,386
0.075,780,1708,2493,4481,277,368,328,420
0.085,747,1617,2498,4421,308,349,347,453
0.095,673,1536,2486,4347,301,343,339,456
0.105,605,1436,2534,4294,297,331,305,456
0.115,495,1444,2566,4268,314,330,306,445
0.125,460,1509,2545,4304,305,321,339,413
0.135,508,1564,2483,4322,249,373,319,427
0.145,503,1706,2523,4189,213,342,312,461
0.155,423,1854,2523,3812,235,323,296,461
0.165,417,1919,2523,3702,207,298,305,348
0.175,469,1957,2533,3808,198,290,301,336
0.185,501,1963,2533,3766,197,293,292,327
0.195,488,1956,2514,3747,183,303,296,309
0.205,476,1957,2500,3780,190,292,300,295
0.215,482,1957,2486,3793,192,299,313,306
0.225,484,1932,2458,3772,185,276,302,329
0.235,495,1882,2406,3751,179,291,320,360
0.245,485,1855,2364,3700,183,290,305,356
0.255,497,1823,2317,3683,189,294,311,347
0.265,489,1820,2294,3698,191,304,317,352
0.275,499,1805,2266,3674,192,304,320,346
0.285,506,1782,2242,3691,194,286,327,341
0.295,508,1712,2191,3748,210,298,326,348
0.305,511,1651,2177,3788,222,291,328,372
0.315,501,1623,2158,3766,216,306,325,383
0.325,501,1609,2153,3784,215,311,322,403
0.335,492,1613,2149,3807,217,293,327,425
0.345,467,1613,2196,3843,210,291,318,410
0.355,439,1627,2224,3897,199,292,324,411
0.365,477,1641,2280,3987,204,280,332,432
0.375,500,1651,2303,4100,164,282,364,414
0.385,505,1674,2369,4165,173,250,370,393
0.395,500,1707,2443,4221,233,294,348,400
0.405,500,1712,2570,4215,197,325,333,405
0.415,500,1735,2622,4227,195,341,316,433
0.425,500,1759,2692,4182,222,310,341,411
0.435,500,1763,2762,3994,253,391,307,424
0.445,500,1754,2790,4011,304,376,322,445
0.455,488,1759,2786,3920,296,383,317,433
0.465,500,1754,2790,3803,262,412,303,403
0.475,578,1754,2786,3795,242,402,282,391
0.485,528,1749,2695,3821,251,351,315,371
0.495,572,1749,2578,3765,223,300,329,390
0.505,573,1749,2510,3740,207,310,334,398
0.515,599,1735,2439,3762,228,303,344,385
0.525,614,1709,2345,3826,241,303,334,419
0.535,606,1698,2242,3927,241,300,313,427
0.545,594,1683,2120,3975,245,284,293,412
