sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,605,1689,2410,3644,207,312,363,413
0.015,664,1720,2460,3712,211,283,335,406
0.025,724,1772,2472,3703,248,305,311,394
0.035,669,1825,2526,3715,230,298,318,403
0.045,728,1858,2505,3836,244,336,320,427
0.055,798,1865,2448,3866,213,319,312,439
0.065,734,1774,2518,3832,206,301,331,453
0.075,819,1747,2566,3861,242,330,340,441
0.085,826,1717,2605,3924,254,327,364,454
0.095,804,1762,2618,3964,255,345,366,467
0.105,807,1805,2635,3989,268,339,367,453
0.115,772,1831,2611,3969,247,347,339,454
0.125,680,1846,2590,3983,280,333,351,436
0.135,537,1874,2573,4020,277,331,331,415
0.145,357,2011,2669,3884,226,312,317,349
0.155,356,2011,2692,3848,214,296,334,371
0.165,377,2046,2660,3860,209,281,319,347
0.175,364,2008,2660,3816,200,269,312,377
0.185,384,2036,2656,3777,202,272,294,356
0.195,408,2023,2616,3764,197,267,294,358
0.205,433,1952,2555,3768,210,265,293,348
0.215,453,1874,2525,3718,209,277,285,332
0.225,456,1799,2420,3714,205,286,317,335
0.235,462,1739,2341,3729,211,286,308,343
0.245,482,1703,2289,3759,223,295,306,369
0.255,496,1739,2232,3753,216,287,309,350
0.265,492,1796,2237,3777,211,292,303,329
0.275,499,1777,2285,3795,195,296,306,313
0.285,515,1757,2346,3817,192,295,303,314
0.295,522,1711,2424,3844,195,291,330,326
0.305,480,1673,2503,3844,213,291,328,372
0.315,422,1619,2538,3938,262,339,309,438
0.325,380,1512,2547,4026,270,342,285,431
0.335,417,1406,2555,3995,247,303,288,383
0.345,566,1379,2594,3966,230,280,285,371
0.355,672,1392,2582,3916,220,279,289,396
0.365,750,1395,2560,3907,212,301,308,423
0.375,771,1373,2565,3891,230,305,333,464
0.385,779,1366,2562,3891,191,309,326,458
0.395,787,1369,2560,3854,212,313,333,461
0.405,785,1411,2548,3867,191,317,330,451
0.415,783,1450,2535,3889,206,315,336,444
0.425,753,1466,2539,3913,217,316,342,435
0.435,739,1513,2531,3957,207,309,322,403
0.445,669,1524,2534,3945,194,283,323,369
0.455,641,1583,2525,3902,170,293,312,352
0.465,602,1630,2488,3900,153,289,305,355
0.475,576,1677,2446,3872,144,301,323,347
0.485,559,1770,2386,3871,147,303,317,329
0.495,523,1817,2354,3915,163,290,305,315
0.505,479,1876,2276,3916,171,284,323,325
0.515,451,1887,2261,3811,190,274,302,363
0.525,441,1911,2251,3828,216,258,298,415
0.535,384,1934,2359,3795,250,323,325,446
0.545,375,1899,2464,3807,271,329,353,458
0.555,435,1805,2563,3864,311,345,323,460
0.565,433,1723,2498,3835,293,345,296,424
0.575,361,1677,2562,3789,280,306,327,443
0.585,484,1653,2529,3818,304,330,285,451
0.595,596,1653,2568,3845,238,361,269,420
0.605,585,1641,2660,3820,211,356,291,418
0.615,582,1668,2619,3803,242,344,296,432
0.625,561,1758,2617,3767,230,329,311,440
0.635,537,1791,2551,3690,228,331,301,385
0.645,517,1852,2581,3762,199,299,325,372
0.655,532,1888,2589,3767,197,278,329,350
0.665,532,1903,2583,3822,190,279,321,328
0.675,509,1906,2567,3832,180,278,309,324
0.685,512,1902,2548,3877,174,276,323,333
0.695,491,1897,2533,3906,182,288,327,327
0.705,473,1895,2527,3942,191,290,328,333
0.715,446,1899,2536,3956,191,291,330,342
0.725,438,1912,2559,3963,202,281,310,356
0.735,426,1936,2586,4070,200,295,300,370
0.745,411,1973,2611,4162,195,307,282,366
0.755,391,2024,2628,4165,202,324,291,377
0.765,380,2057,2644,4030,203,354,285,406
0.775,407,2040,2663,4050,251,361,261,422
0.785,476,1972,2682,4125,275,387,274,433
0.795,439,1866,2690,4140,289,377,271,406
0.805,421,1739,2679,4167,298,373,322,420
0.815,395,1620,2648,4173,278,354,329,406
0.825,420,1535,2606,4216,257,377,318,406
0.835,467,1442,2563,4235,214,367,317,440
0.845,500,1266,2527,4211,230,314,306,423
0.855,513,1089,2506,4122,241,285,318,387
0.865,537,1032,2502,4030,242,286,325,368
0.875,562,1071,2513,3989,242,288,321,368
0.885,578,1163,2539,3932,222,285,331,380
0.895,578,1264,2574,3921,207,291,341,391
0.905,580,1343,2603,3915,197,310,302,391
0.915,573,1424,2609,3860,179,332,294,395
0.925,545,1554,2581,3838,172,322,296,387
0.935,505,1718,2535,3871,165,315,309,383
0.945,479,1861,2495,3880,180,305,292,383
0.955,465,1973,2468,3854,180,312,296,377
0.965,437,2078,2452,3852,181,352,275,383
0.975,411,2166,2448,3890,179,405,307,411
0.985,389,2198,2456,3886,192,360,337,449
0.995,291,2184,2473,3910,229,366,359,481
1.005,412,2148,2496,3940,256,375,283,477
1.015,506,2118,2519,3955,276,397,267,448
1.025,460,2087,2538,3821,228,358,318,431
1.035,458,2036,2548,3788,172,303,300,409
1.045,467,1963,2543,3792,180,265,305,360
1.055,427,1899,2515,3835,182,261,307,363
1.065,393,1848,2459,3899,189,291,320,371
1.075,322,1721,2394,3936,215,314,356,415
1.085,352,1457,2365,3980,219,329,384,460
1.095,443,1319,2382,4010,253,330,342,472
1.105,394,1352,2417,4119,294,319,329,473
1.115,367,1457,2447,4114,273,319,329,444
1.125,407,1534,2472,4115,270,322,337,433
1.135,489,1551,2497,4104,288,332,333,442
1.145,587,1548,2519,4085,266,310,319,456
1.155,643,1562,2531,3908,199,306,306,419
1.165,506,1585,2522,3802,209,298,292,395
1.175,481,1587,2486,3721,198,293,310,392
