sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,422,1503,2511,3743,249,287,364,447
0.015,488,1570,2523,3837,260,317,322,471
0.025,594,1577,2438,3860,269,332,313,459
0.035,603,1522,2400,3868,323,322,319,477
0.045,577,1476,2377,3852,309,309,307,467
0.055,529,1495,2428,3806,313,320,315,447
0.065,580,1480,2433,3827,298,313,315,439
0.075,621,1552,2463,3757,294,295,334,441
0.085,661,1498,2502,3740,285,329,311,427
0.095,681,1530,2489,3745,287,315,315,431
0.105,675,1549,2500,3804,315,318,321,434
0.115,760,1534,2578,3912,286,334,271,429
0.125,810,1545,2590,3948,288,306,315,463
0.135,908,1598,2527,4005,261,381,358,466
0.145,964,1593,2544,4199,217,396,286,399
0.155,939,1583,2668,4186,246,342,306,427
0.165,959,1598,2765,4169,273,311,331,434
0.175,1049,1598,2734,4146,268,337,351,440
0.185,986,1603,2713,4033,244,321,372,433
0.195,947,1603,2699,3983,253,314,357,439
0.205,968,1603,2695,4034,245,327,326,465
0.215,877,1588,2669,4072,230,323,338,449
0.225,788,1578,2612,4160,226,345,326,447
0.235,709,1548,2626,4255,279,328,313,460
0.245,606,1558,2570,4204,268,310,332,458
0.255,594,1543,2516,4141,269,301,342,416
0.265,598,1578,2516,4158,252,292,344,416
0.275,612,1639,2484,4143,248,300,329,434
0.285,576,1679,2484,4059,229,274,341,433
0.295,595,1699,2490,3990,189,267,360,461
0.305,680,1719,2462,3927,217,267,389,411
0.315,674,1754,2462,4058,252,289,359,391
0.325,631,1754,2462,4180,293,290,367,403
0.335,679,1744,2430,4301,315,288,346,391
0.345,792,1739,2354,4286,278,337,322,398
0.355,848,1675,2322,4259,221,306,310,390
0.365,910,1622,2296,4285,197,334,308,378
0.375,901,1652,2279,4201,250,298,357,382
0.385,940,1633,2247,4152,260,290,361,384
0.395,855,1645,2182,4180,246,286,369,385
0.405,844,1656,2085,4137,213,305,362,396
0.415,872,1528,2031,4203,210,297,347,422
0.425,896,1549,1998,4232,255,297,346,417
