sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,604,1546,2498,3686,259,331,340,442
0.015,682,1509,2482,3708,321,333,306,459
0.025,749,1498,2529,3729,324,308,317,459
0.035,729,1583,2502,3738,272,340,326,442
0.045,629,1667,2577,3765,247,341,319,426
0.055,623,1727,2569,3793,265,344,316,430
0.065,668,1753,2591,3872,246,361,285,439
0.075,700,1837,2595,3903,247,346,301,471
0.085,732,1837,2635,3871,283,332,291,457
0.095,757,1906,2669,3857,295,324,305,478
0.105,764,1970,2669,3871,285,328,309,466
0.115,814,2028,2698,3872,274,327,298,455
0.125,759,2089,2763,3978,265,305,312,457
0.135,718,2078,2734,4111,305,300,317,443
0.145,603,2109,2734,4125,331,314,335,418
0.155,461,2115,2748,4150,268,304,357,440
0.165,453,2040,2764,3991,182,296,320,420
0.175,444,2005,2766,3873,193,322,300,400
0.185,326,2014,2740,3842,211,352,300,389
0.195,313,2014,2676,3882,181,398,279,405
0.205,312,2014,2611,3836,172,452,263,386
0.215,312,2014,2596,3764,177,385,244,364
0.225,277,2099,2620,3782,194,332,267,377
0.235,273,2115,2652,3731,192,348,303,374
0.245,277,2131,2676,3705,186,369,325,404
0.255,290,2147,2697,3735,186,414,298,406
0.265,290,2161,2726,3708,207,446,281,417
0.275,290,2171,2771,3687,248,435,296,411
0.285,297,2177,2818,3706,245,401,296,427
0.295,298,2177,2851,3737,217,361,316,424
0.305,329,2171,2863,3756,217,313,311,415
0.315,320,2156,2852,3765,216,304,318,414
0.325,302,2132,2821,3756,209,308,314,415
0.335,334,2099,2775,3783,203,320,326,410
0.345,339,2060,2720,3774,205,323,298,397
0.355,393,2019,2664,3795,211,316,291,396
0.365,370,1979,2613,3838,183,282,285,402
0.375,397,1943,2575,3818,200,288,301,367
0.385,406,1911,2555,3863,199,300,308,347
0.395,447,1885,2544,3877,189,270,323,344
0.405,443,1867,2528,3925,193,277,333,352
0.415,420,1858,2496,3919,216,244,356,436
0.425,451,1856,2456,3827,200,249,335,425
0.435,425,1859,2416,3795,181,259,342,407
0.445,435,1862,2384,3766,213,245,354,411
0.455,432,1862,2358,3775,180,266,346,406
0.465,413,1857,2327,3829,193,278,329,388
0.475,389,1849,2289,3778,214,271,310,385
0.485,381,1839,2258,3829,230,279,274,403
0.495,316,1829,2247,3884,241,381,363,443
0.505,290,1823,2273,3947,216,355,366,463
0.515,316,1820,2350,3920,239,335,315,448
0.525,316,1822,2469,3971,271,312,306,475
0.535,310,1829,2609,3890,286,283,327,484
0.545,316,1839,2729,3876,332,319,323,509
0.555,323,1852,2793,3865,307,314,326,500
0.565,323,1869,2812,3907,260,343,309,489
0.575,316,1889,2805,3935,201,362,336,495
0.585,316,1911,2790,3924,240,337,307,473
0.595,336,1935,2771,3857,216,357,325,463
0.605,369,1958,2751,3802,215,377,347,443
0.615,356,1977,2729,3736,229,359,309,399
0.625,376,1991,2707,3756,210,328,337,393
0.635,376,1999,2684,3793,196,294,326,407
0.645,460,2006,2663,3818,189,268,320,411
0.655,459,2013,2643,3792,187,252,350,400
0.665,458,2022,2624,3821,187,240,353,409
0.675,466,2034,2608,3836,189,243,341,411
0.685,454,2047,2594,3848,193,239,343,402
0.695,449,2056,2582,3863,199,235,356,427
0.705,469,2058,2573,3870,210,240,346,407
0.715,441,2053,2566,3879,191,236,352,401
0.725,458,2043,2562,3908,212,234,352,424
0.735,457,2030,2561,3932,196,254,352,419
0.745,486,2017,2562,3960,207,273,342,410
0.755,469,2005,2565,3960,196,283,333,393
0.765,458,1990,2570,3967,199,293,313,377
0.775,444,1969,2576,3955,191,295,297,368
0.785,440,1940,2579,3957,198,294,299,343
0.795,435,1905,2576,3970,191,283,273,332
0.805,426,1868,2563,3988,203,296,289,338
0.815,431,1830,2539,4041,204,317,309,357
0.825,431,1793,2511,4215,214,295,337,370
0.835,403,1758,2482,4209,222,303,395,362
0.845,400,1725,2460,4085,271,299,381,421
0.855,402,1696,2448,3912,347,362,364,430
0.865,389,1671,2450,3840,319,324,373,427
0.875,389,1651,2460,4010,335,312,397,439
0.885,389,1636,2474,4132,313,338,356,453
0.895,382,1627,2488,4202,334,351,334,454
0.905,382,1625,2497,4203,325,310,356,436
0.915,382,1630,2502,4112,329,366,356,439
0.925,376,1641,2504,3961,349,308,363,412
0.935,376,1653,2506,4000,352,313,389,410
0.945,376,1663,2508,3934,339,326,381,414
0.955,376,1667,2514,3922,336,346,344,411
0.965,376,1663,2523,3929,323,311,348,398
0.975,376,1654,2539,3979,308,329,359,384
