sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,558,1520,2427,3628,260,325,341,435
0.015,520,1542,2474,3609,268,307,336,423
0.025,510,1531,2446,3611,313,316,327,438
0.035,555,1470,2508,3651,307,300,322,427
0.045,608,1442,2462,3684,312,292,320,441
0.055,666,1502,2491,3748,279,296,341,455
0.065,705,1400,2523,3856,316,308,330,453
0.075,724,1484,2501,3917,277,329,336,472
0.085,729,1522,2523,3862,218,328,330,486
0.095,780,1493,2556,3867,304,301,323,461
0.105,866,1496,2531,3845,301,313,329,463
0.115,844,1529,2480,3834,292,333,365,491
0.125,811,1511,2515,3895,277,313,340,461
0.135,812,1430,2447,3844,272,315,345,443
0.145,735,1233,2426,3709,190,346,349,384
0.155,720,1105,2390,3771,225,305,370,358
0.165,585,1024,2413,3777,232,300,395,370
0.175,503,951,2452,3903,262,313,353,403
0.185,439,877,2510,3963,241,323,370,442
0.195,439,861,2465,3927,225,353,380,466
0.205,393,845,2499,4015,225,372,384,496
0.215,320,837,2484,4031,242,376,372,445
0.225,311,837,2438,4007,165,358,331,425
0.235,311,869,2407,3987,188,349,310,402
0.245,311,858,2337,4037,213,314,320,455
0.255,311,872,2183,4101,192,332,323,511
0.265,338,892,2160,4206,152,344,332,514
0.275,348,967,2106,4367,145,360,355,489
0.285,320,975,1967,4475,120,371,394,474
0.295,348,983,1890,4512,149,327,409,440
0.305,348,1016,1759,4512,170,278,429,418
0.315,402,1040,1721,4549,168,273,422,444
0.325,402,1048,1620,4378,146,232,449,385
0.335,411,1056,1513,4428,142,192,449,382
0.345,453,1089,1482,4387,154,217,439,374
0.355,457,1097,1489,4286,160,211,451,379
0.365,425,1122,1528,4289,156,225,443,371
0.375,445,1203,1590,4270,140,237,430,368
0.385,437,1276,1674,4270,129,243,426,399
0.395,422,1341,1752,4270,134,267,392,424
0.405,424,1390,1813,4229,124,294,366,447
0.415,410,1496,1913,4070,128,292,365,436
0.425,414,1562,1983,3902,131,305,356,447
0.435,424,1651,2176,3759,170,329,340,414
0.445,414,1700,2330,3734,186,318,327,383
0.455,424,1773,2430,3855,190,300,326,381
0.465,411,1814,2522,3866,205,298,311,375
0.475,425,1887,2553,3845,209,255,313,376
0.485,409,1960,2562,3908,200,269,324,363
0.495,380,1977,2538,3895,198,266,315,371
0.505,394,2050,2502,3906,196,269,339,378
0.515,383,2072,2563,3920,184,312,340,353
0.525,383,2089,2627,3978,187,291,310,365
0.535,442,2074,2620,3939,184,286,276,363
0.545,422,2058,2608,3987,198,275,296,354
0.555,436,2031,2640,3994,181,279,296,342
0.565,450,2000,2654,3989,181,294,295,338
0.575,503,1950,2680,4014,183,293,300,352
0.585,477,1869,2676,4005,180,279,299,343
0.595,443,1817,2662,4026,176,297,291,317
0.605,425,1744,2654,4116,189,305,293,323
0.615,417,1719,2593,4198,215,313,362,387
0.625,345,1751,2569,4234,261,347,361,410
0.635,419,1811,2585,4164,280,344,353,369
0.645,511,1726,2585,4186,288,325,336,398
0.655,550,1688,2600,4226,311,315,347,424
0.665,597,1634,2623,4200,331,324,320,427
0.675,675,1464,2647,4176,364,320,301,424
0.685,714,1454,2654,4153,319,309,299,433
0.695,795,1459,2654,4158,244,345,288,445
0.705,725,1570,2693,4218,247,329,328,462
0.715,717,1582,2716,4219,223,314,360,471
0.725,760,1599,2724,4089,275,337,320,448
0.735,727,1722,2739,4072,251,304,340,435
0.745,640,1678,2778,4091,239,291,314,446
0.755,536,1686,2767,4150,250,290,299,475
0.765,575,1721,2749,4036,176,294,284,431
0.775,553,1677,2736,4004,143,304,268,414
0.785,601,1674,2730,3973,140,308,268,415
0.795,602,1670,2689,3926,148,311,302,414
0.805,622,1657,2680,3903,154,325,294,420
0.815,620,1693,2706,3965,148,323,327,430
0.825,615,1686,2682,3953,142,301,293,410
0.835,632,1685,2654,4009,147,325,280,410
0.845,623,1684,2654,3992,157,313,318,420
0.855,679,1708,2631,4017,172,324,339,427
0.865,691,1714,2592,4062,181,319,328,430
0.875,643,1700,2492,4091,167,328,330,427
0.885,558,1685,2469,3975,163,303,333,393
0.895,521,1698,2407,3890,165,287,349,409
0.905,507,1725,2276,3827,192,285,324,429
0.915,507,1619,2160,3800,193,330,322,416
0.925,404,1606,2130,3763,202,314,330,428
0.935,351,1525,2091,3698,247,314,356,441
0.945,351,1488,2083,3651,276,300,351,436
0.955,336,1419,2083,3686,287,319,307,457
0.965,336,1414,2076,3701,278,300,293,458
0.975,336,1436,2076,3622,311,297,292,436
0.985,343,1437,2076,3623,311,316,309,427
0.995,343,1554,2053,3604,262,306,335,456
1.005,343,1486,2060,3628,301,303,326,448
1.015,343,1468,2076,3680,294,290,324,457
1.025,343,1452,2076,3649,297,317,363,447
