sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,536,1484,2448,3594,263,297,369,445
0.015,551,1492,2458,3640,293,311,323,465
0.025,473,1440,2376,3608,283,289,311,436
0.035,520,1424,2364,3541,283,312,315,433
0.045,616,1471,2422,3513,274,311,306,444
0.055,656,1475,2496,3506,275,304,318,423
0.065,648,1555,2499,3530,229,324,324,422
0.075,634,1580,2495,3544,242,332,338,423
0.085,604,1547,2518,3566,285,309,331,414
0.095,637,1547,2448,3547,262,340,328,416
0.105,459,1547,2368,3619,235,346,304,428
0.115,403,1547,2422,3762,234,350,280,414
0.125,365,1547,2397,3758,222,350,289,399
0.135,352,1547,2446,3717,211,323,275,384
0.145,359,1547,2393,3701,209,276,295,354
0.155,380,1538,2325,3638,214,305,308,379
0.165,409,1521,2287,3471,171,307,389,448
0.175,441,1477,2342,3395,195,290,347,420
0.185,469,1477,2456,3458,181,316,301,402
0.195,492,1416,2600,3448,187,287,300,438
0.205,513,1355,2654,3402,194,319,307,423
0.215,534,1320,2691,3468,210,293,295,397
0.225,554,1285,2704,3531,227,275,300,387
0.235,567,1233,2703,3580,243,273,301,385
0.245,567,1215,2682,3608,249,267,296,378
0.255,552,1206,2667,3641,254,263,296,376
0.265,528,1206,2653,3701,245,260,284,369
0.275,503,1206,2627,3715,238,256,285,353
0.285,483,1224,2578,3734,216,267,283,358
0.295,471,1250,2544,3714,218,299,275,404
0.305,464,1311,2539,3657,235,298,295,399
0.315,457,1346,2536,3638,232,306,297,378
0.325,448,1399,2555,3658,227,330,283,383
0.335,435,1399,2555,3739,229,329,314,389
0.345,418,1399,2555,3847,187,345,317,434
0.355,401,1399,2483,3802,218,347,338,416
0.365,386,1399,2349,3703,259,360,379,423
0.375,375,1399,2195,3742,195,370,318,429
0.385,371,1390,2092,3724,215,339,337,434
0.395,372,1320,2061,3585,264,301,310,428
0.405,374,1285,1897,3562,219,287,351,438
0.415,372,1276,1794,3584,237,298,393,452
0.425,362,1250,1712,3657,230,293,377,452
0.435,349,1206,1671,3703,253,302,348,473
0.445,337,1180,1671,3713,235,312,393,488
0.455,333,1154,1629,3672,220,308,419,509
0.465,339,1119,1629,3600,168,310,419,514
0.475,355,1119,1701,3556,121,311,394,507
0.485,382,1110,1794,3478,135,311,341,521
0.495,419,1093,1989,3461,149,317,317,489
0.505,465,1093,2061,3474,189,319,313,446
0.515,518,1136,2277,3477,191,302,313,429
0.525,566,1154,2308,3531,210,282,280,392
0.535,599,1171,2291,3542,247,300,280,359
0.545,608,1180,2289,3543,219,302,306,398
0.555,592,1189,2311,3636,196,307,315,384
0.565,559,1206,2277,3688,232,340,343,422
0.575,518,1276,2277,3751,252,316,330,464
0.585,478,1285,2267,3702,238,318,313,455
0.595,446,1285,2236,3731,242,331,303,431
0.605,420,1320,2226,3626,278,346,317,427
0.615,400,1346,2195,3654,273,307,330,427
0.625,386,1346,2195,3682,253,299,317,428
0.635,375,1346,2195,3719,263,307,302,405
0.645,368,1363,2205,3606,243,308,337,422
0.655,366,1390,2195,3613,221,303,357,404
0.665,368,1398,2184,3511,200,301,364,404
0.675,378,1407,2174,3660,193,267,369,415
0.685,393,1407,2154,3708,229,267,365,418
0.695,407,1407,2137,3850,244,273,312,425
0.705,415,1398,2104,3980,222,301,291,443
0.715,412,1408,2071,4000,214,332,331,414
0.725,394,1285,1989,4038,157,335,388,437
0.735,369,1321,1907,4084,181,305,362,457
0.745,345,1162,1886,4076,146,333,361,474
0.755,333,1101,1773,4059,125,320,381,471
0.765,340,1031,1722,4049,90,351,385,478
0.775,363,979,1691,4142,117,336,382,506
0.785,392,879,1598,4213,133,323,394,489
0.795,421,879,1593,4286,162,275,372,470
0.805,441,854,1475,4406,212,272,322,452
0.815,452,849,1451,4465,237,268,311,470
0.825,451,842,1444,4529,236,291,318,495
0.835,438,878,1392,4518,249,272,326,453
0.845,416,899,1395,4512,224,285,308,469
0.855,392,935,1407,4391,215,283,300,459
0.865,370,944,1427,4231,208,304,282,475
0.875,354,979,1456,3993,232,313,332,467
0.885,344,1058,1493,3766,264,325,317,470
0.895,338,1093,1538,3496,261,310,273,415
0.905,334,1224,1590,3555,251,303,278,331
0.915,331,1337,1651,3616,239,304,284,306
0.925,327,1363,1719,3549,229,335,284,307
0.935,324,1416,1794,3573,220,285,301,289
0.945,322,1477,1874,3562,213,296,318,291
0.955,322,1460,1956,3560,226,313,315,349
0.965,325,1486,2036,3700,260,349,384,390
0.975,330,1486,2113,3601,298,386,264,381
0.985,340,1486,2185,3534,295,406,252,386
0.995,352,1442,2254,3469,284,381,303,396
1.005,366,1433,2320,3570,272,321,319,393
1.015,380,1433,2380,3666,250,325,347,367
1.025,393,1506,2434,3710,224,303,350,356
1.035,404,1425,2476,3767,212,295,336,350
1.045,411,1441,2506,3850,213,314,299,323
1.055,412,1368,2523,3862,231,306,271,288
1.065,407,1361,2530,3919,221,308,267,292
1.075,396,1344,2531,4003,201,318,280,344
1.085,382,1355,2529,4128,232,307,308,352
1.095,366,1369,2526,4289,251,339,358,401
1.105,350,1373,2524,4314,268,327,360,395
1.115,337,1373,2523,4355,258,305,333,411
1.125,328,1373,2523,4446,295,337,336,430
1.135,325,1376,2526,4454,258,355,342,436
1.145,327,1359,2531,4462,235,317,342,443
1.155,335,1364,2539,4431,236,300,322,435
1.165,347,1387,2549,4299,241,326,330,494
1.175,363,1426,2560,4113,239,280,341,522
1.185,383,1477,2572,3924,231,308,344,508
1.195,403,1537,2584,3779,224,280,351,452
1.205,424,1603,2594,3701,225,282,355,432
1.215,442,1670,2603,3641,217,266,340,406
1.225,456,1731,2609,3620,219,275,326,388
1.235,463,1777,2612,3599,224,240,328,367
1.245,460,1800,2612,3587,214,244,323,367
1.255,445,1804,2609,3576,221,257,330,356
1.265,417,1796,2605,3589,229,265,347,363
1.275,382,1784,2598,3570,267,286,364,395
1.285,345,1774,2589,3554,305,305,377,420
1.295,312,1766,2579,3641,348,338,300,436
1.305,287,1757,2568,3713,358,357,278,436
1.315,273,1747,2556,3659,372,371,282,419
1.325,265,1733,2543,3667,339,358,281,426
1.335,260,1717,2530,3704,336,330,290,418
1.345,253,1698,2517,3764,318,327,323,445
1.355,244,1680,2505,3791,306,320,294,457
1.365,241,1662,2495,3843,272,322,290,456
1.375,257,1645,2488,3887,286,334,260,461
1.385,295,1620,2486,3829,285,351,255,444
1.395,340,1581,2488,3694,275,327,277,401
1.405,373,1520,2497,3807,235,299,284,383
1.415,380,1445,2510,3767,237,341,318,374
1.425,367,1386,2522,3772,238,354,303,394
1.435,347,1361,2529,3768,220,349,287,388
1.445,330,1365,2528,3835,198,334,286,365
1.455,322,1387,2516,3903,190,329,333,364
1.465,316,1418,2499,4071,174,311,353,422
1.475,306,1446,2479,4272,234,270,366,485
1.485,282,1469,2460,4347,268,301,352,414
1.495,245,1487,2448,4516,287,281,360,409
1.505,208,1500,2444,4578,272,300,366,430
1.515,181,1509,2448,4503,330,348,337,402
1.525,176,1516,2458,4512,301,328,348,410
1.535,192,1522,2475,4456,298,354,356,354
1.545,219,1526,2497,4426,300,326,397,314
1.555,249,1532,2523,4310,297,317,355,365
1.565,273,1538,2552,4376,281,310,364,396
1.575,292,1547,2581,4394,255,324,317,380
1.585,310,1559,2603,4298,276,305,302,390
1.595,333,1572,2614,4057,222,328,313,435
1.605,362,1580,2610,3913,209,296,309,397
1.615,396,1580,2585,3934,187,303,319,399
1.625,428,1569,2545,3835,174,274,298,376
1.635,455,1542,2497,3815,192,314,289,347
1.645,472,1500,2448,3744,191,306,293,353
1.655,482,1450,2404,3683,200,311,309,375
1.665,489,1402,2361,3629,212,309,314,426
1.675,493,1365,2317,3609,231,304,319,438
1.685,495,1340,2268,3720,241,296,315,457
1.695,493,1325,2209,3792,274,309,305,466
1.705,487,1317,2140,3687,299,313,288,458
1.715,474,1313,2063,3626,348,318,304,470
1.725,454,1310,1983,3660,341,310,309,450
1.735,424,1308,1907,3660,278,319,343,453
1.745,383,1305,1838,3622,241,351,370,423
1.755,422,1299,1781,3664,241,334,359,442
1.765,406,1288,1736,3709,240,322,345,433
1.775,406,1272,1700,3845,254,321,320,464
1.785,406,1251,1672,3831,260,310,361,467
1.795,406,1234,1648,3912,255,310,363,451
1.805,406,1231,1626,3864,276,297,377,460
1.815,406,1251,1606,3828,287,271,372,470
1.825,406,1291,1598,3761,258,269,385,517
1.835,406,1340,1613,3719,285,235,316,508
1.845,406,1386,1661,3682,326,192,277,517
1.855,406,1422,1735,3706,289,176,289,525
1.865,380,1463,1819,3714,226,192,300,493
1.875,382,1531,1898,3681,224,237,309,462
1.885,383,1643,1970,3738,220,222,329,434
1.895,375,1773,2038,3826,255,228,368,476
1.905,344,1877,2103,3872,282,261,380,507
1.915,344,1941,2161,3853,333,391,363,461
1.925,344,1959,2209,3891,340,373,356,441
1.935,337,1922,2246,4013,309,349,353,476
1.945,337,1819,2271,4069,291,399,368,493
1.955,337,1607,2287,4182,202,372,388,452
1.965,352,1237,2298,4198,190,347,370,412
1.975,352,941,2305,4149,226,339,339,385
1.985,352,887,2311,4206,239,341,352,455
1.995,352,921,2319,4319,144,386,336,484
2.005,352,901,2331,4415,147,367,322,479
2.015,352,877,2349,4472,174,306,317,485
2.025,360,932,2372,4493,191,287,301,502
2.035,368,1054,2398,4537,183,298,314,485
2.045,375,1178,2425,4541,169,306,382,478
2.055,375,1283,2451,4389,176,320,423,492
2.065,375,1363,2473,4173,196,290,383,510
2.075,368,1416,2490,3977,214,347,313,494
2.085,378,1449,2499,3884,253,336,294,469
2.095,383,1472,2502,3878,273,330,304,460
2.105,375,1490,2500,3823,299,316,306,467
2.115,375,1505,2494,3832,293,302,291,464
2.125,375,1513,2485,3899,312,308,319,486
2.135,375,1516,2476,3966,300,293,334,480
2.145,375,1511,2466,3947,288,300,372,492
2.155,375,1499,2457,4003,304,298,388,483
2.165,375,1479,2452,3973,298,315,349,448
2.175,375,1451,2450,3942,271,331,322,450
2.185,383,1417,2453,3876,289,313,314,472
2.195,406,1377,2460,3872,332,296,341,466
2.205,406,1332,2467,3893,293,351,325,471
2.215,406,1282,2471,3838,279,325,324,463
2.225,422,1230,2469,3832,276,316,362,464
2.235,422,1177,2458,3773,270,321,328,436
2.245,437,1124,2434,3714,246,329,352,442
2.255,445,1075,2403,3766,209,344,306,475
2.265,445,1040,2370,3703,185,321,299,521
2.275,468,1035,2344,3578,179,307,299,518
2.285,468,1071,2333,3504,199,307,314,504
2.295,476,1136,2340,3498,213,300,307,480
