sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,644,1479,2472,3557,238,264,380,432
0.015,698,1553,2498,3562,300,251,364,433
0.025,767,1628,2623,3639,294,269,356,424
0.035,834,1648,2679,3718,285,283,348,451
0.045,866,1755,2759,3721,239,278,370,443
0.055,838,1733,2797,3773,235,290,357,424
0.065,807,1760,2762,3853,226,313,333,431
0.075,823,1864,2753,3853,196,322,363,453
0.085,933,1742,2735,3939,221,273,386,434
0.095,959,1774,2704,3972,270,278,379,443
0.105,927,1700,2694,3959,252,294,363,456
0.115,959,1655,2781,3984,269,273,371,472
0.125,1003,1692,2765,4036,268,323,355,470
0.135,1091,1747,2774,4116,283,304,396,492
0.145,1201,1739,2821,4214,210,336,385,471
0.155,1199,1762,2918,4340,126,372,376,480
0.165,1156,1856,2991,4307,139,415,313,466
0.175,1108,2018,2956,4304,152,417,353,444
0.185,1045,1992,2926,4246,190,403,367,432
0.195,916,1819,2852,4360,182,383,376,415
0.205,846,1654,2746,4461,182,387,322,411
0.215,789,1565,2646,4309,193,410,334,411
0.225,756,1477,2495,4258,201,401,366,421
0.235,743,1411,2468,4158,212,358,372,444
0.245,620,1341,2386,3976,243,313,367,441
0.255,560,1201,2386,3728,155,389,355,430
0.265,510,1063,2367,3587,179,380,339,393
0.275,490,1012,2347,3537,203,361,315,413
0.285,460,1025,2347,3540,200,362,286,404
0.295,450,1014,2347,3547,211,359,270,391
0.305,450,1007,2347,3559,219,359,271,377
0.315,450,990,2347,3602,222,348,274,375
0.325,430,1012,2386,3707,219,313,285,360
0.335,420,1005,2415,3798,232,282,302,375
0.345,400,1005,2464,3893,234,300,362,384
0.355,400,1005,2493,3951,215,300,407,368
0.365,400,1013,2493,4113,254,342,388,354
0.375,400,1031,2522,4205,326,318,387,387
0.385,400,1040,2551,4216,311,310,361,387
0.395,400,1057,2551,4217,284,316,359,382
0.405,400,1153,2657,4202,299,328,372,391
0.415,400,1214,2615,4144,287,330,311,411
0.425,400,1310,2541,4093,315,329,368,438
0.435,390,1405,2573,4013,327,319,383,420
0.445,390,1545,2544,3953,284,339,341,444
0.455,390,1571,2476,3837,260,365,348,456
0.465,380,1580,2439,3735,281,349,331,491
0.475,360,1580,2359,3514,266,308,320,483
0.485,411,1571,2206,3291,227,269,336,443
0.495,426,1536,2094,3245,218,254,361,435
0.505,440,1527,2024,3257,220,247,376,405
0.515,454,1536,1982,3294,242,251,384,374
0.525,441,1536,1982,3564,275,297,317,385
0.535,421,1675,2136,3586,302,305,311,389
0.545,467,1719,2192,3541,328,339,326,415
0.555,499,1728,2345,3715,374,379,337,397
0.565,531,1728,2359,3793,358,359,352,392
0.575,591,1754,2429,3970,334,390,349,337
0.585,676,1772,2667,3993,333,407,360,339
0.595,689,1772,2709,4029,310,387,371,330
0.605,668,1772,2737,4164,299,392,369,296
0.615,695,1772,2737,4154,315,373,387,358
0.625,667,1772,2765,4228,304,369,368,330
0.635,618,1772,2807,4157,325,367,372,364
0.645,567,1789,2821,4160,343,384,348,344
0.655,555,1763,2821,4155,336,397,348,343
0.665,545,1763,2835,4051,327,384,349,368
0.675,538,1737,2835,4045,331,363,377,383
0.685,565,1745,2793,4078,357,400,403,407
0.695,576,1754,2723,4043,325,416,370,374
0.705,616,1754,2709,4121,345,413,359,400
0.715,680,1754,2681,4141,349,404,373,399
0.725,613,1754,2667,4118,275,359,407,414
0.735,536,1754,2597,4039,284,333,328,421
0.745,470,1754,2555,3868,249,307,274,426
0.755,456,1754,2485,3775,211,290,241,414
0.765,443,1754,2485,3719,200,279,248,424
0.775,437,1754,2485,3697,199,271,253,423
0.785,433,1754,2485,3684,202,275,255,421
0.795,446,1754,2471,3683,206,281,262,418
0.805,478,1754,2471,3747,199,275,254,428
0.815,484,1737,2443,3766,215,259,255,414
0.825,468,1702,2443,3740,210,254,255,396
0.835,461,1693,2443,3715,204,251,255,385
0.845,476,1693,2387,3705,212,262,257,395
0.855,505,1632,2373,3677,228,289,259,404
0.865,548,1624,2331,3661,238,322,271,433
0.875,530,1553,2331,3625,253,331,300,435
0.885,530,1586,2275,3562,261,346,335,424
0.895,530,1458,2205,3511,229,366,325,421
0.905,530,1336,2205,3480,192,363,307,403
0.915,530,1301,2205,3446,191,352,301,413
0.925,530,1240,2205,3537,194,358,288,398
0.935,510,1153,2261,3609,197,331,276,404
0.945,500,1127,2303,3670,207,305,299,383
0.955,490,1109,2373,3595,222,291,294,398
0.965,470,1022,2373,3524,227,313,296,414
0.975,440,987,2387,3563,223,306,313,380
0.985,450,987,2443,3596,211,294,332,380
0.995,450,944,2429,3590,210,314,332,383
1.005,420,935,2401,3549,200,292,369,377
1.015,400,926,2326,3615,181,343,378,377
1.025,430,909,2365,3583,179,335,360,398
1.035,390,892,2254,3651,183,310,321,397
1.045,400,883,2270,3665,214,327,299,409
1.055,400,874,2329,3694,241,274,302,444
1.065,400,874,2367,3684,263,326,314,456
1.075,390,874,2414,3740,293,321,326,474
