sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,552,1541,2466,3711,244,290,364,425
0.015,567,1534,2523,3681,258,267,359,422
0.025,654,1467,2475,3670,285,277,343,421
0.035,729,1493,2548,3687,259,284,332,439
0.045,807,1478,2589,3752,248,313,340,406
0.055,786,1497,2659,3831,253,298,331,428
0.065,822,1470,2656,3830,264,305,311,430
0.075,871,1445,2653,3910,215,293,338,446
0.085,809,1516,2616,3912,225,302,356,452
0.095,803,1519,2633,4026,224,331,344,454
0.105,791,1561,2589,4077,239,289,346,465
0.115,686,1682,2607,4083,222,342,354,471
0.125,692,1668,2543,4094,243,344,349,478
0.135,749,1557,2620,4097,255,317,350,457
0.145,802,1619,2622,4069,291,330,361,462
0.155,826,1462,2575,3940,259,306,324,449
0.165,797,1459,2493,3839,253,309,316,450
0.175,782,1464,2477,3741,293,283,327,448
0.185,731,1482,2411,3711,268,309,341,419
0.195,584,1483,2482,3661,321,272,361,391
0.205,356,1515,2444,3664,300,291,323,386
0.215,373,1544,2384,3634,227,313,333,393
0.225,365,1640,2365,3604,252,313,323,430
0.235,363,1754,2328,3467,240,320,307,456
0.245,380,1821,2353,3407,210,309,296,415
0.255,402,1869,2414,3413,222,309,293,448
0.265,431,1879,2500,3398,213,308,274,470
0.275,371,1888,2500,3401,202,317,269,438
0.285,420,1898,2513,3426,203,285,275,435
0.295,371,1898,2525,3445,197,297,282,438
0.305,371,1850,2513,3454,201,315,260,445
0.315,458,1808,2476,3439,214,323,231,435
0.325,458,1681,2463,3461,235,338,225,451
0.335,567,1553,2377,3422,236,360,222,424
0.345,588,1436,2316,3430,162,365,229,436
0.355,675,1341,2291,3501,165,361,195,439
0.365,675,1281,2279,3523,158,339,197,450
0.375,675,1264,2279,3521,180,326,244,426
0.385,675,1290,2279,3494,170,310,274,453
0.395,675,1350,2279,3410,174,324,292,413
0.405,675,1431,2230,3310,192,322,309,398
0.415,664,1501,2218,3269,187,304,341,392
0.425,610,1527,2206,3215,189,289,372,386
0.435,578,1521,2181,3184,205,272,409,374
0.445,578,1509,2132,3184,206,274,398,382
0.455,512,1508,2046,3222,197,256,386,399
0.465,564,1469,1874,3220,201,250,358,428
0.475,512,1328,1874,3205,212,262,374,447
0.485,436,1108,1665,3223,225,287,388,455
0.495,426,1002,1604,3213,223,305,374,449
0.505,415,1003,1395,3205,220,282,374,451
0.515,415,1048,1371,3188,221,300,362,452
0.525,415,1097,1383,3169,210,295,365,449
0.535,404,1149,1395,3161,193,278,351,452
0.545,371,1209,1518,3158,176,266,341,452
0.555,360,1284,1604,3144,195,268,332,422
0.565,436,1371,1776,3144,216,298,312,399
0.575,436,1463,1849,3202,218,298,328,375
0.585,436,1554,1985,3264,216,304,309,393
0.595,436,1639,2156,3357,198,300,318,403
0.605,426,1713,2291,3411,206,293,312,406
0.615,483,1776,2328,3406,190,271,320,404
0.625,475,1826,2353,3379,216,271,324,406
0.635,464,1863,2353,3410,196,262,336,397
0.645,475,1889,2377,3361,226,245,348,391
0.655,431,1905,2452,3413,215,260,345,373
0.665,415,1912,2501,3428,240,278,350,387
0.675,415,1911,2501,3424,270,311,353,434
0.685,415,1904,2476,3582,249,321,340,454
0.695,415,1892,2501,3630,205,295,392,428
0.705,415,1876,2513,3717,209,330,382,435
0.715,415,1858,2525,3793,243,317,342,436
0.725,415,1839,2525,3645,215,305,316,423
0.735,415,1819,2537,3629,190,325,329,413
0.745,426,1800,2537,3746,185,317,333,425
0.755,426,1781,2537,3769,193,298,350,433
0.765,458,1763,2513,3666,183,310,326,418
0.775,524,1747,2476,3744,176,280,335,431
0.785,556,1733,2476,3674,205,275,264,437
0.795,556,1721,2439,3703,210,277,256,437
0.805,578,1710,2415,3733,217,274,238,429
0.815,665,1699,2402,3717,207,281,232,426
0.825,697,1687,2378,3735,198,279,234,433
0.835,697,1675,2378,3720,213,294,229,426
0.845,697,1660,2378,3737,198,309,229,419
0.855,686,1644,2390,3746,201,314,233,424
0.865,686,1627,2402,3735,197,308,241,420
0.875,686,1612,2390,3737,204,298,248,405
0.885,686,1599,2370,3793,191,311,244,442
0.895,654,1590,2374,3743,186,316,265,442
0.905,654,1587,2365,3711,205,297,284,442
0.915,665,1592,2344,3723,199,286,301,449
0.925,686,1606,2313,3713,182,257,304,448
0.935,686,1631,2274,3665,177,229,313,445
0.945,543,1669,2229,3653,204,190,326,468
0.955,485,1719,2181,3675,223,191,367,483
0.965,480,1779,2133,3743,256,229,383,463
0.975,472,1843,2089,3802,310,253,379,456
0.985,452,1894,2058,3889,294,314,370,480
0.995,400,1911,2053,3944,250,340,362,473
1.005,451,1897,2085,3976,295,350,336,462
1.015,413,1865,2144,4026,297,336,338,462
1.025,447,1828,2207,3984,263,315,355,466
1.035,436,1798,2254,3978,305,329,346,470
1.045,436,1773,2279,3929,330,328,318,457
1.055,436,1745,2279,3906,312,352,276,442
1.065,447,1707,2254,3927,322,358,256,456
1.075,480,1652,2201,3879,301,302,304,484
1.085,510,1580,2124,3825,242,222,314,482
1.095,491,1508,2032,3775,215,229,327,501
1.105,468,1453,1939,3801,198,220,313,512
1.115,459,1424,1855,3843,207,197,269,503
1.125,477,1415,1786,3907,195,206,289,509
1.135,439,1420,1739,3942,205,203,292,502
1.145,413,1432,1719,3987,189,189,296,493
1.155,412,1446,1732,4052,225,193,288,482
1.165,416,1459,1783,4104,228,253,324,479
1.175,416,1474,1866,4056,278,303,355,439
1.185,406,1487,1967,4059,313,337,385,471
1.195,430,1500,2072,3986,327,379,367,440
1.205,461,1510,2168,3975,325,368,339,405
1.215,487,1517,2251,3986,316,380,345,426
1.225,526,1524,2323,4028,314,401,331,404
1.235,539,1534,2383,4185,339,347,352,415
1.245,523,1551,2435,4320,349,335,341,403
1.255,502,1577,2478,4307,344,360,304,388
1.265,480,1615,2513,4320,345,356,323,362
1.275,480,1661,2543,4274,320,353,329,369
1.285,469,1704,2567,4229,311,317,334,403
1.295,469,1735,2586,4177,296,364,345,390
1.305,469,1746,2602,4226,295,331,345,421
1.315,469,1732,2616,4253,288,331,345,429
1.325,469,1699,2628,4180,268,337,336,421
1.335,469,1653,2640,4076,229,362,353,398
1.345,480,1601,2653,4149,227,400,307,413
1.355,491,1546,2666,4203,265,364,322,407
1.365,480,1494,2680,4271,240,340,305,432
1.375,480,1448,2696,4255,204,332,268,437
1.385,480,1412,2712,4201,192,361,237,463
1.395,480,1378,2729,4154,184,354,203,461
1.405,480,1329,2748,4028,212,351,203,457
1.415,480,1264,2767,3932,205,337,185,458
1.425,480,1198,2787,3940,192,337,202,461
1.435,480,1147,2808,3919,211,347,195,469
1.445,480,1121,2830,3889,207,351,189,463
1.455,480,1113,2850,3863,202,353,200,473
1.465,480,1114,2866,3763,215,355,227,474
1.475,480,1117,2878,3643,205,354,245,492
1.485,458,1114,2882,3575,226,327,273,485
1.495,447,1104,2877,3599,241,326,349,480
1.505,371,1091,2863,3703,204,346,392,455
1.515,331,1080,2841,3756,233,371,418,439
1.525,302,1077,2809,3759,229,374,413,423
1.535,391,1085,2770,3793,245,316,382,445
1.545,511,1110,2722,3904,239,343,381,469
1.555,591,1156,2669,3905,256,339,410,476
1.565,560,1219,2611,3967,264,362,406,480
1.575,525,1293,2553,3924,315,331,358,467
1.585,476,1372,2496,3862,309,320,331,457
1.595,572,1447,2442,3741,290,362,324,442
1.605,509,1504,2392,3544,308,322,340,432
1.615,490,1530,2348,3232,256,329,330,420
1.625,483,1511,2309,3131,231,338,322,377
1.635,523,1432,2276,3094,228,364,306,346
1.645,531,1279,2250,3079,174,375,297,354
1.655,453,1072,2231,3132,162,382,299,400
1.665,451,904,2219,3249,170,386,310,427
1.675,399,822,2212,3476,203,348,327,428
1.685,365,799,2209,3614,222,343,332,443
1.695,361,802,2209,3743,227,329,320,459
1.705,362,800,2213,3825,243,306,324,476
1.715,407,784,2217,3820,251,300,286,490
1.725,440,766,2223,3715,239,294,279,476
1.735,459,763,2230,3581,233,295,282,477
1.745,507,789,2238,3548,236,282,279,481
1.755,538,857,2248,3534,236,313,266,464
1.765,540,979,2259,3474,215,346,255,454
1.775,532,1139,2272,3424,226,308,263,435
1.785,532,1284,2287,3475,229,317,256,446
1.795,529,1397,2303,3483,235,334,276,438
1.805,516,1483,2322,3410,229,300,264,421
1.815,511,1552,2342,3455,209,290,252,431
1.825,508,1608,2365,3553,189,294,280,448
1.835,512,1660,2390,3615,209,302,313,423
1.845,498,1710,2417,3647,200,282,308,407
1.855,483,1757,2447,3706,205,278,293,424
1.865,490,1800,2480,3720,201,287,291,405
1.875,480,1838,2501,3735,214,292,292,396
1.885,454,1872,2513,3782,201,297,274,432
1.895,444,1899,2525,3867,211,295,268,439
1.905,428,1922,2513,3860,201,294,287,419
1.915,433,1941,2538,3795,210,295,266,445
1.925,424,1956,2562,3616,210,296,281,440
1.935,403,1968,2574,3654,209,278,289,428
1.945,368,1979,2587,3672,224,241,341,426
1.955,375,1988,2587,3572,240,249,298,442
1.965,352,1995,2599,3733,240,237,346,405
1.975,387,2002,2636,3797,237,266,351,406
1.985,371,2007,2660,3783,265,245,379,399
1.995,362,2012,2673,3787,257,269,366,398
2.005,410,2017,2722,3835,288,233,381,407
2.015,409,2021,2759,3779,253,235,365,408
2.025,401,2023,2722,3787,256,238,351,408
2.035,431,2020,2806,3667,242,234,377,395
2.045,454,2008,2722,3574,202,281,332,410
2.055,440,1985,2697,3558,194,301,280,427
2.065,428,1948,2636,3518,206,307,259,436
2.075,416,1904,2587,3532,186,308,252,404
2.085,416,1863,2501,3575,224,292,313,384
2.095,376,1833,2476,3737,238,287,342,377
2.105,343,1818,2415,3744,239,278,348,389
2.115,300,1816,2366,3885,232,310,339,397
2.125,340,1831,2366,3905,229,305,348,437
2.135,348,1859,2366,3852,236,274,328,458
2.145,359,1895,2476,3700,221,281,284,455
2.155,390,1935,2550,3614,221,305,236,463
2.165,371,1972,2636,3537,190,287,223,457
2.175,367,2005,2636,3452,217,310,243,447
2.185,362,2031,2759,3406,217,307,221,451
2.195,357,2049,2771,3420,213,290,250,433
2.205,360,2058,2771,3454,211,293,264,425
2.215,387,2056,2771,3407,218,302,255,419
2.225,382,2040,2771,3377,221,291,286,400
2.235,339,2011,2722,3367,217,295,291,400
2.245,339,1965,2710,3396,212,272,303,411
2.255,328,1903,2624,3413,189,302,272,414
2.265,404,1829,2550,3407,211,317,253,429
2.275,469,1744,2489,3368,201,328,220,451
2.285,491,1653,2427,3403,219,335,239,459
2.295,567,1560,2378,3493,180,332,236,476
