sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,627,1515,2461,3662,240,304,378,437
0.015,696,1517,2524,3683,237,325,342,433
0.025,740,1551,2574,3728,228,314,340,427
0.035,815,1538,2585,3780,262,294,337,431
0.045,813,1670,2617,3787,225,334,393,445
0.055,827,1725,2598,3800,216,340,377,451
0.065,862,1741,2631,3777,249,327,401,460
0.075,825,1742,2728,3817,207,331,387,472
0.085,895,1718,2740,3893,239,324,354,476
0.095,902,1610,2734,3967,261,303,362,453
0.105,875,1642,2775,3990,237,297,348,451
0.115,934,1653,2635,4053,233,345,349,439
0.125,1006,1683,2586,4092,236,350,357,431
0.135,976,1786,2584,4156,237,336,361,428
0.145,996,1798,2638,4160,257,326,398,433
0.155,1060,1807,2720,4165,245,359,345,433
0.165,1093,1798,2811,4158,242,345,340,423
0.175,1164,1803,2877,4133,236,344,317,417
0.185,1161,1893,2888,4033,226,338,368,401
0.195,1155,1968,2859,4051,235,337,359,432
0.205,1093,2038,2884,4040,239,330,363,427
0.215,1004,2018,2895,4044,241,292,383,442
0.225,994,2088,2848,4114,268,292,366,428
0.235,984,2066,2846,4147,256,299,357,427
0.245,923,2012,2839,4163,247,306,347,421
0.255,909,1859,2812,4181,235,314,333,421
0.265,912,1825,2732,4167,213,334,340,441
0.275,969,1747,2698,4173,214,339,322,434
0.285,947,1776,2666,4171,193,369,336,445
0.295,954,1818,2716,4150,229,340,352,436
0.305,923,1836,2734,4134,252,332,375,449
0.315,889,1749,2728,4139,240,322,333,434
0.325,860,1758,2660,4157,232,328,348,427
0.335,860,1750,2701,4137,239,316,341,424
0.345,885,1714,2735,4124,248,333,357,443
0.355,918,1567,2757,4084,275,329,320,460
0.365,705,1514,2821,3986,250,305,310,467
0.375,653,1437,2844,3876,208,307,340,465
0.385,597,1473,2894,3780,225,308,334,464
0.395,581,1430,2805,3763,197,340,339,417
0.405,512,1418,2817,3764,206,295,330,407
0.415,456,1395,2798,3836,229,324,337,430
0.425,361,1443,2747,3906,209,327,358,449
0.435,337,1449,2633,3893,206,331,400,480
0.445,347,1436,2643,3960,224,375,415,475
0.455,337,1503,2643,3968,193,393,383,441
0.465,337,1560,2633,3767,206,324,364,403
0.475,356,1598,2624,3544,202,296,343,447
0.485,441,1591,2624,3663,200,300,304,410
0.495,450,1596,2608,3680,211,313,295,384
0.505,479,1593,2607,3661,232,310,311,351
0.515,573,1582,2607,3635,206,300,286,355
0.525,582,1561,2607,3496,241,326,284,404
0.535,592,1529,2605,3528,264,317,304,369
0.545,668,1485,2597,3640,279,341,336,378
0.555,671,1434,2581,3811,267,327,314,395
0.565,679,1385,2556,3891,266,325,285,383
0.575,689,1346,2532,3808,261,308,295,402
0.585,661,1325,2531,3674,266,318,309,428
0.595,677,1321,2551,3532,278,350,303,420
0.605,673,1331,2579,3532,246,333,321,400
0.615,677,1353,2602,3557,249,318,345,428
0.625,622,1386,2606,3699,246,334,326,410
0.635,587,1422,2585,3660,259,344,317,385
0.645,531,1454,2548,3657,265,330,334,361
0.655,481,1474,2509,3647,241,316,325,369
0.665,411,1482,2477,3714,238,305,308,369
0.675,404,1481,2461,3743,235,306,302,383
0.685,363,1481,2457,3749,230,312,289,373
0.695,356,1486,2463,3734,211,326,274,346
0.705,362,1506,2478,3783,212,325,275,316
0.715,418,1543,2500,3781,215,302,273,324
0.725,411,1588,2527,3839,204,299,268,317
0.735,426,1626,2555,3887,207,297,265,312
0.745,447,1645,2582,3915,191,301,260,329
0.755,482,1646,2605,3967,208,295,255,340
0.765,491,1634,2622,4071,189,303,294,362
0.775,443,1614,2632,4030,218,270,295,426
0.785,490,1591,2636,4058,297,355,342,453
0.795,497,1569,2635,4118,312,311,340,449
0.805,500,1553,2629,4235,316,312,340,453
0.815,520,1547,2618,4229,299,319,354,444
0.825,524,1551,2604,4195,287,294,348,455
0.835,517,1561,2587,4225,296,300,351,422
0.845,523,1574,2569,4309,301,316,351,396
0.855,511,1587,2552,4349,344,280,351,394
0.865,540,1595,2537,4215,327,300,338,391
0.875,540,1598,2528,4160,308,328,343,438
0.885,569,1599,2525,4141,333,305,345,433
0.895,572,1597,2530,4195,304,332,318,422
0.905,596,1594,2545,4289,312,271,339,438
0.915,660,1591,2566,4205,260,290,325,432
0.925,627,1588,2592,4217,242,273,333,430
0.935,505,1587,2617,4166,235,292,336,429
0.945,439,1588,2641,4113,181,320,338,426
0.955,409,1591,2660,4144,200,339,322,443
0.965,402,1596,2672,4215,246,362,350,458
0.975,453,1603,2679,4152,275,343,329,466
0.985,492,1612,2679,4095,271,330,309,443
0.995,525,1624,2674,4157,286,324,319,449
1.005,502,1637,2663,4224,292,319,359,448
1.015,493,1653,2646,4249,270,333,363,419
1.025,480,1670,2623,4279,261,339,339,428
1.035,484,1689,2595,4255,244,339,343,431
1.045,525,1709,2563,4363,260,322,316,448
