sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,543,1375,2463,3528,279,301,320,432
0.015,649,1368,2451,3479,301,332,302,413
0.025,693,1509,2503,3515,299,306,325,405
0.035,765,1524,2490,3589,256,312,314,420
0.045,787,1604,2461,3602,261,324,320,438
0.055,798,1603,2493,3649,294,290,345,438
0.065,806,1602,2539,3688,252,305,339,457
0.075,824,1574,2625,3744,244,286,361,441
0.085,846,1595,2587,3807,215,366,329,449
0.095,840,1613,2603,3831,259,332,347,440
0.105,801,1641,2572,3828,282,346,321,429
0.115,760,1544,2508,3809,312,382,310,430
0.125,564,1378,2519,3883,284,342,322,420
0.135,455,1302,2485,3880,275,315,291,367
0.145,388,1313,2496,3886,260,296,301,347
0.155,396,1356,2500,3942,262,309,305,393
0.165,359,1382,2537,3974,257,285,308,392
0.175,439,1347,2492,3838,210,284,302,387
0.185,492,1415,2492,3818,187,300,275,358
0.195,550,1477,2492,3839,182,282,300,377
0.205,558,1532,2492,3826,177,269,304,377
0.215,571,1573,2492,3813,185,287,327,385
0.225,567,1662,2492,3726,201,295,323,382
0.235,547,1703,2492,3614,191,281,349,410
0.245,541,1737,2492,3610,207,272,362,352
0.255,539,1744,2468,3622,208,302,360,337
0.265,542,1744,2443,3647,206,307,357,316
0.275,544,1683,2411,3563,230,335,338,319
0.285,544,1628,2395,3547,236,330,310,359
0.295,544,1532,2297,3438,237,332,313,353
0.305,544,1484,2273,3424,192,343,337,350
0.315,534,1326,2216,3339,209,339,347,345
0.325,573,1265,2216,3297,199,338,347,350
0.335,573,1203,2232,3279,207,321,381,361
0.345,583,1141,2248,3318,192,289,346,347
0.355,544,1059,2305,3274,187,280,333,371
0.365,544,1011,2338,3279,186,311,324,366
0.375,544,977,2387,3347,177,303,325,395
0.385,525,966,2419,3352,165,301,313,387
0.395,525,953,2435,3342,156,302,329,375
0.405,515,941,2492,3391,171,309,339,369
0.415,486,932,2500,3421,167,294,340,343
0.425,505,925,2533,3483,166,281,349,338
0.435,505,921,2533,3598,172,265,342,315
0.445,505,921,2533,3712,213,297,336,360
0.455,505,925,2614,3760,214,315,310,408
0.465,505,934,2671,3814,219,320,280,393
0.475,505,947,2696,3910,230,305,304,417
0.485,505,966,2696,3922,222,311,312,409
0.495,505,992,2696,3885,230,298,296,400
0.505,476,1025,2680,3781,234,272,300,389
0.515,428,1068,2533,3706,227,300,341,338
0.525,428,1122,2427,3749,221,294,342,375
0.535,428,1180,2354,3815,226,296,347,394
0.545,484,1233,2289,3780,242,300,356,400
0.555,418,1272,2193,3622,252,312,338,374
0.565,390,1291,2050,3596,256,303,304,390
0.575,368,1292,2036,3672,245,321,270,377
0.585,348,1284,2028,3740,252,334,284,400
0.595,324,1273,2036,3702,238,336,295,401
0.605,314,1265,2004,3594,215,326,293,392
0.615,368,1256,1980,3485,203,349,324,402
0.625,474,1242,1955,3356,225,292,352,431
0.635,550,1220,1947,3250,241,302,355,420
0.645,486,1190,1857,3222,209,328,362,416
0.655,463,1156,1849,3218,181,300,353,436
0.665,466,1124,1825,3245,178,273,356,452
0.675,490,1099,1825,3280,185,244,368,447
0.685,520,1085,1825,3276,162,210,351,441
0.695,520,1085,1809,3354,162,206,356,441
0.705,506,1103,1792,3402,193,196,358,431
0.715,461,1141,1768,3482,185,186,361,418
0.725,444,1204,1776,3578,197,192,371,429
0.735,435,1283,1825,3680,199,179,341,452
0.745,457,1369,1914,3730,205,198,327,430
0.755,481,1449,1947,3777,207,245,294,439
0.765,493,1517,2012,3710,210,279,296,419
0.775,480,1577,2142,3589,227,294,299,392
0.785,481,1631,2272,3543,213,292,290,396
0.795,455,1684,2378,3406,205,284,323,363
0.805,455,1740,2476,3486,224,274,334,351
0.815,426,1797,2500,3572,200,270,352,360
0.825,417,1851,2476,3666,217,270,359,374
0.835,413,1898,2492,3686,218,269,356,381
0.845,446,1931,2500,3709,214,285,357,377
0.855,444,1948,2492,3618,220,296,348,372
0.865,424,1950,2468,3537,224,297,359,396
0.875,409,1945,2476,3472,211,300,326,376
0.885,387,1941,2468,3408,200,302,313,343
0.895,384,1943,2460,3477,218,300,314,305
0.905,378,1940,2444,3607,193,300,316,318
0.915,398,1913,2419,3691,200,265,314,303
0.925,374,1839,2411,3746,211,304,318,341
0.935,341,1707,2387,3786,213,326,313,417
